,PVL FP Equity_DX_SI_QTY,PVL FP Equity_DX_SHORT_INTEREST_VALUE,PVL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,PVL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PVL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PVL FP Equity_DX_SI_MV,PVL FP Equity_DX_DSS,PVL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PVL FP Equity_DX_SUPPLY_SI_QTY,PVL FP Equity_DX_BROKER_SI_QTY,PVL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PVL FP Equity_DX_BROKER_SI_MV_NEW_x,PVL FP Equity_DX_SUPPLY_SI_QTY_NEW_x,PVL FP Equity_DX_SUPPLY_SI_QTY_INC_x,PVL FP Equity_DX_BROKER_SI_MV_INC_x,PVL FP Equity_DX_SUPPLY_SI_MV_NEW,PVL FP Equity_DX_BROKER_SI_QTY_ADD,PVL FP Equity_DX_BROKER_SI_QTY_NEW,PVL FP Equity_DX_SUPPLY_SI_MV_DEC,PVL FP Equity_DX_BROKER_SI_QTY_INC,PVL FP Equity_DX_SUPPLY_SI_QTY_DEC,PVL FP Equity_DX_BROKER_SI_MV_NEW_y,PVL FP Equity_DX_SUPPLY_SI_QTY_NEW_y,PVL FP Equity_DX_BROKER_SI_MV_INC_y,PVL FP Equity_DX_SUPPLY_SI_QTY_INC_y,PVL FP Equity_DX_BROKER_SI_MV_ADD,PVL FP Equity_DX_SUPPLY_SI_QTY_ADD,PVL FP Equity_DX_BROKER_SI_QTY_DEC,PVL FP Equity_DX_SUPPLY_SI_MV,PVL FP Equity_DX_BROKER_SI_MV_DEC,PVL FP Equity_DX_SUPPLY_SI_MV_RMV,PVL FP Equity_DX_BROKER_SI_MV_RMV,PVL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PVL FP Equity_DX_UTILIZATION_QUANTITY,PVL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PVL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PVL FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,PVL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PVL FP Equity_DX_ACTIVE_UTILIZATION_MV,PVL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PVL FP Equity_DX_BROKER_SI_CON_RATIO,PVL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PVL FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.35,0.0,,0.0,,0.0
2006-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.36,0.0,,0.0,,0.0
2006-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.42,0.0,,0.0,,0.0
2006-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,19767.0,286802.51,,0.43,0.0,,0.0,,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,19721.0,288790.63,,0.43,0.0,,0.0,,0.0
2006-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,19793.0,286513.44,,0.43,0.0,,0.0,,0.0
2006-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,19788.0,290437.91,,0.43,0.0,,0.0,,0.0
2006-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,19808.0,289397.83,,0.43,0.0,,0.0,,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,19791.0,283153.27,,0.42,0.0,,0.0,,0.0
2006-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,19330.0,267968.11,,0.4,0.0,,0.0,,0.0
2006-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,19868.0,281579.58,,0.41,0.0,,0.0,,0.0
