,ECRP3 FP Equity_DX_SI_QTY,ECRP3 FP Equity_DX_SHORT_INTEREST_VALUE,ECRP3 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ECRP3 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ECRP3 FP Equity_DX_SI_MV,ECRP3 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ECRP3 FP Equity_DX_SUPPLY_SI_QTY,ECRP3 FP Equity_DX_BROKER_SI_QTY,ECRP3 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ECRP3 FP Equity_DX_SUPPLY_SI_QTY_INC_x,ECRP3 FP Equity_DX_BROKER_SI_MV_INC_x,ECRP3 FP Equity_DX_BROKER_SI_QTY_ADD,ECRP3 FP Equity_DX_SUPPLY_SI_MV_DEC,ECRP3 FP Equity_DX_BROKER_SI_QTY_INC,ECRP3 FP Equity_DX_SUPPLY_SI_QTY_DEC,ECRP3 FP Equity_DX_BROKER_SI_MV_INC_y,ECRP3 FP Equity_DX_SUPPLY_SI_QTY_INC_y,ECRP3 FP Equity_DX_BROKER_SI_MV_ADD,ECRP3 FP Equity_DX_SUPPLY_SI_QTY_ADD,ECRP3 FP Equity_DX_BROKER_SI_QTY_DEC,ECRP3 FP Equity_DX_SUPPLY_SI_MV,ECRP3 FP Equity_DX_BROKER_SI_MV_DEC,ECRP3 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ECRP3 FP Equity_DX_UTILIZATION_QUANTITY,ECRP3 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ECRP3 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ECRP3 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ECRP3 FP Equity_DX_ACTIVE_UTILIZATION_MV,ECRP3 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ECRP3 FP Equity_DX_BROKER_SI_CON_RATIO,ECRP3 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ECRP3 FP Equity_DX_DEMAND_SUPPLY_RATIO,ECRP3 FP Equity_PX_LAST
2019-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.862
2019-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.901
2019-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.903
2019-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.88
2019-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.893
2019-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.904
2019-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.937
2019-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.986
2019-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.938
2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.963
2019-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.977
2019-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.952
2019-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.965
2019-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.949
2019-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.949
2019-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.952
2019-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.975
2019-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.94
2019-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.949
2019-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.939
2019-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.949
2019-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.96
2019-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.956
2019-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.938
