,ALAMA FP Equity_DX_SI_QTY,ALAMA FP Equity_DX_SHORT_INTEREST_VALUE,ALAMA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALAMA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALAMA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALAMA FP Equity_DX_SI_MV,ALAMA FP Equity_DX_DSS,ALAMA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALAMA FP Equity_DX_SUPPLY_SI_QTY,ALAMA FP Equity_DX_BROKER_SI_QTY,ALAMA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALAMA FP Equity_DX_BROKER_SI_QTY_ADD,ALAMA FP Equity_DX_SUPPLY_SI_MV_DEC,ALAMA FP Equity_DX_SUPPLY_SI_QTY_DEC,ALAMA FP Equity_DX_BROKER_SI_MV_ADD,ALAMA FP Equity_DX_SUPPLY_SI_QTY_ADD,ALAMA FP Equity_DX_BROKER_SI_QTY_DEC,ALAMA FP Equity_DX_SUPPLY_SI_MV,ALAMA FP Equity_DX_BROKER_SI_MV_DEC,ALAMA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALAMA FP Equity_DX_UTILIZATION_QUANTITY,ALAMA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALAMA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALAMA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALAMA FP Equity_DX_ACTIVE_UTILIZATION_MV,ALAMA FP Equity_DX_BROKER_SI_CON_RATIO,ALAMA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALAMA FP Equity_DX_DEMAND_SUPPLY_RATIO,ALAMA FP Equity_PX_LAST
2021-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2021-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67
2021-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2021-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2021-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2021-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.62
2021-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.53
2021-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2021-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2021-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2021-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2021-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48
2021-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48
2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46
2021-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47
2021-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67
2021-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55
2021-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56
2021-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52
2021-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51
2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48
2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2021-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2021-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46
2021-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47
2021-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2021-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21
2021-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
2021-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92
2021-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19
2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25
2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2021-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2021-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2021-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.99
2021-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
2021-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2021-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92
2021-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04
2021-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08
2021-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02
2021-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06
2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2021-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02
2021-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12
2021-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
2021-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21
2021-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2021-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44
2021-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.49
