,VIV FP Equity_DX_SI_QTY,VIV FP Equity_DX_SHORT_INTEREST_VALUE,VIV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,VIV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,VIV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,VIV FP Equity_DX_SI_MV,VIV FP Equity_DX_DSS,VIV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,VIV FP Equity_DX_SUPPLY_SI_QTY,VIV FP Equity_DX_BROKER_SI_QTY,VIV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,VIV FP Equity_DX_BROKER_SI_MV_NEW_x,VIV FP Equity_DX_SUPPLY_SI_QTY_NEW_x,VIV FP Equity_DX_SUPPLY_SI_QTY_INC_x,VIV FP Equity_DX_BROKER_SI_MV_INC_x,VIV FP Equity_DX_SUPPLY_SI_MV_NEW,VIV FP Equity_DX_BROKER_SI_QTY_ADD,VIV FP Equity_DX_BROKER_SI_QTY_NEW,VIV FP Equity_DX_SUPPLY_SI_MV_DEC,VIV FP Equity_DX_BROKER_SI_QTY_INC,VIV FP Equity_DX_SUPPLY_SI_QTY_DEC,VIV FP Equity_DX_BROKER_SI_MV_NEW_y,VIV FP Equity_DX_SUPPLY_SI_QTY_NEW_y,VIV FP Equity_DX_BROKER_SI_MV_INC_y,VIV FP Equity_DX_SUPPLY_SI_QTY_INC_y,VIV FP Equity_DX_BROKER_SI_MV_ADD,VIV FP Equity_DX_SUPPLY_SI_QTY_ADD,VIV FP Equity_DX_BROKER_SI_QTY_DEC,VIV FP Equity_DX_SUPPLY_SI_MV,VIV FP Equity_DX_BROKER_SI_MV_DEC,VIV FP Equity_DX_SUPPLY_SI_MV_RMV,VIV FP Equity_DX_BROKER_SI_MV_RMV,VIV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,VIV FP Equity_DX_UTILIZATION_QUANTITY,VIV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,VIV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,VIV FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,VIV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,VIV FP Equity_DX_ACTIVE_UTILIZATION_MV,VIV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,VIV FP Equity_DX_BROKER_SI_CON_RATIO,VIV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,VIV FP Equity_DX_DEMAND_SUPPLY_RATIO,VIV FP Equity_PX_LAST
1989-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.3878
1989-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.1991
1989-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.3025
1989-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.1501
1989-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.0593
1989-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.8215
1989-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.5838
1989-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.4368
1989-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.3389
1989-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.1193
1989-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.5205
1989-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.6911
1989-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.4225
1989-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.1919
1989-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.7709
1989-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.466
1989-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.6729
1989-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.5695
1989-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.3735
1989-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.898
1989-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.898
1989-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.1848
1989-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.7274
1989-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.2882
1989-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.6966
1989-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.7456
1989-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.7274
1989-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.575
1989-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.7582
1989-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.996
1989-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.7219
1989-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.7654
1989-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.1374
1989-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.7654
1989-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.7164
1989-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.4787
1989-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.4787
1989-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.7654
1989-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.8144
1989-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.5276
1989-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.2409
1989-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.2899
1989-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.5348
1989-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.346
1989-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.5656
1989-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.5656
1989-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.9376
1989-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.2062
1989-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.6762
1989-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.5909
1989-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.2915
1989-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.5838
1989-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.346
1989-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.5474
1989-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.1391
1989-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.3042
1989-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.914
