,ALVGO FP Equity_DX_SI_QTY,ALVGO FP Equity_DX_SHORT_INTEREST_VALUE,ALVGO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALVGO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALVGO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALVGO FP Equity_DX_SI_MV,ALVGO FP Equity_DX_DSS,ALVGO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALVGO FP Equity_DX_SUPPLY_SI_QTY,ALVGO FP Equity_DX_BROKER_SI_QTY,ALVGO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALVGO FP Equity_DX_BROKER_SI_MV_NEW_x,ALVGO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALVGO FP Equity_DX_BROKER_SI_MV_INC_x,ALVGO FP Equity_DX_BROKER_SI_QTY_ADD,ALVGO FP Equity_DX_BROKER_SI_QTY_NEW,ALVGO FP Equity_DX_SUPPLY_SI_MV_DEC,ALVGO FP Equity_DX_BROKER_SI_QTY_INC,ALVGO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALVGO FP Equity_DX_BROKER_SI_MV_NEW_y,ALVGO FP Equity_DX_BROKER_SI_MV_INC_y,ALVGO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALVGO FP Equity_DX_BROKER_SI_MV_ADD,ALVGO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALVGO FP Equity_DX_BROKER_SI_QTY_DEC,ALVGO FP Equity_DX_SUPPLY_SI_MV,ALVGO FP Equity_DX_BROKER_SI_MV_DEC,ALVGO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALVGO FP Equity_DX_UTILIZATION_QUANTITY,ALVGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALVGO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALVGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALVGO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALVGO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALVGO FP Equity_DX_BROKER_SI_CON_RATIO,ALVGO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALVGO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALVGO FP Equity_PX_LAST
2018-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2018-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
2018-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95
2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
2018-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6
2018-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2018-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6
2018-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65
2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
2018-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
2018-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
2018-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65
2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65
2018-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65
2018-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65
2018-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65
2018-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2018-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.85
2018-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9
2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2019-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
2019-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.85
2019-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95
2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95
2019-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95
2019-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95
2019-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.85
2019-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.85
2019-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95
2019-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9
2019-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9
2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9
2019-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9
2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.85
2019-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9
2019-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
2019-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
2019-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
2019-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2019-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2019-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2019-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88
2019-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88
2019-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2019-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2019-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.35
2019-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.62
2019-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2019-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2019-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2019-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2019-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84
2019-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2019-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88
2019-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2019-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72
2019-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72
2019-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88
2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.86
2019-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2019-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.62
2019-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.62
2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2019-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2019-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2019-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2019-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42
2019-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2019-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2019-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42
2019-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2019-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2019-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78
2019-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98
2019-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96
2019-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2019-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.84
2019-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16
2019-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.52
2019-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.72
2019-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2019-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.16
2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24
