,FPXU FP Equity_DX_SI_QTY,FPXU FP Equity_DX_SHORT_INTEREST_VALUE,FPXU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,FPXU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,FPXU FP Equity_DX_SI_MV,FPXU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,FPXU FP Equity_DX_SUPPLY_SI_QTY,FPXU FP Equity_DX_BROKER_SI_QTY,FPXU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,FPXU FP Equity_DX_BROKER_SI_QTY_ADD,FPXU FP Equity_DX_BROKER_SI_MV_ADD,FPXU FP Equity_DX_SUPPLY_SI_MV,FPXU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,FPXU FP Equity_DX_UTILIZATION_QUANTITY,FPXU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,FPXU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,FPXU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,FPXU FP Equity_DX_ACTIVE_UTILIZATION_MV,FPXU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,FPXU FP Equity_DX_BROKER_SI_CON_RATIO,FPXU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,FPXU FP Equity_DX_DEMAND_SUPPLY_RATIO,FPXU FP Equity_PX_LAST
2015-08-17,,,,,,,,,,,,,,,,,,,,,,,20.13
2015-08-18,,,,,,,,,,,,,,,,,,,,,,,20.07
2015-08-19,,,,,,,,,,,,,,,,,,,,,,,19.77
2015-08-20,,,,,,,,,,,,,,,,,,,,,,,19.58
2015-08-21,,,,,,,,,,,,,,,,,,,,,,,18.86
2015-08-24,,,,,,,,,,,,,,,,,,,,,,,18.12
2015-08-25,,,,,,,,,,,,,,,,,,,,,,,18.48
2015-08-26,,,,,,,,,,,,,,,,,,,,,,,17.99
2015-08-27,,,,,,,,,,,,,,,,,,,,,,,18.82
2015-08-28,,,,,,,,,,,,,,,,,,,,,,,19.09
2015-08-31,,,,,,,,,,,,,,,,,,,,,,,18.98
2015-09-01,,,,,,,,,,,,,,,,,,,,,,,18.54
2015-09-02,,,,,,,,,,,,,,,,,,,,,,,18.39
2015-09-03,,,,,,,,,,,,,,,,,,,,,,,18.78
2015-09-04,,,,,,,,,,,,,,,,,,,,,,,18.38
2015-09-07,,,,,,,,,,,,,,,,,,,,,,,18.62
2015-09-08,,,,,,,,,,,,,,,,,,,,,,,18.69
2015-09-09,,,,,,,,,,,,,,,,,,,,,,,18.97
2015-09-10,,,,,,,,,,,,,,,,,,,,,,,18.78
2015-09-11,,,,,,,,,,,,,,,,,,,,,,,18.69
2015-09-14,,,,,,,,,,,,,,,,,,,,,,,18.74
2015-09-15,,,,,,,,,,,,,,,,,,,,,,,18.87
2015-09-16,,,,,,,,,,,,,,,,,,,,,,,19.01
2015-09-17,,,,,,,,,,,,,,,,,,,,,,,19.16
2015-09-18,,,,,,,,,,,,,,,,,,,,,,,19.15
2015-09-21,,,,,,,,,,,,,,,,,,,,,,,18.93
2015-09-22,,,,,,,,,,,,,,,,,,,,,,,18.91
2015-09-23,,,,,,,,,,,,,,,,,,,,,,,18.52
2015-09-24,,,,,,,,,,,,,,,,,,,,,,,18.13
2015-09-25,,,,,,,,,,,,,,,,,,,,,,,18.43
2015-09-28,,,,,,,,,,,,,,,,,,,,,,,17.7
2015-09-29,,,,,,,,,,,,,,,,,,,,,,,17.39
2015-09-30,,,,,,,,,,,,,,,,,,,,,,,17.61
2015-10-02,,,,,,,,,,,,,,,,,,,,,,,17.8
2015-10-05,,,,,,,,,,,,,,,,,,,,,,,18.3
2015-10-06,,,,,,,,,,,,,,,,,,,,,,,18.33
2015-10-07,,,,,,,,,,,,,,,,,,,,,,,18.24
2015-10-08,,,,,,,,,,,,,,,,,,,,,,,18.34
2015-10-09,,,,,,,,,,,,,,,,,,,,,,,18.65
2015-10-12,,,,,,,,,,,,,,,,,,,,,,,18.63
2015-10-13,,,,,,,,,,,,,,,,,,,,,,,18.64
2015-10-14,,,,,,,,,,,,,,,,,,,,,,,18.42
2015-10-15,,,,,,,,,,,,,,,,,,,,,,,18.59
2015-10-16,,,,,,,,,,,,,,,,,,,,,,,18.79
2015-10-19,,,,,,,,,,,,,,,,,,,,,,,18.88
2015-10-20,,,,,,,,,,,,,,,,,,,,,,,18.84
2015-10-21,,,,,,,,,,,,,,,,,,,,,,,18.71
2015-10-22,,,,,,,,,,,,,,,,,,,,,,,18.63
2015-10-23,,,,,,,,,,,,,,,,,,,,,,,18.72
