,MLHBB FP Equity_PX_LAST
1992-03-03,114.1843
1992-03-04,115.7088
1992-03-12,108.8486
1992-03-16,106.7143
1992-03-17,112.8123
1992-03-19,113.5745
1992-03-23,113.5745
1992-03-24,111.2878
1992-03-25,111.2878
1992-03-26,111.2878
1992-03-30,111.1353
1992-04-06,112.8123
1992-04-07,112.8123
1992-04-08,107.4766
1992-04-16,101.9884
1992-04-21,101.9884
1992-04-22,97.11
1992-04-23,96.0429
1992-04-24,94.6708
1992-04-27,91.9268
1992-04-28,88.4204
1992-04-29,88.4204
1992-04-30,88.5729
1992-05-04,90.7072
1992-05-05,88.5729
1992-05-06,88.5729
1992-05-07,88.5729
1992-05-11,88.5729
1992-05-12,90.0974
1992-05-13,93.7561
1992-05-14,95.2806
1992-05-15,96.8051
1992-05-18,98.4821
1992-05-19,98.4821
1992-05-20,98.9394
1992-05-21,94.061
1992-05-22,94.6708
1992-05-25,103.6653
1992-05-26,106.7143
1992-05-27,106.7143
1992-06-02,106.7143
1992-06-03,106.7143
1992-06-04,106.7143
1992-06-05,106.8668
1992-06-09,107.629
1992-06-10,108.2388
1992-06-12,108.0864
1992-06-15,97.7198
1992-06-16,107.629
1992-06-17,107.9339
1992-06-19,107.7815
1992-06-22,106.8668
1992-06-23,102.2933
1992-06-25,99.2443
1992-06-26,96.1953
1992-06-29,97.2625
1992-06-30,101.9884
1992-07-09,97.8723
1992-07-10,97.2625
1992-07-15,92.9939
1992-07-16,83.9994
1992-07-21,83.9994
1992-07-22,91.6219
1992-07-23,91.6219
1992-07-27,87.3533
1992-07-29,86.8959
1992-07-30,88.5729
1992-08-03,91.4694
1992-08-05,91.6219
1992-08-06,91.6219
1992-08-20,91.4694
1992-08-28,91.4694
1992-09-01,91.4694
1992-09-02,88.4204
1992-09-03,91.4694
1992-09-07,91.4694
1992-09-08,91.317
1992-09-09,91.317
1992-09-14,82.6274
1992-09-15,86.7435
1992-09-16,87.6582
1992-09-22,83.9994
1992-09-23,83.9994
1992-09-24,83.2372
1992-09-25,82.7798
1992-09-28,82.3225
1992-09-29,82.3225
1992-09-30,82.3225
1992-10-01,83.0847
1992-10-06,80.6455
1992-10-09,79.4259
1992-10-13,76.6819
1992-10-14,74.0902
