,ALMKT FP Equity_DX_SI_QTY,ALMKT FP Equity_DX_SHORT_INTEREST_VALUE,ALMKT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMKT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMKT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMKT FP Equity_DX_SI_MV,ALMKT FP Equity_DX_DSS,ALMKT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMKT FP Equity_DX_SUPPLY_SI_QTY,ALMKT FP Equity_DX_BROKER_SI_QTY,ALMKT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMKT FP Equity_DX_BROKER_SI_MV_NEW_x,ALMKT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALMKT FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALMKT FP Equity_DX_BROKER_SI_MV_INC_x,ALMKT FP Equity_DX_SUPPLY_SI_MV_NEW,ALMKT FP Equity_DX_BROKER_SI_QTY_ADD,ALMKT FP Equity_DX_BROKER_SI_QTY_NEW,ALMKT FP Equity_DX_SUPPLY_SI_MV_DEC,ALMKT FP Equity_DX_BROKER_SI_QTY_INC,ALMKT FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMKT FP Equity_DX_BROKER_SI_MV_NEW_y,ALMKT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALMKT FP Equity_DX_BROKER_SI_MV_INC_y,ALMKT FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALMKT FP Equity_DX_BROKER_SI_MV_ADD,ALMKT FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMKT FP Equity_DX_BROKER_SI_QTY_DEC,ALMKT FP Equity_DX_SUPPLY_SI_MV,ALMKT FP Equity_DX_BROKER_SI_MV_DEC,ALMKT FP Equity_DX_SUPPLY_SI_MV_RMV,ALMKT FP Equity_DX_BROKER_SI_MV_RMV,ALMKT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMKT FP Equity_DX_UTILIZATION_QUANTITY,ALMKT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMKT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMKT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALMKT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMKT FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMKT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMKT FP Equity_DX_BROKER_SI_CON_RATIO,ALMKT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMKT FP Equity_DX_DEMAND_SUPPLY_RATIO
2011-07-06,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4326.0,64241.1,,0.06,0.0,,0.0,,0.0
2011-07-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,4326.0,68350.8,,0.07,0.0,,0.0,,0.0
2011-07-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,111609.0,1953157.5,,1.88,0.0,,0.0,,0.0
2011-07-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,176553.0,3133815.75,,3.11,0.0,,0.0,,0.0
2011-07-12,6000.0,105000.0,0.11,0.09,0.05,0.11,0.0,0.0,6000.0,0.0,105000.0,,,,,,,,,,,,,,,,6000.0,,0.11,,,,3.4,3.4,170553.0,2984677.5,,3.01,3.42,,1.0,100.0,0.034
2011-07-13,6000.0,106500.0,0.11,0.08,0.05,0.11,0.0,106500.0,6000.0,6000.0,106500.0,,,,,,6000.0,,,,,,,,,0.11,,,0.1,,,,5.39,5.39,105395.0,1870761.25,,1.86,5.28,,1.0,100.0,0.0539
2011-07-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.1,,6000.0,,,,,,,6000.0,0.0,0.11,,,0.0,0.0,111395.0,1902626.6,,1.94,0.0,,0.0,,0.0
2011-07-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,95719.0,1539161.52,,1.58,0.0,,0.0,,0.0
2011-07-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82439.0,1277804.5,,1.3,0.0,,0.0,,0.0
2011-07-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82439.0,1351999.6,,1.31,0.0,,0.0,,0.0
2011-07-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82439.0,1368487.4,,1.36,0.0,,0.0,,0.0
2011-07-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,61625.0,1004487.5,,1.01,0.0,,0.0,,0.0
2011-07-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82439.0,1335511.8,,1.34,0.0,,0.0,,0.0
2011-07-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82439.0,1319024.0,,1.33,0.0,,0.0,,0.0
2011-07-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82439.0,1310780.1,,1.31,0.0,,0.0,,0.0
2011-07-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82439.0,1310780.1,,1.31,0.0,,0.0,,0.0
2011-07-28,288.0,4570.56,0.0,0.0,0.0,0.0,0.0,4570.56,0.0,288.0,0.0,,,,,,288.0,,,,,,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0035
2011-07-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,288.0,0.0,0.0,,,0.0,0.0,82439.0,1266263.04,,1.29,0.0,,0.0,,0.0
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82439.0,1294292.3,,1.28,0.0,,0.0,,0.0
2011-08-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82439.0,1245653.29,,1.27,0.0,,0.0,,0.0
2011-08-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82439.0,1194541.11,,1.22,0.0,,0.0,,0.0
2011-08-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82439.0,1134360.64,,1.17,0.0,,0.0,,0.0
2011-08-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82439.0,1154146.0,,1.14,0.0,,0.0,,0.0
2011-08-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82439.0,1053570.42,,1.11,0.0,,0.0,,0.0
2011-08-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,92439.0,1271036.25,,1.21,0.0,,0.0,,0.0
2011-08-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,92439.0,1209102.12,,1.25,0.0,,0.0,,0.0
2011-08-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,92439.0,1219270.41,,1.21,0.0,,0.0,,0.0
2011-08-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,96631.0,1275529.2,,1.28,0.0,,0.0,,0.0
2011-08-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1354402.1,,1.31,0.0,,0.0,,0.0
2011-08-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1354402.1,,1.36,0.0,,0.0,,0.0
2011-08-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,97439.0,1371941.12,,1.36,0.0,,0.0,,0.0
