,ALADO FP Equity_DX_SI_QTY,ALADO FP Equity_DX_SHORT_INTEREST_VALUE,ALADO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALADO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALADO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALADO FP Equity_DX_SI_MV,ALADO FP Equity_DX_DSS,ALADO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALADO FP Equity_DX_SUPPLY_SI_QTY,ALADO FP Equity_DX_BROKER_SI_QTY,ALADO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALADO FP Equity_DX_BROKER_SI_MV_NEW_x,ALADO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALADO FP Equity_DX_BROKER_SI_MV_INC_x,ALADO FP Equity_DX_BROKER_SI_QTY_ADD,ALADO FP Equity_DX_BROKER_SI_QTY_NEW,ALADO FP Equity_DX_SUPPLY_SI_MV_DEC,ALADO FP Equity_DX_BROKER_SI_QTY_INC,ALADO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALADO FP Equity_DX_BROKER_SI_MV_NEW_y,ALADO FP Equity_DX_BROKER_SI_MV_INC_y,ALADO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALADO FP Equity_DX_BROKER_SI_MV_ADD,ALADO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALADO FP Equity_DX_BROKER_SI_QTY_DEC,ALADO FP Equity_DX_SUPPLY_SI_MV,ALADO FP Equity_DX_BROKER_SI_MV_DEC,ALADO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALADO FP Equity_DX_UTILIZATION_QUANTITY,ALADO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALADO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALADO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALADO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALADO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALADO FP Equity_DX_BROKER_SI_CON_RATIO,ALADO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALADO FP Equity_DX_DEMAND_SUPPLY_RATIO
2008-04-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,12399.0,24054.06,0.02,0.0,,0.0,,0.0
2008-04-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,12399.0,24054.06,0.02,0.0,,0.0,,0.0
2017-07-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,23580.0,23108.4,0.02,0.0,,0.0,,0.0
2017-07-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,23580.0,22872.6,0.02,0.0,,0.0,,0.0
2017-07-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,25000.0,24000.0,0.02,0.0,,0.0,,0.0
2017-07-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,25000.0,23750.0,0.02,0.0,,0.0,,0.0
2017-07-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,25000.0,23250.0,0.02,0.0,,0.0,,0.0
2017-07-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,25000.0,23750.0,0.02,0.0,,0.0,,0.0
2017-07-13,20000.0,19000.0,0.08,0.09,0.08,0.02,0.0,0.0,20000.0,0.0,19000.0,,,,,,,,,,,,,20000.0,,0.02,,100.0,80.0,0.0,0.0,0.0,100.0,,0.0,,0.8
2017-07-14,40000.0,38000.0,0.17,0.19,0.15,0.04,0.0,19000.0,20000.0,20000.0,19000.0,,,,20000.0,,,,,,,,0.02,,,0.02,,100.0,80.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.6
