,MLFTI FP Equity_DX_SI_QTY,MLFTI FP Equity_DX_SHORT_INTEREST_VALUE,MLFTI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLFTI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLFTI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLFTI FP Equity_DX_SI_MV,MLFTI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLFTI FP Equity_DX_SUPPLY_SI_QTY,MLFTI FP Equity_DX_BROKER_SI_QTY,MLFTI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLFTI FP Equity_DX_SUPPLY_SI_MV,MLFTI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLFTI FP Equity_DX_UTILIZATION_QUANTITY,MLFTI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLFTI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLFTI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLFTI FP Equity_DX_ACTIVE_UTILIZATION_MV,MLFTI FP Equity_DX_BROKER_SI_CON_RATIO,MLFTI FP Equity_DX_DEMAND_SUPPLY_RATIO,MLFTI FP Equity_PX_LAST
2009-11-19,,,,,,,,,,,,,,,,,,,,0.85
2009-11-20,,,,,,,,,,,,,,,,,,,,0.85
2009-11-23,,,,,,,,,,,,,,,,,,,,0.85
2009-11-24,,,,,,,,,,,,,,,,,,,,0.85
2009-11-25,,,,,,,,,,,,,,,,,,,,0.85
2009-11-26,,,,,,,,,,,,,,,,,,,,0.84
2009-11-27,,,,,,,,,,,,,,,,,,,,0.86
2009-12-04,,,,,,,,,,,,,,,,,,,,0.84
2009-12-07,,,,,,,,,,,,,,,,,,,,0.84
2009-12-08,,,,,,,,,,,,,,,,,,,,0.84
2009-12-09,,,,,,,,,,,,,,,,,,,,0.85
2009-12-10,,,,,,,,,,,,,,,,,,,,0.85
2009-12-11,,,,,,,,,,,,,,,,,,,,0.85
2009-12-15,,,,,,,,,,,,,,,,,,,,0.85
2009-12-16,,,,,,,,,,,,,,,,,,,,0.84
2009-12-17,,,,,,,,,,,,,,,,,,,,0.84
2009-12-18,,,,,,,,,,,,,,,,,,,,0.84
2009-12-21,,,,,,,,,,,,,,,,,,,,0.84
2009-12-22,,,,,,,,,,,,,,,,,,,,0.84
2009-12-23,,,,,,,,,,,,,,,,,,,,0.84
2009-12-24,,,,,,,,,,,,,,,,,,,,0.84
2009-12-29,,,,,,,,,,,,,,,,,,,,0.84
2009-12-30,,,,,,,,,,,,,,,,,,,,0.84
2009-12-31,,,,,,,,,,,,,,,,,,,,0.84
2010-01-04,,,,,,,,,,,,,,,,,,,,0.84
2010-01-05,,,,,,,,,,,,,,,,,,,,0.84
2010-02-05,,,,,,,,,,,,,,,,,,,,0.82
2010-02-09,,,,,,,,,,,,,,,,,,,,0.82
2010-02-11,,,,,,,,,,,,,,,,,,,,0.82
2010-02-12,,,,,,,,,,,,,,,,,,,,0.82
2010-02-15,,,,,,,,,,,,,,,,,,,,0.82
2010-02-16,,,,,,,,,,,,,,,,,,,,0.82
2010-02-17,,,,,,,,,,,,,,,,,,,,0.82
2010-02-18,,,,,,,,,,,,,,,,,,,,0.82
2010-02-19,,,,,,,,,,,,,,,,,,,,0.82
2010-02-22,,,,,,,,,,,,,,,,,,,,0.82
2010-03-15,,,,,,,,,,,,,,,,,,,,0.85
2010-03-16,,,,,,,,,,,,,,,,,,,,0.85
2010-03-18,,,,,,,,,,,,,,,,,,,,0.85
2010-03-19,,,,,,,,,,,,,,,,,,,,0.85
2010-03-23,,,,,,,,,,,,,,,,,,,,0.85
2010-03-24,,,,,,,,,,,,,,,,,,,,0.85
2010-03-25,,,,,,,,,,,,,,,,,,,,0.85
2010-03-26,,,,,,,,,,,,,,,,,,,,0.85
2010-03-29,,,,,,,,,,,,,,,,,,,,0.85
2010-03-30,,,,,,,,,,,,,,,,,,,,0.85
2010-03-31,,,,,,,,,,,,,,,,,,,,0.9
2010-04-01,,,,,,,,,,,,,,,,,,,,0.9
2010-04-06,,,,,,,,,,,,,,,,,,,,0.9
2010-04-07,,,,,,,,,,,,,,,,,,,,0.9
2010-04-08,,,,,,,,,,,,,,,,,,,,0.9
2010-04-09,,,,,,,,,,,,,,,,,,,,0.98
2010-04-12,,,,,,,,,,,,,,,,,,,,0.98
2010-04-13,,,,,,,,,,,,,,,,,,,,0.98
2010-04-14,,,,,,,,,,,,,,,,,,,,0.98
2010-04-15,,,,,,,,,,,,,,,,,,,,1.0
2010-04-16,,,,,,,,,,,,,,,,,,,,1.0
2010-04-19,,,,,,,,,,,,,,,,,,,,1.0
2010-04-20,,,,,,,,,,,,,,,,,,,,1.0
2010-04-21,,,,,,,,,,,,,,,,,,,,1.0
2010-04-22,,,,,,,,,,,,,,,,,,,,1.1
2010-04-23,,,,,,,,,,,,,,,,,,,,1.15
2010-04-28,,,,,,,,,,,,,,,,,,,,1.2
2010-04-29,,,,,,,,,,,,,,,,,,,,1.2
2010-04-30,,,,,,,,,,,,,,,,,,,,1.2
2010-05-03,,,,,,,,,,,,,,,,,,,,1.2
2010-05-04,,,,,,,,,,,,,,,,,,,,1.2
2010-05-07,,,,,,,,,,,,,,,,,,,,1.24
2010-05-10,,,,,,,,,,,,,,,,,,,,1.24
2010-05-11,,,,,,,,,,,,,,,,,,,,1.24
2010-05-13,,,,,,,,,,,,,,,,,,,,1.24
2010-05-14,,,,,,,,,,,,,,,,,,,,1.24
2010-05-17,,,,,,,,,,,,,,,,,,,,1.24
2010-05-20,,,,,,,,,,,,,,,,,,,,1.24
2010-05-21,,,,,,,,,,,,,,,,,,,,1.24
2010-05-25,,,,,,,,,,,,,,,,,,,,1.24
2010-05-26,,,,,,,,,,,,,,,,,,,,1.24
2010-05-27,,,,,,,,,,,,,,,,,,,,1.24
2010-05-28,,,,,,,,,,,,,,,,,,,,1.24
2010-05-31,,,,,,,,,,,,,,,,,,,,1.24
2010-06-01,,,,,,,,,,,,,,,,,,,,1.24
2010-06-02,,,,,,,,,,,,,,,,,,,,1.24
2010-06-03,,,,,,,,,,,,,,,,,,,,1.24
2010-06-04,,,,,,,,,,,,,,,,,,,,1.24
2010-06-07,,,,,,,,,,,,,,,,,,,,1.24
2010-06-09,,,,,,,,,,,,,,,,,,,,1.24
2010-06-10,,,,,,,,,,,,,,,,,,,,1.24
2010-06-11,,,,,,,,,,,,,,,,,,,,1.24
2010-06-14,,,,,,,,,,,,,,,,,,,,1.24
2010-06-15,,,,,,,,,,,,,,,,,,,,1.24
2010-06-16,,,,,,,,,,,,,,,,,,,,1.24
2010-06-17,,,,,,,,,,,,,,,,,,,,1.24
2010-06-18,,,,,,,,,,,,,,,,,,,,1.24
2010-06-21,,,,,,,,,,,,,,,,,,,,1.24
2010-06-23,,,,,,,,,,,,,,,,,,,,1.24
2010-06-24,,,,,,,,,,,,,,,,,,,,1.24
2010-06-25,,,,,,,,,,,,,,,,,,,,1.24
2010-06-28,,,,,,,,,,,,,,,,,,,,1.24
2010-06-29,,,,,,,,,,,,,,,,,,,,1.24
2010-06-30,,,,,,,,,,,,,,,,,,,,1.24
2010-07-01,,,,,,,,,,,,,,,,,,,,1.24
2010-07-02,,,,,,,,,,,,,,,,,,,,1.24
2010-07-05,,,,,,,,,,,,,,,,,,,,1.24
2010-07-06,,,,,,,,,,,,,,,,,,,,1.24
2010-07-12,,,,,,,,,,,,,,,,,,,,1.25
2010-07-28,,,,,,,,,,,,,,,,,,,,1.24
2010-07-29,,,,,,,,,,,,,,,,,,,,1.24
2010-07-30,,,,,,,,,,,,,,,,,,,,1.24
2010-08-02,,,,,,,,,,,,,,,,,,,,1.24
2010-08-03,,,,,,,,,,,,,,,,,,,,1.24
2010-08-05,,,,,,,,,,,,,,,,,,,,1.24
2010-08-30,,,,,,,,,,,,,,,,,,,,1.24
2010-09-06,,,,,,,,,,,,,,,,,,,,1.24
2010-09-09,,,,,,,,,,,,,,,,,,,,1.23
2010-09-10,,,,,,,,,,,,,,,,,,,,1.22
2010-09-23,,,,,,,,,,,,,,,,,,,,1.22
2010-10-07,,,,,,,,,,,,,,,,,,,,1.22
2010-10-11,,,,,,,,,,,,,,,,,,,,1.22
2010-10-12,,,,,,,,,,,,,,,,,,,,1.22
2010-10-14,,,,,,,,,,,,,,,,,,,,1.22
2010-10-18,,,,,,,,,,,,,,,,,,,,1.22
2010-10-22,,,,,,,,,,,,,,,,,,,,1.21
2010-10-27,,,,,,,,,,,,,,,,,,,,1.22
2010-11-02,,,,,,,,,,,,,,,,,,,,1.2
2010-11-03,,,,,,,,,,,,,,,,,,,,1.2
2010-11-04,,,,,,,,,,,,,,,,,,,,1.2
2010-11-05,,,,,,,,,,,,,,,,,,,,1.2
2010-11-08,,,,,,,,,,,,,,,,,,,,1.2
2010-11-09,,,,,,,,,,,,,,,,,,,,1.2
2010-11-10,,,,,,,,,,,,,,,,,,,,1.2
2010-11-11,,,,,,,,,,,,,,,,,,,,1.2
2010-11-12,,,,,,,,,,,,,,,,,,,,1.2
2010-11-15,,,,,,,,,,,,,,,,,,,,1.2
2010-11-16,,,,,,,,,,,,,,,,,,,,1.2
2010-11-17,,,,,,,,,,,,,,,,,,,,1.2
2010-11-22,,,,,,,,,,,,,,,,,,,,1.15
2010-11-23,,,,,,,,,,,,,,,,,,,,1.15
2010-11-24,,,,,,,,,,,,,,,,,,,,1.2
2010-11-25,,,,,,,,,,,,,,,,,,,,1.2
2010-11-26,,,,,,,,,,,,,,,,,,,,1.2
2010-11-29,,,,,,,,,,,,,,,,,,,,1.2
2010-11-30,,,,,,,,,,,,,,,,,,,,1.2
2010-12-01,,,,,,,,,,,,,,,,,,,,1.2
2010-12-02,,,,,,,,,,,,,,,,,,,,1.2
2010-12-03,,,,,,,,,,,,,,,,,,,,1.2
2010-12-06,,,,,,,,,,,,,,,,,,,,1.2
2010-12-07,,,,,,,,,,,,,,,,,,,,1.2
2010-12-08,,,,,,,,,,,,,,,,,,,,1.2
2010-12-09,,,,,,,,,,,,,,,,,,,,1.2
2010-12-10,,,,,,,,,,,,,,,,,,,,1.2
2010-12-13,,,,,,,,,,,,,,,,,,,,1.19
2010-12-15,,,,,,,,,,,,,,,,,,,,1.19
2010-12-16,,,,,,,,,,,,,,,,,,,,1.19
2010-12-17,,,,,,,,,,,,,,,,,,,,1.19
2010-12-20,,,,,,,,,,,,,,,,,,,,1.19
2010-12-21,,,,,,,,,,,,,,,,,,,,1.19
2010-12-22,,,,,,,,,,,,,,,,,,,,1.19
2010-12-23,,,,,,,,,,,,,,,,,,,,1.19
2010-12-24,,,,,,,,,,,,,,,,,,,,1.19
