,INEA FP Equity_DX_SI_QTY,INEA FP Equity_DX_SHORT_INTEREST_VALUE,INEA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,INEA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,INEA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,INEA FP Equity_DX_SI_MV,INEA FP Equity_DX_DSS,INEA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,INEA FP Equity_DX_SUPPLY_SI_QTY,INEA FP Equity_DX_BROKER_SI_QTY,INEA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,INEA FP Equity_DX_SUPPLY_SI_QTY_INC_x,INEA FP Equity_DX_BROKER_SI_MV_INC_x,INEA FP Equity_DX_BROKER_SI_QTY_ADD,INEA FP Equity_DX_SUPPLY_SI_MV_DEC,INEA FP Equity_DX_BROKER_SI_QTY_INC,INEA FP Equity_DX_SUPPLY_SI_QTY_DEC,INEA FP Equity_DX_BROKER_SI_MV_INC_y,INEA FP Equity_DX_SUPPLY_SI_QTY_INC_y,INEA FP Equity_DX_BROKER_SI_MV_ADD,INEA FP Equity_DX_SUPPLY_SI_QTY_ADD,INEA FP Equity_DX_BROKER_SI_QTY_DEC,INEA FP Equity_DX_SUPPLY_SI_MV,INEA FP Equity_DX_BROKER_SI_MV_DEC,INEA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,INEA FP Equity_DX_UTILIZATION_QUANTITY,INEA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,INEA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,INEA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,INEA FP Equity_DX_ACTIVE_UTILIZATION_MV,INEA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,INEA FP Equity_DX_BROKER_SI_CON_RATIO,INEA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,INEA FP Equity_DX_DEMAND_SUPPLY_RATIO,INEA FP Equity_PX_LAST
2006-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0
2006-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4
2006-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2
2006-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.13
2006-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0
2006-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.96
2006-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.84
2006-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.79
2006-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.95
2006-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.89
2006-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.84
2006-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.38
2006-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3
2006-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2
2006-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5
2007-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5
2007-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5
2007-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0
2007-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.05
2007-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5
2007-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.26
2007-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2
2007-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.85
2007-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0
2007-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0
2007-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.79
2007-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5
2007-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4
2007-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.25
2007-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1
2007-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.98
2007-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
2007-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.99
2007-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96
2007-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.93
2007-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.86
2007-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.63
2007-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.61
2007-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.93
2007-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7
2007-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5
2007-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7
2007-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.95
2007-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3
2007-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0
2007-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.87
2007-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.95
2007-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.85
2007-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7
2007-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2007-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8
2007-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.79
2007-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.29
2007-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0
2007-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6
2007-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5
2007-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4
2007-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4
2007-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0
2007-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.57
2007-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8
2007-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.97
2007-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0
2007-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9
2007-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.99
2007-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.45
2007-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.47
2007-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3
2007-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0
2007-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5
2007-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5
2007-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5
2007-03-22,221.0,5572.02,0.01,0.2,0.01,0.01,,5572.02,0.0,221.0,0.0,,,221.0,,,,,,0.01,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,37.0
2007-03-23,221.0,5569.01,0.01,0.19,0.01,0.01,,5569.01,0.0,221.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,36.98
2007-03-26,221.0,5572.02,0.01,0.19,0.01,0.01,,5572.02,0.0,221.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,37.0
2007-03-27,221.0,5572.02,0.01,0.19,0.01,0.01,,5572.02,0.0,221.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,37.0
2007-03-28,221.0,5633.77,0.01,0.23,0.01,0.01,,5633.77,0.0,221.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,37.41
2007-03-29,221.0,5677.44,0.01,0.23,0.01,0.01,,5677.44,0.0,221.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,37.7
2007-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.69
2007-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
2007-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8
2007-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
2007-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
2007-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
2007-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
