,MLMCA FP Equity_DX_SI_QTY,MLMCA FP Equity_DX_SHORT_INTEREST_VALUE,MLMCA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLMCA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLMCA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLMCA FP Equity_DX_SI_MV,MLMCA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLMCA FP Equity_DX_SUPPLY_SI_QTY,MLMCA FP Equity_DX_BROKER_SI_QTY,MLMCA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLMCA FP Equity_DX_SUPPLY_SI_MV,MLMCA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLMCA FP Equity_DX_UTILIZATION_QUANTITY,MLMCA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLMCA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLMCA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLMCA FP Equity_DX_ACTIVE_UTILIZATION_MV,MLMCA FP Equity_DX_BROKER_SI_CON_RATIO,MLMCA FP Equity_DX_DEMAND_SUPPLY_RATIO,MLMCA FP Equity_PX_LAST
2024-03-04,,,,,,,,,,,,,,,,,,,,4.69
2024-03-05,,,,,,,,,,,,,,,,,,,,4.69
2024-03-06,,,,,,,,,,,,,,,,,,,,4.69
2024-03-07,,,,,,,,,,,,,,,,,,,,4.8
2024-03-08,,,,,,,,,,,,,,,,,,,,4.8
2024-03-11,,,,,,,,,,,,,,,,,,,,4.85
2024-03-12,,,,,,,,,,,,,,,,,,,,4.85
2024-03-13,,,,,,,,,,,,,,,,,,,,4.85
2024-03-14,,,,,,,,,,,,,,,,,,,,4.85
2024-03-15,,,,,,,,,,,,,,,,,,,,4.85
2024-03-18,,,,,,,,,,,,,,,,,,,,4.85
2024-03-19,,,,,,,,,,,,,,,,,,,,4.85
2024-03-20,,,,,,,,,,,,,,,,,,,,4.85
2024-03-21,,,,,,,,,,,,,,,,,,,,4.85
2024-03-22,,,,,,,,,,,,,,,,,,,,4.85
2024-03-25,,,,,,,,,,,,,,,,,,,,4.85
2024-03-26,,,,,,,,,,,,,,,,,,,,4.85
2024-03-27,,,,,,,,,,,,,,,,,,,,4.85
2024-03-28,,,,,,,,,,,,,,,,,,,,4.85
2024-04-02,,,,,,,,,,,,,,,,,,,,4.85
2024-04-03,,,,,,,,,,,,,,,,,,,,4.85
2024-04-04,,,,,,,,,,,,,,,,,,,,4.85
2024-04-05,,,,,,,,,,,,,,,,,,,,4.85
2024-04-08,,,,,,,,,,,,,,,,,,,,4.85
2024-04-09,,,,,,,,,,,,,,,,,,,,4.85
2024-04-10,,,,,,,,,,,,,,,,,,,,4.85
2024-04-11,,,,,,,,,,,,,,,,,,,,4.85
2024-04-12,,,,,,,,,,,,,,,,,,,,4.85
2024-04-15,,,,,,,,,,,,,,,,,,,,4.85
2024-04-16,,,,,,,,,,,,,,,,,,,,4.85
2024-04-17,,,,,,,,,,,,,,,,,,,,4.85
2024-04-18,,,,,,,,,,,,,,,,,,,,4.85
2024-04-19,,,,,,,,,,,,,,,,,,,,4.85
2024-04-22,,,,,,,,,,,,,,,,,,,,4.85
2024-04-23,,,,,,,,,,,,,,,,,,,,4.85
2024-04-24,,,,,,,,,,,,,,,,,,,,4.85
2024-04-25,,,,,,,,,,,,,,,,,,,,4.85
2024-04-26,,,,,,,,,,,,,,,,,,,,4.85
2024-04-29,,,,,,,,,,,,,,,,,,,,4.85
2024-04-30,,,,,,,,,,,,,,,,,,,,4.85
2024-05-02,,,,,,,,,,,,,,,,,,,,4.85
2024-05-03,,,,,,,,,,,,,,,,,,,,4.85
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,10185.0,0.01,0.0,0.0,0.0,4.85
2024-05-07,,,,,,,,,,,,,,,,,,,,4.85
2024-05-08,,,,,,,,,,,,,,,,,,,,4.85
2024-05-09,,,,,,,,,,,,,,,,,,,,4.85
2024-05-10,,,,,,,,,,,,,,,,,,,,4.85
2024-05-13,,,,,,,,,,,,,,,,,,,,4.85
2024-05-14,,,,,,,,,,,,,,,,,,,,4.85
2024-05-15,,,,,,,,,,,,,,,,,,,,4.85
2024-05-16,,,,,,,,,,,,,,,,,,,,4.85
2024-05-17,,,,,,,,,,,,,,,,,,,,4.85
2024-05-20,,,,,,,,,,,,,,,,,,,,4.85
2024-05-21,,,,,,,,,,,,,,,,,,,,4.95
2024-05-22,,,,,,,,,,,,,,,,,,,,4.95
2024-05-23,,,,,,,,,,,,,,,,,,,,4.85
2024-05-24,,,,,,,,,,,,,,,,,,,,4.95
2024-05-27,,,,,,,,,,,,,,,,,,,,4.95
2024-05-28,,,,,,,,,,,,,,,,,,,,5.05
2024-05-29,,,,,,,,,,,,,,,,,,,,5.05
2024-05-30,,,,,,,,,,,,,,,,,,,,5.05
2024-05-31,,,,,,,,,,,,,,,,,,,,5.05
2024-06-03,,,,,,,,,,,,,,,,,,,,5.104
2024-06-04,,,,,,,,,,,,,,,,,,,,5.2
2024-06-05,,,,,,,,,,,,,,,,,,,,5.4
2024-06-06,,,,,,,,,,,,,,,,,,,,5.46
2024-06-07,,,,,,,,,,,,,,,,,,,,5.5
2024-06-10,,,,,,,,,,,,,,,,,,,,6.0
2024-06-11,,,,,,,,,,,,,,,,,,,,6.01
2024-06-12,,,,,,,,,,,,,,,,,,,,6.45
2024-06-13,,,,,,,,,,,,,,,,,,,,6.45
2024-06-14,,,,,,,,,,,,,,,,,,,,6.5
2024-06-17,,,,,,,,,,,,,,,,,,,,5.7
2024-06-18,,,,,,,,,,,,,,,,,,,,5.7
2024-06-19,,,,,,,,,,,,,,,,,,,,6.05
2024-06-20,,,,,,,,,,,,,,,,,,,,5.7
2024-06-21,,,,,,,,,,,,,,,,,,,,5.75
2024-06-24,,,,,,,,,,,,,,,,,,,,5.75
2024-06-25,,,,,,,,,,,,,,,,,,,,5.75
2024-06-26,,,,,,,,,,,,,,,,,,,,5.75
2024-06-27,,,,,,,,,,,,,,,,,,,,5.8
2024-06-28,,,,,,,,,,,,,,,,,,,,5.9
2024-07-01,,,,,,,,,,,,,,,,,,,,6.0
2024-07-02,,,,,,,,,,,,,,,,,,,,6.0
2024-07-03,,,,,,,,,,,,,,,,,,,,6.0
2024-07-04,,,,,,,,,,,,,,,,,,,,6.1
2024-07-05,,,,,,,,,,,,,,,,,,,,6.15
2024-07-08,,,,,,,,,,,,,,,,,,,,6.5
2024-07-09,,,,,,,,,,,,,,,,,,,,6.15
2024-07-10,,,,,,,,,,,,,,,,,,,,6.15
2024-07-11,,,,,,,,,,,,,,,,,,,,6.5
2024-07-12,,,,,,,,,,,,,,,,,,,,6.5
2024-07-15,,,,,,,,,,,,,,,,,,,,6.5
2024-07-16,,,,,,,,,,,,,,,,,,,,6.5
2024-07-17,,,,,,,,,,,,,,,,,,,,6.5
2024-07-18,,,,,,,,,,,,,,,,,,,,6.5
2024-07-19,,,,,,,,,,,,,,,,,,,,6.65
2024-07-22,,,,,,,,,,,,,,,,,,,,6.95
2024-07-23,,,,,,,,,,,,,,,,,,,,6.95
2024-07-24,,,,,,,,,,,,,,,,,,,,6.95
2024-07-25,,,,,,,,,,,,,,,,,,,,6.3
2024-07-26,,,,,,,,,,,,,,,,,,,,6.55
2024-07-29,,,,,,,,,,,,,,,,,,,,6.55
2024-07-30,,,,,,,,,,,,,,,,,,,,6.55
2024-07-31,,,,,,,,,,,,,,,,,,,,6.55
2024-08-01,,,,,,,,,,,,,,,,,,,,6.55
2024-08-02,,,,,,,,,,,,,,,,,,,,6.55
2024-08-05,,,,,,,,,,,,,,,,,,,,6.2
2024-08-06,,,,,,,,,,,,,,,,,,,,6.0
2024-08-07,,,,,,,,,,,,,,,,,,,,6.0
2024-08-08,,,,,,,,,,,,,,,,,,,,6.0
2024-08-09,,,,,,,,,,,,,,,,,,,,6.0
2024-08-12,,,,,,,,,,,,,,,,,,,,6.0
2024-08-13,,,,,,,,,,,,,,,,,,,,6.0
2024-08-14,,,,,,,,,,,,,,,,,,,,6.0
2024-08-15,,,,,,,,,,,,,,,,,,,,6.0
2024-08-16,,,,,,,,,,,,,,,,,,,,6.0
2024-08-19,,,,,,,,,,,,,,,,,,,,6.0
2024-08-20,,,,,,,,,,,,,,,,,,,,6.0
2024-08-21,,,,,,,,,,,,,,,,,,,,6.0
2024-08-22,,,,,,,,,,,,,,,,,,,,6.0
2024-08-23,,,,,,,,,,,,,,,,,,,,5.95
2024-08-26,,,,,,,,,,,,,,,,,,,,6.0
2024-08-27,,,,,,,,,,,,,,,,,,,,6.1
2024-08-28,,,,,,,,,,,,,,,,,,,,6.1
2024-08-29,,,,,,,,,,,,,,,,,,,,6.0
2024-08-30,,,,,,,,,,,,,,,,,,,,6.0
