,ALVAL FP Equity_DX_SI_QTY,ALVAL FP Equity_DX_SHORT_INTEREST_VALUE,ALVAL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALVAL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALVAL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALVAL FP Equity_DX_SI_MV,ALVAL FP Equity_DX_DSS,ALVAL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALVAL FP Equity_DX_SUPPLY_SI_QTY,ALVAL FP Equity_DX_BROKER_SI_QTY,ALVAL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALVAL FP Equity_DX_BROKER_SI_MV_NEW_x,ALVAL FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALVAL FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALVAL FP Equity_DX_BROKER_SI_MV_INC_x,ALVAL FP Equity_DX_SUPPLY_SI_MV_NEW,ALVAL FP Equity_DX_BROKER_SI_QTY_ADD,ALVAL FP Equity_DX_BROKER_SI_QTY_NEW,ALVAL FP Equity_DX_SUPPLY_SI_MV_DEC,ALVAL FP Equity_DX_BROKER_SI_QTY_INC,ALVAL FP Equity_DX_SUPPLY_SI_QTY_DEC,ALVAL FP Equity_DX_BROKER_SI_MV_NEW_y,ALVAL FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALVAL FP Equity_DX_BROKER_SI_MV_INC_y,ALVAL FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALVAL FP Equity_DX_BROKER_SI_MV_ADD,ALVAL FP Equity_DX_SUPPLY_SI_QTY_ADD,ALVAL FP Equity_DX_BROKER_SI_QTY_DEC,ALVAL FP Equity_DX_SUPPLY_SI_MV,ALVAL FP Equity_DX_BROKER_SI_MV_DEC,ALVAL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALVAL FP Equity_DX_UTILIZATION_QUANTITY,ALVAL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALVAL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALVAL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALVAL FP Equity_DX_ACTIVE_UTILIZATION_MV,ALVAL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALVAL FP Equity_DX_BROKER_SI_CON_RATIO,ALVAL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALVAL FP Equity_DX_DEMAND_SUPPLY_RATIO
2020-04-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,180000.0,0.17,0.0,,0.0,,0.0
2020-04-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,173700.0,0.18,0.0,,0.0,,0.0
2020-04-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,176400.0,0.17,0.0,,0.0,,0.0
2020-04-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,168750.0,0.18,0.0,,0.0,,0.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,168750.0,0.17,0.0,,0.0,,0.0
2020-05-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,168300.0,0.17,0.0,,0.0,,0.0
2020-05-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,166950.0,0.17,0.0,,0.0,,0.0
2020-05-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,166500.0,0.17,0.0,,0.0,,0.0
2020-05-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,169200.0,0.17,0.0,,0.0,,0.0
2020-05-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,171450.0,0.17,0.0,,0.0,,0.0
2020-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,167400.0,0.17,0.0,,0.0,,0.0
2020-05-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,166500.0,0.17,0.0,,0.0,,0.0
2020-05-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,151200.0,0.17,0.0,,0.0,,0.0
2020-05-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,156600.0,0.15,0.0,,0.0,,0.0
2020-05-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,157500.0,0.16,0.0,,0.0,,0.0
2020-05-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,162000.0,0.16,0.0,,0.0,,0.0
2020-05-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,159300.0,0.16,0.0,,0.0,,0.0
2020-05-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,159750.0,0.16,0.0,,0.0,,0.0
2020-05-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,162900.0,0.16,0.0,,0.0,,0.0
2020-05-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,164700.0,0.16,0.0,,0.0,,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,166050.0,0.16,0.0,,0.0,,0.0
2020-05-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,166500.0,0.17,0.0,,0.0,,0.0
2020-05-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,163350.0,0.17,0.0,,0.0,,0.0
2020-05-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,164250.0,0.16,0.0,,0.0,,0.0
2020-05-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,162000.0,0.16,0.0,,0.0,,0.0
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,173700.0,0.16,0.0,,0.0,,0.0
2020-06-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,173250.0,0.16,0.0,,0.0,,0.0
2020-06-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,168750.0,0.17,0.0,,0.0,,0.0
2020-06-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,45000.0,166500.0,0.17,0.0,,0.0,,0.0
