,BTCG FP Equity_PX_LAST
2025-03-06,10.4256
2025-03-07,10.4256
2025-03-10,10.4256
2025-03-11,9.389
2025-03-12,9.478
2025-03-13,9.5595
2025-03-14,9.7064
2025-03-17,9.7834
2025-03-18,9.7722
2025-03-19,9.9195
2025-03-20,9.9626
2025-03-21,9.8882
2025-03-24,10.0647
2025-03-25,10.065
2025-03-26,10.0364
2025-03-27,10.1536
2025-03-28,10.0742
2025-03-31,10.166
2025-04-01,10.2245
2025-04-02,10.1356
2025-04-03,9.8229
2025-04-04,9.703
2025-04-07,9.5623
2025-04-08,9.607
2025-04-09,9.6668
2025-04-10,9.8053
2025-04-11,9.8947
2025-04-14,9.8114
2025-04-15,9.8995
2025-04-16,10.0958
2025-04-17,10.0467
2025-04-22,10.3889
2025-04-23,10.0664
2025-04-24,10.2923
2025-04-25,10.085
2025-04-28,10.1639
2025-04-29,10.1038
2025-04-30,10.1038
2025-05-02,10.0154
2025-05-05,10.1612
2025-05-06,10.3705
2025-05-07,10.3665
2025-05-08,10.345
2025-05-09,10.3582
2025-05-12,10.215
2025-05-13,10.2088
2025-05-14,9.993
2025-05-15,10.0785
2025-05-16,9.9645
2025-05-19,10.0998
2025-05-20,10.2185
2025-05-21,10.27
2025-05-22,10.2883
2025-05-23,10.4018
2025-05-26,10.3108
2025-05-27,10.2276
2025-05-28,10.2452
2025-05-29,10.3071
2025-05-30,10.1522
2025-06-02,10.2942
2025-06-03,10.2942
2025-06-04,10.3803
2025-06-05,10.3803
2025-06-06,10.2532
2025-06-09,10.2783
2025-06-10,10.2783
2025-06-11,10.2783
2025-06-12,10.2783
2025-06-13,10.3297
2025-06-16,10.2955
2025-06-17,10.2769
2025-06-18,10.2769
2025-06-19,10.2769
2025-06-20,10.2311
2025-06-23,10.1547
2025-06-24,9.9191
2025-06-25,9.9989
2025-06-26,9.9185
2025-06-27,9.7792
2025-06-30,9.7965
2025-07-01,9.8895
2025-07-02,9.9217
2025-07-03,9.9397
2025-07-04,9.8939
2025-07-07,9.9056
2025-07-08,9.8772
2025-07-09,9.9203
2025-07-10,10.0165
2025-07-11,10.2443
2025-07-14,10.2929
2025-07-15,10.225
2025-07-16,10.2825
2025-07-17,10.2808
2025-07-18,10.2488
2025-07-21,10.3219
2025-07-22,10.3434
2025-07-23,10.3174
2025-07-24,10.2154
2025-07-25,10.0761
2025-07-28,10.2016
2025-07-29,10.2903
2025-07-30,10.1747
2025-07-31,10.3131
2025-08-01,10.1385
2025-08-04,10.1654
2025-08-05,10.0939
2025-08-06,10.1134
2025-08-07,10.1945
2025-08-08,10.2014
2025-08-11,10.3198
2025-08-12,10.2354
2025-08-13,10.2505
2025-08-14,10.1856
2025-08-15,10.0865
2025-08-18,10.036
2025-08-19,9.9658
2025-08-20,10.0005
2025-08-21,9.9949
2025-08-22,10.1115
2025-08-25,9.9628
2025-08-26,9.9023
2025-08-27,10.0226
2025-08-28,10.0269
2025-08-29,9.8894
