,MTH FP Equity_PX_LAST
2015-03-10,105.14
2015-03-11,107.55
2015-03-12,107.23
2015-03-13,107.03
2015-03-16,107.45
2015-03-17,106.41
2015-03-18,106.84
2015-03-19,107.14
2015-03-20,107.41
2015-03-23,106.46
2015-03-24,106.11
2015-03-25,106.28
2015-03-26,106.27
2015-03-27,106.2
2015-03-30,106.67
2015-03-31,107.31
2015-04-01,107.47
2015-04-02,106.76
2015-04-07,106.43
2015-04-08,106.4
2015-04-09,106.19
2015-04-10,106.5
2015-04-13,106.68
2015-04-14,106.82
2015-04-15,107.99
2015-04-16,107.97
2015-04-17,107.59
2015-04-20,107.78
2015-04-21,107.12
2015-04-22,106.65
2015-04-23,106.36
2015-04-24,105.81
2015-04-27,105.91
2015-04-28,105.71
2015-04-29,102.38
2015-04-30,101.23
2015-05-04,99.26
2015-05-05,96.22
2015-05-06,93.97
2015-05-07,95.05
2015-05-08,96.17
2015-05-11,94.56
2015-05-12,92.73
2015-05-13,94.03
2015-05-14,91.65
2015-05-15,93.53
2015-05-18,92.65
2015-05-19,94.16
2015-05-20,93.75
2015-05-21,93.61
2015-05-22,93.99
2015-05-26,94.23
2015-05-27,94.73
2015-05-28,94.81
2015-05-29,95.85
2015-06-01,95.03
2015-06-02,91.99
2015-06-03,89.18
2015-06-04,89.82
2015-06-05,88.71
2015-06-08,88.2
2015-06-09,86.64
2015-06-10,85.86
2015-06-11,87.49
2015-06-12,87.39
2015-06-15,86.89
2015-06-16,87.32
2015-06-17,87.4
2015-06-18,88.11
2015-06-19,88.56
2015-06-22,87.18
2015-06-23,87.41
2015-06-24,87.32
2015-06-25,86.89
2015-06-26,85.95
2015-06-29,86.27
2015-06-30,86.8
2015-07-01,85.73
2015-07-02,85.03
2015-07-03,86.09
2015-07-06,86.01
2015-07-07,88.59
2015-07-08,89.31
2015-07-09,88.52
2015-07-10,86.56
2015-07-13,86.34
2015-07-14,86.63
2015-07-15,88.32
2015-07-16,88.34
2015-07-17,89.78
2015-07-20,90.35
2015-07-21,89.57
2015-07-22,90.23
2015-07-23,90.55
2015-07-24,91.69
2015-07-27,91.76
2015-07-28,91.79
2015-07-29,91.22
2015-07-30,92.42
2015-07-31,93.04
2015-08-03,92.95
2015-08-04,92.55
2015-08-05,89.95
2015-08-06,90.93
2015-08-07,91.55
2015-08-10,91.3
2015-08-11,93.02
2015-08-13,92.74
2015-08-14,92.47
2015-08-17,93.12
2015-08-18,92.58
2015-08-19,92.61
2015-08-20,93.15
2015-08-21,93.42
2015-08-24,93.0
2015-08-25,90.1
2015-08-26,90.54
2015-08-27,90.08
2015-08-28,90.22
2015-08-31,89.33
2015-09-01,88.94
2015-09-02,89.15
2015-09-03,90.06
2015-09-04,91.22
2015-09-07,91.15
2015-09-08,90.27
2015-09-09,90.17
2015-09-10,90.29
2015-09-11,90.47
2015-09-14,90.49
2015-09-15,89.46
2015-09-16,88.94
2015-09-17,89.18
2015-09-18,91.68
2015-09-21,91.02
2015-09-22,92.4
2015-09-23,92.4
2015-09-24,92.7
2015-09-25,91.44
2015-09-28,92.44
2015-09-29,92.74
2015-09-30,92.69
2015-10-01,93.53
2015-10-02,94.35
2015-10-05,93.06
2015-10-06,92.28
2015-10-07,92.58
2015-10-08,92.9
2015-10-09,92.46
2015-10-12,93.17
2015-10-13,92.87
2015-10-14,93.61
2015-10-15,93.41
2015-10-16,93.7
2015-10-19,93.36
2015-10-20,92.32
2015-10-21,93.56
2015-10-22,95.13
2015-10-23,94.9
2015-10-26,95.15
2015-10-27,96.27
2015-10-28,96.56
2015-10-29,95.05
2015-10-30,95.17
2015-11-02,93.94
2015-11-03,93.44
2015-11-04,92.8
2015-11-05,92.12
2015-11-06,90.46
2015-11-09,89.55
2015-11-10,90.52
2015-11-11,90.93
2015-11-12,91.57
2015-11-13,92.47
2015-11-16,92.8
2015-11-17,92.8
2015-11-18,93.61
2015-11-19,94.46
2015-11-20,95.1
2015-11-23,94.14
2015-11-24,94.22
2015-11-25,94.76
2015-11-26,94.72
2015-11-27,94.98
2015-11-30,94.3
2015-12-01,94.01
2015-12-02,94.19
2015-12-03,91.45
2015-12-04,91.15
2015-12-07,93.05
2015-12-08,93.86
2015-12-09,93.14
2015-12-10,93.42
2015-12-11,94.16
2015-12-14,93.28
2015-12-15,92.24
2015-12-16,91.76
2015-12-17,93.13
2015-12-18,94.17
2015-12-21,93.87
2015-12-22,92.81
2015-12-23,91.92
2015-12-28,93.27
2015-12-29,91.26
2015-12-30,91.4
2016-01-04,92.31
2016-01-05,92.41
2016-01-06,92.9
2016-01-07,92.09
2016-01-08,92.97
2016-01-11,92.39
2016-01-12,92.74
2016-01-13,93.5
2016-01-14,93.17
2016-01-15,93.65
2016-01-18,93.49
2016-01-19,93.49
2016-01-20,94.2
2016-01-21,94.91
2016-01-22,94.12
2016-01-25,94.54
2016-01-26,95.41
2016-01-27,95.47
2016-01-28,96.07
2016-01-29,97.66
2016-02-01,96.95
2016-02-02,97.2
2016-02-03,98.34
2016-02-04,97.69
2016-02-05,97.76
2016-02-08,98.67
2016-02-09,98.32
2016-02-10,97.98
2016-02-11,99.14
2016-02-12,97.98
2016-02-15,98.5
2016-02-16,97.68
2016-02-17,97.76
2016-02-18,99.34
2016-02-19,99.47
2016-02-22,100.32
2016-02-23,100.48
2016-02-24,101.18
2016-02-25,101.14
2016-02-26,100.89
2016-02-29,101.4
2016-03-01,100.09
2016-03-02,98.46
2016-03-03,99.22
2016-03-04,98.19
2016-03-07,98.21
2016-03-08,99.13
2016-03-09,98.55
2016-03-10,97.8
2016-03-11,98.98
2016-03-14,99.14
2016-03-15,98.26
2016-03-16,98.64
2016-03-17,100.54
2016-03-18,101.27
2016-03-21,100.92
2016-03-22,101.47
2016-03-23,101.31
2016-03-24,101.85
2016-03-29,103.07
2016-03-30,102.84
2016-03-31,102.99
2016-04-01,103.49
2016-04-04,103.87
2016-04-05,104.13
2016-04-06,103.51
2016-04-07,103.53
2016-04-08,103.36
2016-04-11,102.43
2016-04-12,101.01
2016-04-13,102.2
2016-04-14,101.64
2016-04-15,102.19
