,SRIC3 FP Equity_DX_SI_QTY,SRIC3 FP Equity_DX_SHORT_INTEREST_VALUE,SRIC3 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SRIC3 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SRIC3 FP Equity_DX_SI_MV,SRIC3 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SRIC3 FP Equity_DX_SUPPLY_SI_QTY,SRIC3 FP Equity_DX_BROKER_SI_QTY,SRIC3 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SRIC3 FP Equity_DX_SUPPLY_SI_QTY_INC_x,SRIC3 FP Equity_DX_BROKER_SI_MV_INC_x,SRIC3 FP Equity_DX_BROKER_SI_QTY_ADD,SRIC3 FP Equity_DX_SUPPLY_SI_MV_DEC,SRIC3 FP Equity_DX_BROKER_SI_QTY_INC,SRIC3 FP Equity_DX_SUPPLY_SI_QTY_DEC,SRIC3 FP Equity_DX_BROKER_SI_MV_INC_y,SRIC3 FP Equity_DX_SUPPLY_SI_QTY_INC_y,SRIC3 FP Equity_DX_BROKER_SI_MV_ADD,SRIC3 FP Equity_DX_SUPPLY_SI_QTY_ADD,SRIC3 FP Equity_DX_BROKER_SI_QTY_DEC,SRIC3 FP Equity_DX_SUPPLY_SI_MV,SRIC3 FP Equity_DX_BROKER_SI_MV_DEC,SRIC3 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SRIC3 FP Equity_DX_UTILIZATION_QUANTITY,SRIC3 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SRIC3 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SRIC3 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SRIC3 FP Equity_DX_ACTIVE_UTILIZATION_MV,SRIC3 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SRIC3 FP Equity_DX_BROKER_SI_CON_RATIO,SRIC3 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SRIC3 FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4380221.0,44035675.78,43.91,0.0,,0.0,,0.0
2021-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2514096.0,25272447.22,25.24,0.0,,0.0,,0.0
2021-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2514096.0,25266413.39,25.22,0.0,,0.0,,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2514096.0,25264904.93,25.17,0.0,,0.0,,0.0
2021-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2514096.0,25261636.61,25.2,0.0,,0.0,,0.0
2021-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2514096.0,25265910.57,25.2,0.0,,0.0,,0.0
2021-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2514096.0,25262893.66,25.23,0.0,,0.0,,0.0
2021-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2514096.0,25257614.05,25.2,0.0,,0.0,,0.0
2021-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2514096.0,25261385.2,25.19,0.0,,0.0,,0.0
2021-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2514096.0,25263145.07,25.23,0.0,,0.0,,0.0
