,AM3A FP Equity_DX_SI_QTY,AM3A FP Equity_DX_SHORT_INTEREST_VALUE,AM3A FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AM3A FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AM3A FP Equity_DX_SI_MV,AM3A FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AM3A FP Equity_DX_SUPPLY_SI_QTY,AM3A FP Equity_DX_BROKER_SI_QTY,AM3A FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AM3A FP Equity_DX_BROKER_SI_MV_NEW_x,AM3A FP Equity_DX_SUPPLY_SI_QTY_INC_x,AM3A FP Equity_DX_BROKER_SI_MV_INC_x,AM3A FP Equity_DX_BROKER_SI_QTY_ADD,AM3A FP Equity_DX_BROKER_SI_QTY_NEW,AM3A FP Equity_DX_SUPPLY_SI_MV_DEC,AM3A FP Equity_DX_BROKER_SI_QTY_INC,AM3A FP Equity_DX_SUPPLY_SI_QTY_DEC,AM3A FP Equity_DX_BROKER_SI_MV_NEW_y,AM3A FP Equity_DX_BROKER_SI_MV_INC_y,AM3A FP Equity_DX_SUPPLY_SI_QTY_INC_y,AM3A FP Equity_DX_BROKER_SI_MV_ADD,AM3A FP Equity_DX_SUPPLY_SI_QTY_ADD,AM3A FP Equity_DX_BROKER_SI_QTY_DEC,AM3A FP Equity_DX_SUPPLY_SI_MV,AM3A FP Equity_DX_BROKER_SI_MV_DEC,AM3A FP Equity_DX_BROKER_SI_MV_RMV,AM3A FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AM3A FP Equity_DX_UTILIZATION_QUANTITY,AM3A FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AM3A FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AM3A FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AM3A FP Equity_DX_ACTIVE_UTILIZATION_MV,AM3A FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AM3A FP Equity_DX_BROKER_SI_CON_RATIO,AM3A FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AM3A FP Equity_DX_DEMAND_SUPPLY_RATIO,AM3A FP Equity_PX_LAST
2010-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.55
2010-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.23
2010-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.69
2010-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.94
2010-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.85
2010-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.21
2010-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.81
2010-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.58
2010-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.81
2010-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.73
2010-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.5
2010-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.33
2010-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.79
2010-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.98
2010-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.37
2010-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.91
2010-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.31
2010-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.46
2010-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.83
2010-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.21
2010-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.35
2010-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.04
2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.96
