,AJASE FP Equity_PX_LAST
2024-09-03,10.0183
2024-09-04,9.8541
2024-09-05,9.8408
2024-09-06,9.5229
2024-09-09,9.7745
2024-09-10,9.6852
2024-09-11,9.6573
2024-09-12,9.8144
2024-09-13,9.8163
2024-09-16,9.7795
2024-09-17,9.7555
2024-09-18,9.6721
2024-09-19,9.8794
2024-09-20,9.878
2024-09-23,9.9576
2024-09-24,9.8541
2024-09-25,9.8291
2024-09-26,10.0635
2024-09-27,9.9457
2024-09-30,9.9245
2024-10-01,9.9823
2024-10-02,9.9225
2024-10-03,9.8906
2024-10-04,10.0499
2024-10-07,9.98
2024-10-08,10.0176
2024-10-09,9.9746
2024-10-10,9.9793
2024-10-11,10.0114
2024-10-14,10.0443
2024-10-15,9.9451
2024-10-16,9.9339
2024-10-17,9.9723
2024-10-18,9.9502
2024-10-21,9.8248
2024-10-22,9.7131
2024-10-23,9.5381
2024-10-24,9.5956
2024-10-25,9.6406
2024-10-28,9.6937
2024-10-29,9.7848
2024-10-30,9.7593
2024-10-31,9.6309
2024-11-01,9.6958
2024-11-04,9.6944
2024-11-05,9.7543
2024-11-06,9.9244
2024-11-07,9.8966
2024-11-08,9.9732
2024-11-11,10.1038
2024-11-12,9.969
2024-11-13,9.91
2024-11-14,9.9467
2024-11-15,9.8701
2024-11-18,9.922
2024-11-19,9.8943
2024-11-20,9.8478
2024-11-21,9.9618
2024-11-22,10.086
2024-11-25,10.0328
2024-11-26,10.0368
2024-11-27,9.9845
2024-11-28,10.1001
2024-11-29,10.196
2024-12-02,10.4184
2024-12-03,10.5204
2024-12-04,10.4673
2024-12-05,10.4562
2024-12-06,10.4332
2024-12-09,10.3613
2024-12-10,10.3599
2024-12-11,10.5095
2024-12-12,10.4628
2024-12-13,10.2742
2024-12-16,10.234
2024-12-17,10.1944
2024-12-18,10.2132
2024-12-19,10.0889
2024-12-20,10.0845
2024-12-23,10.0119
2024-12-24,10.072
2024-12-27,10.1577
2024-12-30,10.1619
2024-12-31,10.199
2025-01-02,10.3242
2025-01-03,10.2578
2025-01-06,10.2532
2025-01-07,10.2608
2025-01-08,10.2199
2025-01-09,10.1512
2025-01-10,10.0502
2025-01-13,10.0304
2025-01-14,9.9775
2025-01-15,10.1101
2025-01-16,10.0958
2025-01-17,10.1597
2025-01-20,10.1593
2025-01-21,10.205
2025-01-22,10.2509
2025-01-23,10.2901
2025-01-24,10.3072
2025-01-27,10.192
2025-01-28,10.3097
2025-01-29,10.3573
2025-01-30,10.4622
2025-01-31,10.4888
2025-02-03,10.4038
2025-02-04,10.3848
2025-02-05,10.4013
2025-02-06,10.549
2025-02-07,10.4812
2025-02-10,10.5249
2025-02-11,10.497
2025-02-12,10.2908
2025-02-13,10.4411
2025-02-14,10.4219
2025-02-17,10.5946
2025-02-18,10.5928
2025-02-19,10.5633
2025-02-20,10.522
2025-02-21,10.5333
2025-02-24,10.419
2025-02-25,10.4127
2025-02-26,10.5372
2025-02-27,10.5662
2025-02-28,10.3927
2025-03-03,10.5269
2025-03-04,10.2022
2025-03-05,10.1999
2025-03-06,10.2173
2025-03-07,10.1101
2025-03-10,10.0493
2025-03-11,9.8368
2025-03-12,10.0424
2025-03-13,10.0656
2025-03-14,10.1716
2025-03-17,10.2257
2025-03-18,10.1918
2025-03-19,10.2584
2025-03-20,10.2912
2025-03-21,10.3263
2025-03-24,10.347
2025-03-25,10.403
2025-03-26,10.3277
2025-03-27,10.3216
2025-03-28,10.039
2025-03-31,9.9608
2025-04-01,9.9534
2025-04-02,9.8419
2025-04-03,9.3045
2025-04-04,8.9391
2025-04-07,8.7599
2025-04-08,9.1387
2025-04-09,8.7464
2025-04-10,9.0034
2025-04-11,8.8993
2025-04-14,9.1874
2025-04-15,9.3688
2025-04-16,9.3172
2025-04-17,9.4276
2025-04-22,9.4354
2025-04-23,9.6017
2025-04-24,9.6188
2025-04-25,9.6407
2025-04-28,9.7546
2025-04-29,9.8169
2025-04-30,9.7998
2025-05-02,9.8201
2025-05-05,10.0064
2025-05-06,9.9982
2025-05-07,9.9051
2025-05-08,10.0204
2025-05-09,10.0154
2025-05-12,10.253
2025-05-13,10.1455
2025-05-14,10.0227
2025-05-15,10.1196
2025-05-16,10.1637
2025-05-19,10.0646
2025-05-20,10.145
2025-05-21,10.0645
2025-05-22,10.039
2025-05-23,10.0088
2025-05-26,10.1498
2025-05-27,10.3136
2025-05-28,10.1829
2025-05-29,10.1623
2025-05-30,10.1802
2025-06-02,10.2049
2025-06-03,10.1974
2025-06-04,10.1212
2025-06-05,10.0379
2025-06-06,10.1248
2025-06-09,10.1322
2025-06-10,10.1124
2025-06-11,10.0916
