,MLCMG FP Equity_DX_SI_QTY,MLCMG FP Equity_DX_SHORT_INTEREST_VALUE,MLCMG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLCMG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLCMG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLCMG FP Equity_DX_SI_MV,MLCMG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLCMG FP Equity_DX_SUPPLY_SI_QTY,MLCMG FP Equity_DX_BROKER_SI_QTY,MLCMG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLCMG FP Equity_DX_SUPPLY_SI_MV,MLCMG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLCMG FP Equity_DX_UTILIZATION_QUANTITY,MLCMG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLCMG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLCMG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLCMG FP Equity_DX_ACTIVE_UTILIZATION_MV,MLCMG FP Equity_DX_BROKER_SI_CON_RATIO,MLCMG FP Equity_DX_DEMAND_SUPPLY_RATIO,MLCMG FP Equity_PX_LAST
2015-11-25,,,,,,,,,,,,,,,,,,,,1.0
2015-11-26,,,,,,,,,,,,,,,,,,,,1.0
2015-12-04,,,,,,,,,,,,,,,,,,,,1.3
2015-12-07,,,,,,,,,,,,,,,,,,,,1.35
2015-12-08,,,,,,,,,,,,,,,,,,,,1.46
2015-12-14,,,,,,,,,,,,,,,,,,,,2.0
2015-12-16,,,,,,,,,,,,,,,,,,,,2.3
2015-12-17,,,,,,,,,,,,,,,,,,,,2.3
2015-12-18,,,,,,,,,,,,,,,,,,,,2.5
2015-12-22,,,,,,,,,,,,,,,,,,,,2.75
2015-12-24,,,,,,,,,,,,,,,,,,,,2.74
2015-12-28,,,,,,,,,,,,,,,,,,,,2.75
2015-12-29,,,,,,,,,,,,,,,,,,,,3.01
2016-01-04,,,,,,,,,,,,,,,,,,,,3.3
2016-01-12,,,,,,,,,,,,,,,,,,,,3.99
2016-01-25,,,,,,,,,,,,,,,,,,,,4.77
2016-02-02,,,,,,,,,,,,,,,,,,,,5.1
2016-02-03,,,,,,,,,,,,,,,,,,,,5.1
2016-02-12,,,,,,,,,,,,,,,,,,,,5.3
2016-06-06,,,,,,,,,,,,,,,,,,,,5.83
2016-07-25,,,,,,,,,,,,,,,,,,,,5.83
2016-08-01,,,,,,,,,,,,,,,,,,,,5.83
2016-08-12,,,,,,,,,,,,,,,,,,,,5.5
2016-08-17,,,,,,,,,,,,,,,,,,,,5.61
2016-08-23,,,,,,,,,,,,,,,,,,,,5.83
2016-08-24,,,,,,,,,,,,,,,,,,,,6.11
2016-09-27,,,,,,,,,,,,,,,,,,,,6.4
2016-10-05,,,,,,,,,,,,,,,,,,,,6.4
2016-10-13,,,,,,,,,,,,,,,,,,,,7.0
2016-10-26,,,,,,,,,,,,,,,,,,,,7.6
2016-11-07,,,,,,,,,,,,,,,,,,,,8.1
2016-11-30,,,,,,,,,,,,,,,,,,,,8.1
2016-12-22,,,,,,,,,,,,,,,,,,,,8.5
2017-01-12,,,,,,,,,,,,,,,,,,,,8.5
2017-02-23,,,,,,,,,,,,,,,,,,,,8.5
2017-03-31,,,,,,,,,,,,,,,,,,,,8.5
2017-04-24,,,,,,,,,,,,,,,,,,,,8.5
2017-05-30,,,,,,,,,,,,,,,,,,,,6.21
2017-06-29,,,,,,,,,,,,,,,,,,,,6.7
2017-07-07,,,,,,,,,,,,,,,,,,,,7.1
2017-10-18,,,,,,,,,,,,,,,,,,,,3.08
2017-10-20,,,,,,,,,,,,,,,,,,,,3.71
2017-11-03,,,,,,,,,,,,,,,,,,,,4.11
2018-04-30,,,,,,,,,,,,,,,,,,,,4.6
2018-05-02,,,,,,,,,,,,,,,,,,,,4.8
2018-09-10,,,,,,,,,,,,,,,,,,,,5.0
2018-10-23,,,,,,,,,,,,,,,,,,,,5.1
2018-11-06,,,,,,,,,,,,,,,,,,,,3.38
2018-11-08,,,,,,,,,,,,,,,,,,,,3.7
2018-11-09,,,,,,,,,,,,,,,,,,,,3.98
2018-11-12,,,,,,,,,,,,,,,,,,,,4.1
2018-11-14,,,,,,,,,,,,,,,,,,,,4.12
2018-11-22,,,,,,,,,,,,,,,,,,,,4.52
2018-11-26,,,,,,,,,,,,,,,,,,,,4.8
2019-01-31,,,,,,,,,,,,,,,,,,,,5.1
2019-02-13,,,,,,,,,,,,,,,,,,,,5.2
2019-03-06,,,,,,,,,,,,,,,,,,,,5.4
2019-04-04,,,,,,,,,,,,,,,,,,,,5.7
2019-05-07,,,,,,,,,,,,,,,,,,,,6.0
