,POXEL FP Equity_DX_SI_QTY,POXEL FP Equity_DX_SHORT_INTEREST_VALUE,POXEL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,POXEL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,POXEL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,POXEL FP Equity_DX_SI_MV,POXEL FP Equity_DX_DSS,POXEL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,POXEL FP Equity_DX_SUPPLY_SI_QTY,POXEL FP Equity_DX_BROKER_SI_QTY,POXEL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,POXEL FP Equity_DX_BROKER_SI_MV_NEW_x,POXEL FP Equity_DX_SUPPLY_SI_QTY_NEW_x,POXEL FP Equity_DX_SUPPLY_SI_QTY_INC_x,POXEL FP Equity_DX_BROKER_SI_MV_INC_x,POXEL FP Equity_DX_SUPPLY_SI_MV_NEW,POXEL FP Equity_DX_BROKER_SI_QTY_ADD,POXEL FP Equity_DX_BROKER_SI_QTY_NEW,POXEL FP Equity_DX_SUPPLY_SI_MV_DEC,POXEL FP Equity_DX_BROKER_SI_QTY_INC,POXEL FP Equity_DX_SUPPLY_SI_QTY_DEC,POXEL FP Equity_DX_BROKER_SI_MV_NEW_y,POXEL FP Equity_DX_SUPPLY_SI_QTY_NEW_y,POXEL FP Equity_DX_BROKER_SI_MV_INC_y,POXEL FP Equity_DX_SUPPLY_SI_QTY_INC_y,POXEL FP Equity_DX_BROKER_SI_MV_ADD,POXEL FP Equity_DX_SUPPLY_SI_QTY_ADD,POXEL FP Equity_DX_BROKER_SI_QTY_DEC,POXEL FP Equity_DX_SUPPLY_SI_MV,POXEL FP Equity_DX_BROKER_SI_MV_DEC,POXEL FP Equity_DX_SUPPLY_SI_MV_RMV,POXEL FP Equity_DX_BROKER_SI_MV_RMV,POXEL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,POXEL FP Equity_DX_UTILIZATION_QUANTITY,POXEL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,POXEL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,POXEL FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,POXEL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,POXEL FP Equity_DX_ACTIVE_UTILIZATION_MV,POXEL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,POXEL FP Equity_DX_BROKER_SI_CON_RATIO,POXEL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,POXEL FP Equity_DX_DEMAND_SUPPLY_RATIO
2015-02-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,156449.0,1799163.5,,1.8,0.0,0.0,0.0,0.0,0.0
2015-02-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,156449.0,2387411.74,,1.81,0.0,,0.0,,0.0
2015-02-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110000.0,1401400.0,,1.4,0.0,,0.0,,0.0
2015-02-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110000.0,1499300.0,,1.5,0.0,,0.0,,0.0
2015-02-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110000.0,1460800.0,,1.46,0.0,,0.0,,0.0
2015-02-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110000.0,1364000.0,,1.37,0.0,,0.0,,0.0
2015-02-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,110000.0,1518000.0,,1.52,0.0,,0.0,,0.0
2015-02-18,105000.0,1354500.0,0.6,0.53,0.6,1.35,0.0,0.0,105000.0,0.0,1354500.0,,,,,,,,,,,,,,,,105000.0,,1.35,,,,100.0,95.45,0.0,0.0,,0.0,100.0,,1.0,100.0,0.9545
2015-02-19,105000.0,1344000.0,0.6,0.52,0.6,1.35,0.0,0.0,105000.0,0.0,1344000.0,,,,,,,,,,,,,,,,,,1.35,,,,100.0,95.45,0.0,0.0,,0.0,100.0,,1.0,100.0,0.9545
2015-02-20,105000.0,1288350.0,0.6,0.51,0.6,1.29,0.0,0.0,105000.0,0.0,1288350.0,,,,,,,,,,,,,,,,,,1.29,,,,100.0,95.45,0.0,0.0,,0.0,100.0,,1.0,100.0,0.9545
2015-02-23,105000.0,1223250.0,0.6,0.51,0.6,1.23,1.0,0.0,105000.0,0.0,1223250.0,,,,,,,,,,,,,,,,,,1.23,,,,100.0,95.45,0.0,0.0,,0.0,100.0,,1.0,100.0,0.9545
