,WPEA FP Equity_DX_SI_QTY,WPEA FP Equity_DX_SHORT_INTEREST_VALUE,WPEA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,WPEA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,WPEA FP Equity_DX_SI_MV,WPEA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,WPEA FP Equity_DX_SUPPLY_SI_QTY,WPEA FP Equity_DX_BROKER_SI_QTY,WPEA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,WPEA FP Equity_DX_SUPPLY_SI_QTY_INC_x,WPEA FP Equity_DX_BROKER_SI_MV_INC_x,WPEA FP Equity_DX_BROKER_SI_QTY_ADD,WPEA FP Equity_DX_SUPPLY_SI_MV_DEC,WPEA FP Equity_DX_BROKER_SI_QTY_INC,WPEA FP Equity_DX_SUPPLY_SI_QTY_DEC,WPEA FP Equity_DX_BROKER_SI_MV_INC_y,WPEA FP Equity_DX_SUPPLY_SI_QTY_INC_y,WPEA FP Equity_DX_BROKER_SI_MV_ADD,WPEA FP Equity_DX_SUPPLY_SI_QTY_ADD,WPEA FP Equity_DX_BROKER_SI_QTY_DEC,WPEA FP Equity_DX_SUPPLY_SI_MV,WPEA FP Equity_DX_BROKER_SI_MV_DEC,WPEA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,WPEA FP Equity_DX_UTILIZATION_QUANTITY,WPEA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,WPEA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,WPEA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,WPEA FP Equity_DX_ACTIVE_UTILIZATION_MV,WPEA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,WPEA FP Equity_DX_BROKER_SI_CON_RATIO,WPEA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,WPEA FP Equity_DX_DEMAND_SUPPLY_RATIO,WPEA FP Equity_PX_LAST
2024-07-03,1556.0,8137.26,0.01,0.01,0.01,8137.26,1556.0,1556.0,8137.26,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0,5.2296
2024-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,,1556.0,,,,,1556.0,0.0,0.01,0.0,0.0,1400.0,7336.84,0.01,0.0,,0.0,,0.0,5.2406
2024-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1400.0,7339.92,0.01,0.0,,0.0,,0.0,5.2428
2024-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2518
2024-07-09,73400.0,386039.96,0.23,0.39,0.38,193019.98,36700.0,36700.0,193019.98,,,36700.0,,,,,,0.19,36700.0,,0.19,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.2594
2024-07-10,73400.0,387625.4,0.22,0.37,0.38,193812.7,36700.0,36700.0,193812.7,,,,,,,,,,,,0.19,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.281
2024-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.19,,36700.0,,,,,36700.0,0.0,0.19,0.0,0.0,200.0,1054.52,0.0,0.0,,0.0,,0.0,5.2726
2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1400.0,7418.46,0.01,0.0,,0.0,,0.0,5.2989
2024-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2981
2024-07-16,76200.0,404294.34,0.23,0.38,0.4,202147.17,38100.0,38100.0,202147.17,,,38100.0,,,,,,0.2,38100.0,,0.2,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.3057
2024-07-17,76200.0,400171.92,0.23,0.36,0.41,200085.96,38100.0,38100.0,200085.96,,,,,,,,,,,,0.2,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.2516
2024-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2168
2024-07-19,76400.0,396378.48,0.23,0.35,0.4,198189.24,38200.0,38200.0,198189.24,,,38200.0,,,,,,0.2,38200.0,,0.2,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.1882
2024-07-22,76400.0,398150.96,0.22,0.35,0.4,199075.48,38200.0,38200.0,199075.48,,,,,,,,,,,,0.2,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.2114
2024-07-23,39600.0,208339.56,0.12,0.18,0.21,104169.78,19800.0,19800.0,104169.78,,,,0.1,,18400.0,,,,,18400.0,0.1,0.1,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.2611
2024-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1708
2024-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1431
2024-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1573
2024-07-29,1309.0,6760.33,0.0,0.01,0.01,6760.33,1309.0,1309.0,6760.33,,,1309.0,,,,,,0.01,1309.0,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0,5.1645
2024-07-30,1309.0,6765.44,0.0,0.01,0.01,6765.44,1309.0,1309.0,6765.44,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0,5.1684
2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2459
2024-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1913
2024-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.244
2024-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8771
2024-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9157
2024-08-07,65000.0,323979.5,0.16,0.25,0.32,161989.75,32500.0,32500.0,161989.75,,,32500.0,,,,,,0.16,32500.0,,0.16,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,4.9843
2024-08-08,65000.0,323739.0,0.16,0.24,0.32,161869.5,32500.0,32500.0,161869.5,,,,,,,,,,,,0.16,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,4.9806
2024-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.16,,32500.0,,,,,32500.0,0.0,0.16,0.0,0.0,32500.0,162386.25,0.17,0.0,,0.0,,0.0,4.9965
2024-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0121
2024-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0612
2024-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0767
2024-08-15,77600.0,400594.48,0.19,0.28,0.39,200297.24,38800.0,38800.0,200297.24,,,38800.0,,,,,,0.2,38800.0,,0.2,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.1623
2024-08-16,77600.0,401129.92,0.19,0.27,0.4,200564.96,38800.0,38800.0,200564.96,,,,,,,,,,,,0.2,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.1692
2024-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.2,,38800.0,,,,,38800.0,0.0,0.2,0.0,0.0,38800.0,201088.76,0.21,0.0,,0.0,,0.0,5.1827
2024-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.172
2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1787
2024-08-22,78200.0,405592.12,0.2,0.28,0.4,202796.06,39100.0,39100.0,202796.06,,,39100.0,,,,,,0.2,39100.0,,0.2,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.1866
2024-08-23,78200.0,405678.14,0.2,0.27,0.41,202839.07,39100.0,39100.0,202839.07,,,,,,,,,,,,0.2,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.1877
2024-08-26,78200.0,405576.48,0.2,0.27,0.41,202788.24,39100.0,39100.0,202788.24,,,,,,,,,,,,0.2,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.1864
2024-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.2,,39100.0,,,,,39100.0,0.0,0.2,0.0,0.0,39100.0,202925.09,0.21,0.0,,0.0,100.0,0.0,5.1899
2024-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,39100.0,202909.45,0.21,0.0,,0.0,,0.0,5.1895
2024-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,39100.0,205216.35,0.21,0.0,,0.0,,0.0,5.2485
2024-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,39100.0,204438.26,0.21,0.0,,0.0,,0.0,5.2286
2024-09-02,21000.0,110556.6,0.06,0.07,0.11,55278.3,10500.0,10500.0,55278.3,,,10500.0,,,,,,0.06,10500.0,,0.06,,100.0,26.85,0.0,0.0,0.0,100.0,,1.0,100.0,0.5371,5.2646
2024-09-03,21000.0,109420.5,0.06,0.07,0.11,54710.25,10500.0,10500.0,54710.25,,,,,,,,,,,,0.06,,100.0,26.85,0.0,0.0,0.0,100.0,,1.0,100.0,0.5371,5.2105
2024-09-04,77000.0,396342.1,0.2,0.25,0.4,198171.05,38500.0,38500.0,198171.05,28000.0,0.15,,,28000.0,,0.15,28000.0,,,,0.2,,100.0,98.47,0.0,0.0,0.0,100.0,,1.0,100.0,1.9693,5.1473
2024-09-05,6346.0,32444.56,0.02,0.02,0.03,32444.56,6346.0,6346.0,32444.56,,,6346.0,0.17,,32154.0,,,0.03,,38500.0,0.03,0.2,100.0,16.23,0.0,0.0,0.0,100.0,14.01,1.0,100.0,0.1623,5.1126
2024-09-06,6346.0,32032.07,0.02,0.02,0.03,32032.07,6346.0,6346.0,32032.07,,,,,,,,,,,,0.03,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0,5.0476
2024-09-09,6346.0,32379.2,0.02,0.02,0.03,32379.2,6346.0,6346.0,32379.2,,,,,,,,,,,,0.03,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0,5.1023
2024-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.03,,6346.0,,,,,6346.0,0.0,0.03,0.0,0.0,6346.0,32426.79,0.03,0.0,,0.0,,0.0,5.1098
2024-09-11,59800.0,304256.42,0.15,0.19,0.3,152128.21,29900.0,29900.0,152128.21,,,29900.0,,,,,,0.15,29900.0,,0.15,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.0879
2024-09-12,59800.0,310003.2,0.15,0.18,0.3,155001.6,29900.0,29900.0,155001.6,,,,,,,,,,,,0.15,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.184
2024-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.15,,29900.0,,,,,29900.0,0.0,0.15,0.0,0.0,29900.0,156086.97,0.16,0.0,,0.0,,0.0,5.2203
2024-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29900.0,155444.12,0.16,0.0,,0.0,,0.0,5.1988
2024-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,29900.0,156305.24,0.16,0.0,,0.0,,0.0,5.2276
2024-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,2080.84,0.0,0.0,,0.0,,0.0,5.2021
2024-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,2110.48,0.0,0.0,,0.0,,0.0,5.2762
2024-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,400.0,2097.16,0.0,0.0,,0.0,,0.0,5.2429
2024-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,4100.0,21638.16,0.02,0.0,,0.0,,0.0,5.2776
2024-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2795
2024-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,200.0,1055.68,0.0,0.0,,0.0,,0.0,5.2784
2024-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2923
2024-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3129
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.299
2024-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3084
2024-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.327
2024-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3166
2024-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3486
2024-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3632
2024-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3627
2024-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.405
2024-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4132
2024-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4315
2024-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4763
2024-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.465
2024-10-16,68000.0,371538.4,0.22,0.17,0.37,185769.2,34000.0,34000.0,185769.2,,,34000.0,,,,,,0.19,34000.0,,0.19,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.4638
2024-10-17,34000.0,187319.6,0.11,0.08,0.19,0.0,34000.0,0.0,187319.6,,,,,,,,,,,34000.0,0.19,0.19,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0,5.5094
2024-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.19,,34000.0,,,,,,0.0,,0.0,0.0,34000.0,187061.2,0.2,0.0,,0.0,,0.0,5.5018
2024-10-21,75400.0,413531.3,0.25,0.18,0.41,206765.65,37700.0,37700.0,206765.65,,,37700.0,,,,,,0.21,37700.0,,0.21,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.4845
2024-10-22,37700.0,206973.0,0.13,0.09,0.21,0.0,37700.0,0.0,206973.0,,,,,,,,,,,37700.0,0.21,0.21,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0,5.49
2024-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4693
2024-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4624
2024-10-25,77000.0,422152.5,0.25,0.18,0.42,211076.25,38500.0,38500.0,211076.25,,,38500.0,,,,,,0.21,38500.0,,0.21,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.4825
2024-10-28,77000.0,421744.4,0.25,0.18,0.42,210872.2,38500.0,38500.0,210872.2,,,,,,,,,,,,0.21,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.4772
2024-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4828
2024-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4573
2024-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.363
2024-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4022
2024-11-04,34200.0,183147.84,0.1,0.08,0.19,91573.92,17100.0,17100.0,91573.92,,,17100.0,,,,,,0.09,17100.0,,0.09,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.3552
2024-11-05,76800.0,413383.68,0.21,0.17,0.42,206691.84,38400.0,38400.0,206691.84,21300.0,0.12,,,21300.0,,0.12,21300.0,,,,0.21,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.3826
