,WPEA FP Equity_DX_SI_QTY,WPEA FP Equity_DX_SHORT_INTEREST_VALUE,WPEA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,WPEA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,WPEA FP Equity_DX_SI_MV,WPEA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,WPEA FP Equity_DX_SUPPLY_SI_QTY,WPEA FP Equity_DX_BROKER_SI_QTY,WPEA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,WPEA FP Equity_DX_SUPPLY_SI_QTY_INC_x,WPEA FP Equity_DX_BROKER_SI_MV_INC_x,WPEA FP Equity_DX_BROKER_SI_QTY_ADD,WPEA FP Equity_DX_SUPPLY_SI_MV_DEC,WPEA FP Equity_DX_BROKER_SI_QTY_INC,WPEA FP Equity_DX_SUPPLY_SI_QTY_DEC,WPEA FP Equity_DX_BROKER_SI_MV_INC_y,WPEA FP Equity_DX_SUPPLY_SI_QTY_INC_y,WPEA FP Equity_DX_BROKER_SI_MV_ADD,WPEA FP Equity_DX_SUPPLY_SI_QTY_ADD,WPEA FP Equity_DX_BROKER_SI_QTY_DEC,WPEA FP Equity_DX_SUPPLY_SI_MV,WPEA FP Equity_DX_BROKER_SI_MV_DEC,WPEA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,WPEA FP Equity_DX_UTILIZATION_QUANTITY,WPEA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,WPEA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,WPEA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,WPEA FP Equity_DX_ACTIVE_UTILIZATION_MV,WPEA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,WPEA FP Equity_DX_BROKER_SI_CON_RATIO,WPEA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,WPEA FP Equity_DX_DEMAND_SUPPLY_RATIO,WPEA FP Equity_PX_LAST
2024-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2024-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01
2024-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9995
2024-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9619
2024-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9713
2024-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9449
2024-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9678
2024-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.975
2024-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9985
2024-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.987
2024-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9092
2024-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8813
2024-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.892
2024-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8473
2024-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.854
2024-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9071
2024-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9098
2024-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8498
2024-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9388
2024-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9399
2024-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.926
2024-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8969
2024-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9315
2024-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9676
2024-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0005
2024-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0016
2024-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0112
2024-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0279
2024-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0224
2024-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0152
2024-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0535
2024-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100.0,507.59,0.0,0.0,,0.0,,0.0,5.0759
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,100.0,505.93,0.0,0.0,,0.0,,0.0,5.0593
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,300.0,1526.97,0.0,0.0,,0.0,,0.0,5.0899
2024-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0762
2024-05-22,58200.0,295591.98,0.23,0.55,0.29,147795.99,29100.0,29100.0,147795.99,,,29100.0,,,,,,0.15,29100.0,,0.15,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.0789
2024-05-23,58200.0,295749.12,0.24,0.51,0.29,147874.56,29100.0,29100.0,147874.56,,,,,,,,,,,,0.15,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.0816
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.15,,29100.0,,,,,29100.0,0.0,0.15,0.0,0.0,29100.0,147359.49,0.15,0.0,,0.0,,0.0,5.0639
2024-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0735
2024-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0526
2024-05-29,64400.0,324189.6,0.27,0.55,0.33,162094.8,32200.0,32200.0,162094.8,,,32200.0,,,,,,0.16,32200.0,,0.16,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.034
2024-05-30,64400.0,323210.72,0.27,0.55,0.32,161605.36,32200.0,32200.0,161605.36,,,,,,,,,,,,0.16,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.0188
2024-05-31,64400.0,321317.36,0.28,0.5,0.32,160658.68,32200.0,32200.0,160658.68,,,,,,,,,,,,0.16,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,4.9894
2024-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.16,,32200.0,,,,,32200.0,0.0,0.16,0.0,0.0,32200.0,161747.04,0.17,0.0,,0.0,,0.0,5.0232
2024-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,32200.0,161402.5,0.17,0.0,,0.0,,0.0,5.0125
2024-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,32200.0,163334.5,0.17,0.0,,0.0,,0.0,5.0725
2024-06-06,2270.0,11554.98,0.01,0.02,0.01,11554.98,2270.0,2270.0,11554.98,,,2270.0,,,,,,0.01,2270.0,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0,5.0903
2024-06-07,2270.0,11618.09,0.01,0.02,0.01,11618.09,2270.0,2270.0,11618.09,,,,,,,,,,,,0.01,,100.0,7.05,0.0,0.0,0.0,100.0,,1.0,100.0,0.0705,5.1181
2024-06-10,2270.0,11663.94,0.01,0.02,0.01,11663.94,2270.0,2270.0,11663.94,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0,5.1383
2024-06-11,67400.0,345809.18,0.27,0.48,0.34,172904.59,33700.0,33700.0,172904.59,31430.0,,33700.0,,,,,31430.0,0.17,,2270.0,0.17,0.01,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.1307
2024-06-12,67400.0,347716.6,0.27,0.44,0.35,173858.3,33700.0,33700.0,173858.3,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.159
2024-06-13,33700.0,173838.08,0.13,0.22,0.17,0.0,33700.0,0.0,173838.08,,,,,,,,,,,33700.0,0.17,0.17,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0,5.1584
2024-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1735
2024-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1754
2024-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,200.0,1040.84,0.0,0.0,,0.0,,0.0,5.2042
2024-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2094
2024-06-20,73200.0,382894.56,0.28,0.48,0.38,191447.28,36600.0,36600.0,191447.28,,,36600.0,,,,,,0.19,36600.0,,0.19,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.2308
2024-06-21,73200.0,381518.4,0.27,0.48,0.38,190759.2,36600.0,36600.0,190759.2,,,,,,,,,,,,0.19,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.212
2024-06-24,73200.0,382177.2,0.26,0.45,0.38,191088.6,36600.0,36600.0,191088.6,,,,,,,,,,,,0.19,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0,5.221
2024-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2172
2024-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,200.0,1043.12,0.0,0.0,,0.0,,0.0,5.2156
2024-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2155
2024-06-28,1556.0,8147.06,0.01,0.01,0.01,8147.06,1556.0,1556.0,8147.06,,,1556.0,,,,,,0.01,1556.0,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0,5.2359
2024-07-01,1556.0,8097.42,0.01,0.01,0.01,8097.42,1556.0,1556.0,8097.42,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0,5.204
2024-07-02,1556.0,8110.49,0.01,0.01,0.01,8110.49,1556.0,1556.0,8110.49,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0,5.2124
