,INFL FP Equity_DX_SI_QTY,INFL FP Equity_DX_SHORT_INTEREST_VALUE,INFL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,INFL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,INFL FP Equity_DX_SI_MV,INFL FP Equity_DX_DSS,INFL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,INFL FP Equity_DX_SUPPLY_SI_QTY,INFL FP Equity_DX_BROKER_SI_QTY,INFL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,INFL FP Equity_DX_BROKER_SI_MV_NEW_x,INFL FP Equity_DX_SUPPLY_SI_QTY_INC_x,INFL FP Equity_DX_BROKER_SI_MV_INC_x,INFL FP Equity_DX_BROKER_SI_QTY_ADD,INFL FP Equity_DX_BROKER_SI_QTY_NEW,INFL FP Equity_DX_SUPPLY_SI_MV_DEC,INFL FP Equity_DX_BROKER_SI_QTY_INC,INFL FP Equity_DX_SUPPLY_SI_QTY_DEC,INFL FP Equity_DX_BROKER_SI_MV_NEW_y,INFL FP Equity_DX_BROKER_SI_MV_INC_y,INFL FP Equity_DX_SUPPLY_SI_QTY_INC_y,INFL FP Equity_DX_BROKER_SI_MV_ADD,INFL FP Equity_DX_SUPPLY_SI_QTY_ADD,INFL FP Equity_DX_BROKER_SI_QTY_DEC,INFL FP Equity_DX_SUPPLY_SI_MV,INFL FP Equity_DX_BROKER_SI_MV_DEC,INFL FP Equity_DX_BROKER_SI_MV_RMV,INFL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,INFL FP Equity_DX_UTILIZATION_QUANTITY,INFL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,INFL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,INFL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,INFL FP Equity_DX_ACTIVE_UTILIZATION_MV,INFL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,INFL FP Equity_DX_BROKER_SI_CON_RATIO,INFL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,INFL FP Equity_DX_DEMAND_SUPPLY_RATIO,INFL FP Equity_PX_LAST
2016-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.52
2016-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.53
2016-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.59
2016-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.53
2016-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.57
2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.45
2016-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4
2016-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.42
2016-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.52
2016-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.47
2016-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.38
2016-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.34
2016-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.41
2016-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.42
2016-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.44
2016-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.38
2016-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.34
2016-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.28
2016-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.37
2016-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.23
2016-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.16
2016-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.11
