,ALMGI FP Equity_DX_SI_QTY,ALMGI FP Equity_DX_SHORT_INTEREST_VALUE,ALMGI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMGI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMGI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMGI FP Equity_DX_SI_MV,ALMGI FP Equity_DX_DSS,ALMGI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMGI FP Equity_DX_SUPPLY_SI_QTY,ALMGI FP Equity_DX_BROKER_SI_QTY,ALMGI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMGI FP Equity_DX_BROKER_SI_MV_NEW_x,ALMGI FP Equity_DX_BROKER_SI_MV_INC_x,ALMGI FP Equity_DX_BROKER_SI_QTY_ADD,ALMGI FP Equity_DX_BROKER_SI_QTY_NEW,ALMGI FP Equity_DX_SUPPLY_SI_MV_DEC,ALMGI FP Equity_DX_BROKER_SI_QTY_INC,ALMGI FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMGI FP Equity_DX_BROKER_SI_MV_NEW_y,ALMGI FP Equity_DX_BROKER_SI_MV_INC_y,ALMGI FP Equity_DX_BROKER_SI_MV_ADD,ALMGI FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMGI FP Equity_DX_BROKER_SI_QTY_DEC,ALMGI FP Equity_DX_SUPPLY_SI_MV,ALMGI FP Equity_DX_BROKER_SI_MV_DEC,ALMGI FP Equity_DX_BROKER_SI_MV_RMV,ALMGI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMGI FP Equity_DX_UTILIZATION_QUANTITY,ALMGI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMGI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMGI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMGI FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMGI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMGI FP Equity_DX_BROKER_SI_CON_RATIO,ALMGI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMGI FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-05-10,3000.0,165450.0,0.65,0.34,0.13,0.17,,165450.0,0.0,3000.0,0.0,,,3000.0,,,,,,,0.17,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.89,0.5585,67.11,0.0
2006-05-17,7000.0,416150.0,1.52,1.77,0.3,0.4,,416150.0,0.0,7000.0,0.0,,0.23,,,,4000.0,,,0.23,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,30.01,0.5799,69.99,0.0
2006-05-24,6000.0,328500.0,1.3,1.55,0.26,0.33,,328500.0,0.0,6000.0,0.0,,,,,,,,,,,,1000.0,0.0,0.06,,0.0,0.0,0.0,0.0,0.0,0.0,32.86,0.5587,67.14,0.0
2006-05-31,6000.0,348000.0,1.3,1.9,0.26,0.34,,348000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,34.13,0.5504,65.87,0.0
2006-06-07,6000.0,345000.0,1.3,3.97,0.26,0.34,,345000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,34.11,0.5505,65.89,0.0
2006-06-14,6000.0,336000.0,1.3,4.34,0.26,0.34,,336000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.66,0.5534,66.34,0.0
2006-06-21,6000.0,338700.0,1.3,4.04,0.26,0.34,,338700.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.62,0.5537,66.38,0.0
2006-06-28,6000.0,338700.0,1.3,6.04,0.26,0.34,,338700.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.34,0.5555,66.66,0.0
2006-07-03,6000.0,339000.0,1.3,7.35,0.26,0.34,,339000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.66,0.5534,66.34,0.0
2006-07-04,6000.0,331800.0,1.3,7.73,0.26,0.34,,331800.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.71,0.5531,66.29,0.0
2006-07-05,6000.0,331800.0,1.3,7.54,0.26,0.33,,331800.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.06,0.5574,66.94,0.0
2006-07-06,6000.0,330300.0,1.3,7.62,0.26,0.33,,330300.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.06,0.5574,66.94,0.0
2006-07-07,6000.0,328800.0,1.3,7.62,0.26,0.33,,328800.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.96,0.558,67.04,0.0
2006-07-10,6000.0,336000.0,1.3,7.7,0.26,0.33,,336000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.86,0.5587,67.14,0.0
2006-07-11,6000.0,336000.0,1.3,5.92,0.26,0.34,,336000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.34,0.5555,66.66,0.0
2006-07-12,6000.0,336000.0,1.3,6.1,0.26,0.34,,336000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.34,0.5555,66.66,0.0
2006-07-13,6000.0,335700.0,1.3,6.5,0.26,0.34,,335700.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.34,0.5555,66.66,0.0
2006-07-14,6000.0,335700.0,1.3,6.59,0.26,0.34,,335700.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.32,0.5556,66.68,0.0
2006-07-17,6000.0,324000.0,1.3,6.8,0.26,0.34,,324000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.32,0.5556,66.68,0.0
2006-07-18,6000.0,313800.0,1.3,6.72,0.26,0.33,,313800.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.54,0.561,67.46,0.0
2006-07-19,6000.0,323400.0,1.3,6.74,0.26,0.33,,323400.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,31.84,0.5659,68.16,0.0
2006-07-20,6000.0,320400.0,1.3,6.41,0.26,0.33,,320400.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.5,0.5613,67.5,0.0
2006-07-21,6000.0,321000.0,0.26,6.48,0.26,0.33,,321000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.3,0.5627,67.7,0.0
2006-07-24,6000.0,326700.0,0.26,6.59,0.26,0.33,,326700.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.34,0.5624,67.66,0.0
2006-07-25,6000.0,327000.0,0.26,6.49,0.26,0.33,,327000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.72,0.5597,67.28,0.0
2006-07-26,6000.0,327000.0,0.26,6.79,0.26,0.33,,327000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.74,0.5596,67.26,0.0
2006-07-27,6000.0,328500.0,0.26,7.01,0.26,0.33,,328500.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.74,0.5596,67.26,0.0
2006-07-28,6000.0,333000.0,0.26,6.94,0.26,0.33,,333000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32.84,0.5589,67.16,0.0
2006-07-31,6000.0,337200.0,0.26,7.01,0.26,0.33,,337200.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.14,0.5568,66.86,0.0
2006-08-01,6000.0,337200.0,0.26,9.19,0.26,0.34,,337200.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.42,0.555,66.58,0.0
2006-08-02,6000.0,339000.0,0.26,9.26,0.26,0.34,,339000.0,0.0,6000.0,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,33.42,0.555,66.58,0.0
