,ALNMR FP Equity_DX_SI_QTY,ALNMR FP Equity_DX_SHORT_INTEREST_VALUE,ALNMR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALNMR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALNMR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALNMR FP Equity_DX_SI_MV,ALNMR FP Equity_DX_DSS,ALNMR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALNMR FP Equity_DX_SUPPLY_SI_QTY,ALNMR FP Equity_DX_BROKER_SI_QTY,ALNMR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALNMR FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALNMR FP Equity_DX_BROKER_SI_MV_INC_x,ALNMR FP Equity_DX_BROKER_SI_QTY_ADD,ALNMR FP Equity_DX_SUPPLY_SI_MV_DEC,ALNMR FP Equity_DX_BROKER_SI_QTY_INC,ALNMR FP Equity_DX_SUPPLY_SI_QTY_DEC,ALNMR FP Equity_DX_BROKER_SI_MV_INC_y,ALNMR FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALNMR FP Equity_DX_BROKER_SI_MV_ADD,ALNMR FP Equity_DX_SUPPLY_SI_QTY_ADD,ALNMR FP Equity_DX_BROKER_SI_QTY_DEC,ALNMR FP Equity_DX_SUPPLY_SI_MV,ALNMR FP Equity_DX_BROKER_SI_MV_DEC,ALNMR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALNMR FP Equity_DX_UTILIZATION_QUANTITY,ALNMR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALNMR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALNMR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALNMR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALNMR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALNMR FP Equity_DX_BROKER_SI_CON_RATIO,ALNMR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALNMR FP Equity_DX_DEMAND_SUPPLY_RATIO,ALNMR FP Equity_PX_LAST
2021-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2021-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.62
2021-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.82
2021-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.24
2021-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
2021-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7
2021-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2021-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2021-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.94
2021-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.52
2021-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.68
2021-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.52
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.64
2021-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.42
2021-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
2021-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.64
2021-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2021-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.16
2021-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2021-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2021-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2021-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
2021-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.22
2021-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
