,DJE FP Equity_DX_SI_QTY,DJE FP Equity_DX_SHORT_INTEREST_VALUE,DJE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DJE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DJE FP Equity_DX_SI_MV,DJE FP Equity_DX_DSS,DJE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DJE FP Equity_DX_SUPPLY_SI_QTY,DJE FP Equity_DX_BROKER_SI_QTY,DJE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DJE FP Equity_DX_BROKER_SI_MV_NEW_x,DJE FP Equity_DX_SUPPLY_SI_QTY_INC_x,DJE FP Equity_DX_BROKER_SI_MV_INC_x,DJE FP Equity_DX_BROKER_SI_QTY_ADD,DJE FP Equity_DX_BROKER_SI_QTY_NEW,DJE FP Equity_DX_SUPPLY_SI_MV_DEC,DJE FP Equity_DX_BROKER_SI_QTY_INC,DJE FP Equity_DX_SUPPLY_SI_QTY_DEC,DJE FP Equity_DX_BROKER_SI_MV_NEW_y,DJE FP Equity_DX_BROKER_SI_MV_INC_y,DJE FP Equity_DX_SUPPLY_SI_QTY_INC_y,DJE FP Equity_DX_BROKER_SI_MV_ADD,DJE FP Equity_DX_SUPPLY_SI_QTY_ADD,DJE FP Equity_DX_BROKER_SI_QTY_DEC,DJE FP Equity_DX_SUPPLY_SI_MV,DJE FP Equity_DX_BROKER_SI_MV_DEC,DJE FP Equity_DX_BROKER_SI_MV_RMV,DJE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DJE FP Equity_DX_UTILIZATION_QUANTITY,DJE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DJE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DJE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DJE FP Equity_DX_ACTIVE_UTILIZATION_MV,DJE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DJE FP Equity_DX_BROKER_SI_CON_RATIO,DJE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DJE FP Equity_DX_DEMAND_SUPPLY_RATIO,DJE FP Equity_PX_LAST
2001-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.3
2001-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.9
2001-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.1
2001-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.8
2001-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.3
2001-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.3
2001-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.9
2001-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.1
2001-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.5
2001-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.5
2001-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0
2001-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.9
2001-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.7
2001-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0
2001-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0
2001-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.4
2001-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.5
2001-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.2
2001-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.8
2001-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.7
2001-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.7
2001-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.4
2001-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.9
2001-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.3
2001-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.6
2001-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.5
2001-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.0
2001-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.4
2001-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.9
2001-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.6
2001-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.6
2001-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.7
2001-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.8
2001-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0
2001-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.1
2001-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.3
2001-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.2
2001-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.1
2001-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.5
2001-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.7
2001-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.3
2001-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.4
2001-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.9
2001-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.6
2001-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.9
2001-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.3
2001-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.3
2001-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.7
2001-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.6
2001-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0
2001-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.8
2001-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.8
2001-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.7
2001-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.3
2001-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.9
2001-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4
2001-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4
2001-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.8
2001-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.1
2001-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.8
2001-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.8
2001-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.3
2001-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.3
2001-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.3
2001-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.9
2001-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.1
2001-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.7
2001-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.5
2001-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.6
2001-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.1
2001-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0
2001-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.3
2001-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.1
2001-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.3
2001-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0
2001-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.9
2001-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.8
2001-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0
2001-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.3
2001-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0
2001-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8
2001-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.6
2001-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.25
2001-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.75
2001-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.55
2001-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1
2001-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2
2001-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4
2001-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.25
2001-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.35
2001-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1
2001-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.4
