,X1G FP Equity_DX_SI_QTY,X1G FP Equity_DX_SHORT_INTEREST_VALUE,X1G FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,X1G FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,X1G FP Equity_DX_SI_MV,X1G FP Equity_DX_DSS,X1G FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,X1G FP Equity_DX_SUPPLY_SI_QTY,X1G FP Equity_DX_BROKER_SI_QTY,X1G FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,X1G FP Equity_DX_BROKER_SI_MV_NEW_x,X1G FP Equity_DX_SUPPLY_SI_QTY_INC_x,X1G FP Equity_DX_BROKER_SI_MV_INC_x,X1G FP Equity_DX_BROKER_SI_QTY_ADD,X1G FP Equity_DX_BROKER_SI_QTY_NEW,X1G FP Equity_DX_SUPPLY_SI_MV_DEC,X1G FP Equity_DX_BROKER_SI_QTY_INC,X1G FP Equity_DX_SUPPLY_SI_QTY_DEC,X1G FP Equity_DX_BROKER_SI_MV_NEW_y,X1G FP Equity_DX_BROKER_SI_MV_INC_y,X1G FP Equity_DX_SUPPLY_SI_QTY_INC_y,X1G FP Equity_DX_BROKER_SI_MV_ADD,X1G FP Equity_DX_SUPPLY_SI_QTY_ADD,X1G FP Equity_DX_BROKER_SI_QTY_DEC,X1G FP Equity_DX_SUPPLY_SI_MV,X1G FP Equity_DX_BROKER_SI_MV_DEC,X1G FP Equity_DX_BROKER_SI_MV_RMV,X1G FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,X1G FP Equity_DX_UTILIZATION_QUANTITY,X1G FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,X1G FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,X1G FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,X1G FP Equity_DX_ACTIVE_UTILIZATION_MV,X1G FP Equity_DX_BROKER_SI_MARKET_SHARE_2,X1G FP Equity_DX_BROKER_SI_CON_RATIO,X1G FP Equity_DX_BROKER_SI_MARKET_SHARE_1,X1G FP Equity_DX_DEMAND_SUPPLY_RATIO
2012-08-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14400.0,2376000.0,2.36,0.0,0.0,0.0,0.0,0.0
2012-08-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14400.0,2376288.0,2.37,0.0,,0.0,,0.0
2012-08-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14400.0,2373984.0,2.37,0.0,,0.0,,0.0
2012-08-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14400.0,2375568.0,2.37,0.0,,0.0,,0.0
2012-08-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14400.0,2364912.0,2.36,0.0,,0.0,,0.0
2012-08-31,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14400.0,2358144.0,2.36,0.0,,0.0,,0.0
2012-09-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14400.0,2364912.0,2.35,0.0,,0.0,,0.0
2012-09-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14400.0,2364912.0,2.38,0.0,,0.0,,0.0
2012-09-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14400.0,2391840.0,2.38,0.0,,0.0,,0.0
2012-09-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14400.0,2409264.0,2.41,0.0,,0.0,,0.0
2012-09-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14400.0,2437056.0,2.44,0.0,,0.0,,0.0
2012-09-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14400.0,2422656.0,2.42,0.0,,0.0,,0.0
2012-09-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7143208.0,7.1,0.0,,0.0,,0.0
2012-09-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7175325.0,7.17,0.0,,0.0,,0.0
2012-09-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7167719.0,7.2,0.0,,0.0,,0.0
2012-09-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7152928.0,7.16,0.0,,0.0,,0.0
2012-09-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7108555.0,7.1,0.0,,0.0,,0.0
2012-09-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7143630.0,7.13,0.0,,0.0,,0.0
2012-09-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7186736.0,7.15,0.0,,0.0,,0.0
2012-09-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7155041.0,7.19,0.0,,0.0,,0.0
2012-09-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7175748.0,7.16,0.0,,0.0,,0.0
2012-09-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7198568.0,7.19,0.0,,0.0,,0.0
2012-09-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7182933.0,7.13,0.0,,0.0,,0.0
2012-09-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7122923.0,7.12,0.0,,0.0,,0.0
2012-09-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7155886.0,7.14,0.0,,0.0,,0.0
2012-09-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7152083.0,7.13,0.0,,0.0,,0.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7165606.0,7.14,0.0,,0.0,,0.0
2012-10-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7193498.0,7.16,0.0,,0.0,,0.0
2012-10-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7196455.0,7.18,0.0,,0.0,,0.0
2012-10-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7185046.0,7.18,0.0,,0.0,,0.0
2012-10-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7219276.0,7.17,0.0,,0.0,,0.0
2012-10-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7224770.0,7.21,0.0,,0.0,,0.0
2012-10-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7215895.0,7.21,0.0,,0.0,,0.0
2012-10-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7212092.0,7.19,0.0,,0.0,,0.0
2012-10-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7234912.0,7.19,0.0,,0.0,,0.0
2012-10-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7266185.0,7.23,0.0,,0.0,,0.0
2012-10-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,42260.0,7250549.0,7.26,0.0,,0.0,,0.0
