,ALBOO FP Equity_DX_SI_QTY,ALBOO FP Equity_DX_SHORT_INTEREST_VALUE,ALBOO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALBOO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALBOO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALBOO FP Equity_DX_SI_MV,ALBOO FP Equity_DX_DSS,ALBOO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALBOO FP Equity_DX_SUPPLY_SI_QTY,ALBOO FP Equity_DX_BROKER_SI_QTY,ALBOO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALBOO FP Equity_DX_BROKER_SI_MV_NEW_x,ALBOO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALBOO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALBOO FP Equity_DX_BROKER_SI_MV_INC_x,ALBOO FP Equity_DX_SUPPLY_SI_MV_NEW,ALBOO FP Equity_DX_BROKER_SI_QTY_ADD,ALBOO FP Equity_DX_BROKER_SI_QTY_NEW,ALBOO FP Equity_DX_SUPPLY_SI_MV_DEC,ALBOO FP Equity_DX_BROKER_SI_QTY_INC,ALBOO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALBOO FP Equity_DX_BROKER_SI_MV_NEW_y,ALBOO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALBOO FP Equity_DX_BROKER_SI_MV_INC_y,ALBOO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALBOO FP Equity_DX_BROKER_SI_MV_ADD,ALBOO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALBOO FP Equity_DX_BROKER_SI_QTY_DEC,ALBOO FP Equity_DX_SUPPLY_SI_MV,ALBOO FP Equity_DX_BROKER_SI_MV_DEC,ALBOO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALBOO FP Equity_DX_UTILIZATION_QUANTITY,ALBOO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALBOO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALBOO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALBOO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALBOO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALBOO FP Equity_DX_BROKER_SI_CON_RATIO,ALBOO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALBOO FP Equity_DX_DEMAND_SUPPLY_RATIO
2019-10-28,66650.0,833125.0,0.77,15.99,0.77,0.83,0.0,833125.0,0.0,66650.0,0.0,,,,,,66650.0,,,,,,,,,0.83,,,0.0,,0.0,0.0,35386.0,442325.0,0.46,0.0,,1.0,100.0,1.8835
2019-10-29,66650.0,826460.0,0.77,13.74,0.77,0.83,0.0,826460.0,0.0,66650.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,35386.0,438786.4,0.46,0.0,,1.0,100.0,1.8835
2019-10-30,66650.0,833125.0,0.77,13.11,0.77,0.83,0.0,833125.0,0.0,66650.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,35386.0,442325.0,0.44,0.0,,1.0,100.0,1.8835
2019-10-31,43498.0,556774.4,0.5,7.16,0.5,0.56,0.0,556774.4,0.0,43498.0,0.0,,,,,,,,,,,,,,,,,23152.0,0.0,0.28,0.0,0.0,35386.0,452940.8,0.44,0.0,,1.0,100.0,1.2292
2019-11-01,61676.0,789452.8,0.71,9.38,0.71,0.79,0.0,789452.8,0.0,61676.0,0.0,,,,0.23,,,,,18178.0,,,,0.23,,,,,0.0,,0.0,0.0,35386.0,452940.8,0.45,0.0,,1.0,100.0,1.7429
2019-11-04,50000.0,635000.0,0.57,7.59,0.57,0.64,0.0,635000.0,0.0,50000.0,0.0,,,,,,,,,,,,,,,,,11676.0,0.0,0.15,0.0,0.0,35386.0,449402.2,0.45,0.0,,1.0,100.0,1.413
2019-11-05,50000.0,640000.0,0.57,6.95,0.57,0.64,0.0,640000.0,0.0,50000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,35386.0,452940.8,0.45,0.0,,1.0,100.0,1.413
2019-11-06,50000.0,640000.0,0.57,6.77,0.57,0.64,0.0,640000.0,0.0,50000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,35386.0,452940.8,0.45,0.0,,1.0,100.0,1.413
2019-11-07,50000.0,650000.0,0.57,6.08,0.57,0.65,0.0,650000.0,0.0,50000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,35386.0,460018.0,0.45,0.0,,1.0,100.0,1.413
2019-11-08,50000.0,700000.0,0.57,5.83,0.57,0.7,0.0,700000.0,0.0,50000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,35386.0,495404.0,0.45,0.0,,1.0,100.0,1.413
2019-11-11,43498.0,600272.4,0.5,4.93,0.5,0.6,0.0,600272.4,0.0,43498.0,0.0,,,,,,,,,,,,,,,,,6502.0,0.0,0.1,0.0,0.0,35386.0,488326.8,0.5,0.0,,1.0,100.0,1.2292
2019-11-12,50000.0,650000.0,0.57,5.63,0.57,0.65,0.0,650000.0,35000.0,50000.0,455000.0,,,,0.05,,,,,6502.0,,,,0.05,,,35000.0,,0.48,,100.0,98.91,0.0,0.0,0.0,100.0,,1.0,100.0,1.413
2019-11-13,50000.0,667500.0,0.57,5.59,0.57,0.67,0.0,667500.0,35000.0,50000.0,467250.0,,,,,,,,,,,,,,,,,,0.46,,100.0,98.91,0.0,0.0,0.0,100.0,,1.0,100.0,1.413
2019-11-14,50000.0,645000.0,0.57,5.59,0.57,0.65,0.0,645000.0,35000.0,50000.0,451500.0,,,,,,,,,,,,,,,,,,0.47,,100.0,98.91,0.0,0.0,0.0,100.0,,1.0,100.0,1.413
2019-11-15,50000.0,647500.0,0.57,5.57,0.57,0.65,0.0,647500.0,35000.0,50000.0,453250.0,,,,,,,,,,,,,,,,,,0.45,,100.0,98.91,0.0,0.0,0.0,100.0,,1.0,100.0,1.413
2019-11-18,50000.0,645000.0,0.57,5.55,0.57,0.65,0.0,645000.0,35000.0,50000.0,451500.0,,,,,,,,,,,,,,,,,,0.45,,100.0,98.91,0.0,0.0,0.0,100.0,,1.0,100.0,1.413
2019-11-19,50000.0,645000.0,0.57,5.54,0.57,0.65,0.0,645000.0,35000.0,50000.0,451500.0,,,,,,,,,,,,,,,,,,0.45,,100.0,98.91,0.0,0.0,0.0,100.0,,1.0,100.0,1.413
2019-11-20,50000.0,647500.0,0.57,5.54,0.57,0.65,0.0,647500.0,35000.0,50000.0,453250.0,,,,,,,,,,,,,,,,,,0.45,,100.0,98.91,0.0,0.0,0.0,100.0,,1.0,100.0,1.413
2019-11-21,50000.0,640000.0,0.57,5.72,0.57,0.64,0.0,640000.0,35000.0,50000.0,448000.0,,,,,,,,,,,,,,,,,,0.45,,100.0,98.91,0.0,0.0,0.0,100.0,,1.0,100.0,1.413
2019-11-22,50000.0,645000.0,0.57,5.78,0.57,0.65,0.0,645000.0,35000.0,50000.0,451500.0,,,,,,,,,,,,,,,,,,0.45,,100.0,98.91,0.0,0.0,0.0,100.0,,1.0,100.0,1.413
2019-11-25,50000.0,655000.0,0.57,5.82,0.57,0.66,0.0,655000.0,35000.0,50000.0,458500.0,,,,,,,,,,,,,,,,,,0.45,,100.0,98.91,0.0,0.0,0.0,100.0,,1.0,100.0,1.413
2019-11-26,50000.0,660000.0,0.57,5.9,0.57,0.66,0.0,660000.0,35000.0,50000.0,462000.0,,,,,,,,,,,,,,,,,,0.46,,100.0,98.91,0.0,0.0,0.0,100.0,,1.0,100.0,1.413
2019-11-27,85000.0,1126250.0,0.96,11.17,0.96,1.13,0.0,1126250.0,35000.0,85000.0,463750.0,,,,0.47,,,,,35000.0,,,,0.47,,,,,0.46,,100.0,98.91,0.0,0.0,0.0,100.0,,1.0,100.0,2.4021
2019-11-28,85000.0,1105000.0,0.96,11.19,0.96,1.11,0.0,1105000.0,35000.0,85000.0,455000.0,,,,,,,,,,,,,,,,,,0.46,,100.0,98.91,0.0,0.0,0.0,100.0,,1.0,100.0,2.4021
2019-11-29,85000.0,1105000.0,0.96,11.21,0.96,1.11,0.0,1105000.0,35000.0,85000.0,455000.0,,,,,,,,,,,,,,,,,,0.46,,100.0,98.91,0.0,0.0,0.0,100.0,,1.0,100.0,2.4021
2019-12-02,85000.0,1105000.0,0.96,11.25,0.96,1.11,0.0,650000.0,35000.0,50000.0,455000.0,,,,,,,,,,,,,,,,,35000.0,0.46,0.46,100.0,98.91,0.0,0.0,0.0,100.0,,1.0,100.0,2.4021
