,PAACE FP Equity_PX_LAST
2024-05-20,9.5839
2024-05-21,10.4228
2024-05-22,10.451
2024-05-23,10.3899
2024-05-24,10.3383
2024-05-27,10.3444
2024-05-28,10.2846
2024-05-29,10.1908
2024-05-30,10.1624
2024-05-31,10.1463
2024-06-03,10.2189
2024-06-04,10.2013
2024-06-05,10.3118
2024-06-06,10.3242
2024-06-07,10.3629
2024-06-10,10.3883
2024-06-11,10.3545
2024-06-12,10.407
2024-06-13,10.3691
2024-06-14,10.4041
2024-06-17,10.4
2024-06-18,10.4879
2024-06-19,10.5066
2024-06-20,10.5395
2024-06-21,10.5077
2024-06-24,10.531
2024-06-25,10.4778
2024-06-26,10.4515
2024-06-27,10.4588
2024-06-28,10.4963
2024-07-01,10.4056
2024-07-02,10.4012
2024-07-03,10.4496
2024-07-04,10.4869
2024-07-05,10.4416
2024-07-08,10.4843
2024-07-09,10.4951
2024-07-10,10.5515
2024-07-11,10.6436
2024-07-12,10.7096
2024-07-15,10.6904
2024-07-16,10.7593
2024-07-17,10.6864
2024-07-18,10.6516
2024-07-19,10.5246
2024-07-22,10.5961
2024-07-23,10.6507
2024-07-24,10.5385
2024-07-25,10.5014
2024-07-26,10.5624
2024-07-29,10.5962
2024-07-30,10.6219
2024-07-31,10.7768
2024-08-01,10.653
2024-08-02,10.1938
2024-08-05,10.0103
2024-08-06,10.1387
2024-08-07,10.2828
2024-08-08,10.271
2024-08-09,10.3131
2024-08-12,10.308
2024-08-13,10.3833
2024-08-14,10.39
2024-08-15,10.5745
2024-08-16,10.5837
2024-08-19,10.6279
2024-08-20,10.5895
2024-08-21,10.6237
2024-08-22,10.6477
2024-08-23,10.6831
2024-08-26,10.6844
2024-08-27,10.6816
2024-08-28,10.7011
2024-08-29,10.8038
2024-08-30,10.7965
2024-09-02,10.839
2024-09-03,10.7525
2024-09-04,10.6472
2024-09-05,10.5604
2024-09-06,10.4492
2024-09-09,10.5839
2024-09-10,10.6148
2024-09-11,10.5506
2024-09-12,10.717
2024-09-13,10.788
2024-09-16,10.7713
2024-09-17,10.8524
2024-09-18,10.782
2024-09-19,10.9025
2024-09-20,10.8188
2024-09-23,10.8972
2024-09-24,10.9352
2024-09-25,10.938
2024-09-26,11.0146
2024-09-27,11.0777
2024-09-30,11.0223
2024-10-01,11.0138
2024-10-02,11.0912
2024-10-03,11.0414
2024-10-04,11.1062
2024-10-07,11.104
2024-10-08,11.1214
2024-10-09,11.1672
2024-10-10,11.1791
2024-10-11,11.2346
2024-10-14,11.3127
2024-10-15,11.3098
2024-10-16,11.2924
2024-10-17,11.371
2024-10-18,11.3461
2024-10-21,11.2774
2024-10-22,11.2476
2024-10-23,11.227
2024-10-24,11.2244
2024-10-25,11.2299
2024-10-28,11.2347
2024-10-29,11.2337
2024-10-30,11.1512
2024-10-31,10.9964
2024-11-01,11.0772
2024-11-04,11.0501
2024-11-05,11.0884
2024-11-06,11.3716
2024-11-07,11.4381
2024-11-08,11.5106
2024-11-11,11.6536
2024-11-12,11.5847
2024-11-13,11.5957
2024-11-14,11.5855
2024-11-15,11.4502
2024-11-18,11.4677
2024-11-19,11.433
2024-11-20,11.4668
2024-11-21,11.6162
2024-11-22,11.7817
2024-11-25,11.7892
2024-11-26,11.7299
2024-11-27,11.6477
2024-11-28,11.6863
2024-11-29,11.7404
2024-12-02,11.8155
2024-12-03,11.7867
2024-12-04,11.796
2024-12-05,11.7523
2024-12-06,11.7421
2024-12-09,11.7334
2024-12-10,11.7311
2024-12-11,11.7634
2024-12-12,11.7262
2024-12-13,11.6469
2024-12-16,11.6416
2024-12-17,11.5615
2024-12-18,11.5991
2024-12-19,11.4015
2024-12-20,11.489
2024-12-23,11.4189
2024-12-24,11.4189
2024-12-27,11.5054
2024-12-30,11.4027
2024-12-31,11.3937
2025-01-02,11.5518
2025-01-03,11.5277
2025-01-06,11.6511
2025-01-07,11.5339
2025-01-08,11.4921
2025-01-09,11.4958
2025-01-10,11.4026
2025-01-13,11.3738
2025-01-14,11.3602
2025-01-15,11.5196
2025-01-16,11.5992
2025-01-17,11.7046
2025-01-20,11.6186
2025-01-21,11.6678
2025-01-22,11.7193
2025-01-23,11.6939
2025-01-24,11.6286
2025-01-27,11.4645
2025-01-28,11.5559
2025-01-29,11.6079
2025-01-30,11.6795
2025-01-31,11.7852
2025-02-03,11.6624
2025-02-04,11.6306
2025-02-05,11.6048
2025-02-06,11.7286
2025-02-07,11.7222
2025-02-10,11.759
2025-02-11,11.7248
2025-02-12,11.6138
2025-02-13,11.663
2025-02-14,11.6261
2025-02-17,11.6582
2025-02-18,11.6948
2025-02-19,11.741
2025-02-20,11.6746
2025-02-21,11.6958
2025-02-24,11.5844
2025-02-25,11.4664
2025-02-26,11.5976
2025-02-27,11.5784
2025-02-28,11.4446
2025-03-03,11.4665
2025-03-04,11.1149
2025-03-05,10.9784
2025-03-06,10.9849
2025-03-07,10.8366
2025-03-10,10.8365
2025-03-11,10.5725
2025-03-12,10.6344
2025-03-13,10.5944
2025-03-14,10.7254
2025-03-17,10.7912
2025-03-18,10.7693
2025-03-19,10.8568
2025-03-20,10.8824
2025-03-21,10.842
2025-03-24,11.0017
2025-03-25,11.0058
2025-03-26,10.9525
2025-03-27,10.9429
2025-03-28,10.7538
2025-03-31,10.6997
2025-04-01,10.8238
2025-04-02,10.7884
2025-04-03,10.348
2025-04-04,9.9449
2025-04-07,9.5929
2025-04-08,9.8809
2025-04-09,9.464
2025-04-10,9.8031
2025-04-11,9.6759
2025-04-14,9.965
2025-04-15,10.0521
2025-04-16,9.9602
2025-04-17,9.8889
2025-04-22,9.8187
2025-04-23,10.078
2025-04-24,10.1547
2025-04-25,10.1503
2025-04-28,10.1964
2025-04-29,10.1532
2025-04-30,10.2724
2025-05-02,10.4875
2025-05-05,10.5592
2025-05-06,10.4781
2025-05-07,10.4561
2025-05-08,10.6206
2025-05-09,10.6331
2025-05-12,10.9568
2025-05-13,11.0121
2025-05-14,10.9459
2025-05-15,11.005
2025-05-16,11.0851
2025-05-19,10.9829
2025-05-20,11.0668
2025-05-21,10.9159
2025-05-22,10.8625
2025-05-23,10.7719
2025-05-26,10.8409
2025-05-27,10.9522
2025-05-28,10.9628
2025-05-29,10.9429
2025-05-30,10.8761
2025-06-02,10.8143
2025-06-03,10.924
2025-06-04,10.9564
2025-06-05,10.9464
2025-06-06,11.0016
2025-06-09,10.9951
2025-06-10,11.0326
2025-06-11,11.0187
2025-06-12,10.8936
2025-06-13,10.8385
2025-06-16,10.8714
2025-06-17,10.8348
2025-06-18,10.8326
2025-06-19,10.7365
2025-06-20,10.7757
2025-06-23,10.7905
2025-06-24,10.8871
2025-06-25,10.8578
2025-06-26,10.8653
2025-06-27,10.9342
2025-06-30,10.9019
2025-07-01,10.9382
2025-07-02,10.9372
2025-07-03,11.0329
2025-07-04,10.9443
2025-07-07,10.9756
2025-07-08,10.9947
2025-07-09,10.9876
2025-07-10,11.0915
2025-07-11,11.0034
2025-07-14,10.9993
2025-07-15,11.0758
2025-07-16,10.9179
2025-07-17,11.1384
2025-07-18,11.0976
2025-07-21,11.0834
2025-07-22,11.0361
2025-07-23,11.1171
2025-07-24,11.1318
2025-07-25,11.1559
2025-07-28,11.2354
2025-07-29,11.3043
2025-07-30,11.3353
2025-07-31,11.2974
2025-08-01,10.9863
2025-08-04,11.1159
2025-08-05,11.117
2025-08-06,11.0991
2025-08-07,11.1399
2025-08-08,11.1549
2025-08-11,11.1877
2025-08-12,11.1895
2025-08-13,11.2399
2025-08-14,11.2656
2025-08-15,11.2215
2025-08-18,11.2656
2025-08-19,11.2901
2025-08-20,11.2568
2025-08-21,11.2792
2025-08-22,11.3664
2025-08-25,11.3511
2025-08-26,11.3263
2025-08-27,11.3751
2025-08-28,11.3053
2025-08-29,11.2329
