,ALMER FP Equity_DX_SI_QTY,ALMER FP Equity_DX_SHORT_INTEREST_VALUE,ALMER FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMER FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMER FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMER FP Equity_DX_SI_MV,ALMER FP Equity_DX_DSS,ALMER FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMER FP Equity_DX_SUPPLY_SI_QTY,ALMER FP Equity_DX_BROKER_SI_QTY,ALMER FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMER FP Equity_DX_BROKER_SI_QTY_ADD,ALMER FP Equity_DX_BROKER_SI_MV_ADD,ALMER FP Equity_DX_SUPPLY_SI_MV,ALMER FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMER FP Equity_DX_UTILIZATION_QUANTITY,ALMER FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMER FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMER FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMER FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMER FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMER FP Equity_DX_BROKER_SI_CON_RATIO,ALMER FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMER FP Equity_DX_DEMAND_SUPPLY_RATIO,ALMER FP Equity_PX_LAST
2009-07-08,,,,,,,,,,,,,,,,,,,,,,,,,14.8
2009-07-09,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2009-07-10,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2009-07-13,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2009-07-14,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2009-07-15,,,,,,,,,,,,,,,,,,,,,,,,,14.8
2009-07-16,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2009-07-20,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2009-07-21,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2009-07-22,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2009-07-24,,,,,,,,,,,,,,,,,,,,,,,,,14.85
2009-07-27,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2009-07-30,,,,,,,,,,,,,,,,,,,,,,,,,14.9
2009-07-31,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2009-08-03,,,,,,,,,,,,,,,,,,,,,,,,,14.06
2009-08-04,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2009-08-06,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2009-08-07,,,,,,,,,,,,,,,,,,,,,,,,,14.3
2009-08-10,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2009-08-11,,,,,,,,,,,,,,,,,,,,,,,,,14.31
2009-08-14,,,,,,,,,,,,,,,,,,,,,,,,,14.99
2009-08-17,,,,,,,,,,,,,,,,,,,,,,,,,14.3
2009-08-18,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2009-08-21,,,,,,,,,,,,,,,,,,,,,,,,,14.6
2009-08-25,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2009-08-26,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2009-08-27,,,,,,,,,,,,,,,,,,,,,,,,,16.99
2009-08-28,,,,,,,,,,,,,,,,,,,,,,,,,15.3
2009-08-31,,,,,,,,,,,,,,,,,,,,,,,,,15.3
2009-09-02,,,,,,,,,,,,,,,,,,,,,,,,,15.3
2009-09-03,,,,,,,,,,,,,,,,,,,,,,,,,15.3
2009-09-04,,,,,,,,,,,,,,,,,,,,,,,,,15.3
2009-09-08,,,,,,,,,,,,,,,,,,,,,,,,,15.3
2009-09-09,,,,,,,,,,,,,,,,,,,,,,,,,15.3
2009-09-10,,,,,,,,,,,,,,,,,,,,,,,,,15.3
2009-09-11,,,,,,,,,,,,,,,,,,,,,,,,,15.3
2009-09-15,,,,,,,,,,,,,,,,,,,,,,,,,15.3
2009-09-16,,,,,,,,,,,,,,,,,,,,,,,,,15.3
2009-09-17,,,,,,,,,,,,,,,,,,,,,,,,,15.3
2009-09-18,,,,,,,,,,,,,,,,,,,,,,,,,14.8
2009-09-21,,,,,,,,,,,,,,,,,,,,,,,,,14.8
2009-09-22,,,,,,,,,,,,,,,,,,,,,,,,,14.8
2009-09-23,,,,,,,,,,,,,,,,,,,,,,,,,14.8
2009-09-24,,,,,,,,,,,,,,,,,,,,,,,,,14.51
2009-09-25,,,,,,,,,,,,,,,,,,,,,,,,,15.3
2009-09-28,,,,,,,,,,,,,,,,,,,,,,,,,15.5
2009-09-29,,,,,,,,,,,,,,,,,,,,,,,,,15.5
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,15.2
2009-10-01,,,,,,,,,,,,,,,,,,,,,,,,,15.2
2009-10-06,,,,,,,,,,,,,,,,,,,,,,,,,14.8
2009-10-09,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2009-10-12,,,,,,,,,,,,,,,,,,,,,,,,,13.6
2009-10-14,,,,,,,,,,,,,,,,,,,,,,,,,15.18
2009-10-15,,,,,,,,,,,,,,,,,,,,,,,,,13.86
2009-10-16,,,,,,,,,,,,,,,,,,,,,,,,,15.18
2009-10-19,,,,,,,,,,,,,,,,,,,,,,,,,14.05
2009-10-20,,,,,,,,,,,,,,,,,,,,,,,,,15.17
2009-10-28,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2009-11-02,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2009-11-04,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2009-11-06,,,,,,,,,,,,,,,,,,,,,,,,,14.65
2009-11-17,,,,,,,,,,,,,,,,,,,,,,,,,14.64
2009-11-18,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2009-11-24,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2009-11-27,,,,,,,,,,,,,,,,,,,,,,,,,14.63
2009-11-30,,,,,,,,,,,,,,,,,,,,,,,,,12.85
2009-12-01,,,,,,,,,,,,,,,,,,,,,,,,,13.09
2009-12-02,,,,,,,,,,,,,,,,,,,,,,,,,14.63
2009-12-14,,,,,,,,,,,,,,,,,,,,,,,,,13.51
2009-12-15,,,,,,,,,,,,,,,,,,,,,,,,,14.63
2009-12-21,,,,,,,,,,,,,,,,,,,,,,,,,14.6
2009-12-22,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2009-12-28,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2009-12-29,,,,,,,,,,,,,,,,,,,,,,,,,13.12
2009-12-30,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2010-01-05,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2010-01-14,,,,,,,,,,,,,,,,,,,,,,,,,12.72
2010-01-15,,,,,,,,,,,,,,,,,,,,,,,,,14.95
2010-01-18,,,,,,,,,,,,,,,,,,,,,,,,,14.95
2010-01-21,,,,,,,,,,,,,,,,,,,,,,,,,14.3
2010-01-25,,,,,,,,,,,,,,,,,,,,,,,,,14.29
2010-02-01,,,,,,,,,,,,,,,,,,,,,,,,,16.15
2010-02-08,,,,,,,,,,,,,,,,,,,,,,,,,13.52
2010-02-09,,,,,,,,,,,,,,,,,,,,,,,,,14.99
2010-02-10,,,,,,,,,,,,,,,,,,,,,,,,,13.7
2010-02-16,,,,,,,,,,,,,,,,,,,,,,,,,13.7
2010-02-17,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2010-02-18,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2010-02-22,,,,,,,,,,,,,,,,,,,,,,,,,14.99
2010-02-23,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2010-03-01,,,,,,,,,,,,,,,,,,,,,,,,,15.2
2010-03-04,,,,,,,,,,,,,,,,,,,,,,,,,14.97
2010-03-05,,,,,,,,,,,,,,,,,,,,,,,,,14.25
2010-03-12,,,,,,,,,,,,,,,,,,,,,,,,,14.98
2010-03-16,,,,,,,,,,,,,,,,,,,,,,,,,14.26
2010-03-17,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2010-03-29,,,,,,,,,,,,,,,,,,,,,,,,,14.89
2010-04-01,,,,,,,,,,,,,,,,,,,,,,,,,14.9
2010-04-07,,,,,,,,,,,,,,,,,,,,,,,,,14.9
2010-04-08,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2010-04-28,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2010-05-03,,,,,,,,,,,,,,,,,,,,,,,,,14.5
