,RBT FP Equity_DX_SI_QTY,RBT FP Equity_DX_SHORT_INTEREST_VALUE,RBT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,RBT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,RBT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,RBT FP Equity_DX_SI_MV,RBT FP Equity_DX_DSS,RBT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,RBT FP Equity_DX_SUPPLY_SI_QTY,RBT FP Equity_DX_BROKER_SI_QTY,RBT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,RBT FP Equity_DX_BROKER_SI_MV_NEW_x,RBT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,RBT FP Equity_DX_SUPPLY_SI_QTY_INC_x,RBT FP Equity_DX_BROKER_SI_MV_INC_x,RBT FP Equity_DX_SUPPLY_SI_MV_NEW,RBT FP Equity_DX_BROKER_SI_QTY_ADD,RBT FP Equity_DX_BROKER_SI_QTY_NEW,RBT FP Equity_DX_SUPPLY_SI_MV_DEC,RBT FP Equity_DX_BROKER_SI_QTY_INC,RBT FP Equity_DX_SUPPLY_SI_QTY_DEC,RBT FP Equity_DX_BROKER_SI_MV_NEW_y,RBT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,RBT FP Equity_DX_BROKER_SI_MV_INC_y,RBT FP Equity_DX_SUPPLY_SI_QTY_INC_y,RBT FP Equity_DX_BROKER_SI_MV_ADD,RBT FP Equity_DX_SUPPLY_SI_QTY_ADD,RBT FP Equity_DX_BROKER_SI_QTY_DEC,RBT FP Equity_DX_SUPPLY_SI_MV,RBT FP Equity_DX_BROKER_SI_MV_DEC,RBT FP Equity_DX_SUPPLY_SI_MV_RMV,RBT FP Equity_DX_BROKER_SI_MV_RMV,RBT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,RBT FP Equity_DX_UTILIZATION_QUANTITY,RBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,RBT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,RBT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,RBT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,RBT FP Equity_DX_ACTIVE_UTILIZATION_MV,RBT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,RBT FP Equity_DX_BROKER_SI_CON_RATIO,RBT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,RBT FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,22595.0,2251531.16,2.18,74.02,1.09,2.78,1.0,9964.73,22495.0,100.0,2241566.43,0.01,,22495.0,,,,100.0,,,,0.01,,,22495.0,,,,2.76,,,,47.95,47.95,24419.0,2433287.87,,3.0,47.95,0.44,0.9912,99.56,0.4816
2006-01-11,22145.0,2188893.98,2.14,77.16,1.07,2.74,1.0,9884.37,22045.0,100.0,2179009.61,,,,,,,,0.04,,450.0,,,,,,,,2.72,,,,48.12,48.12,23766.0,2349119.63,,2.94,48.12,0.45,0.991,99.55,0.4834
2006-01-18,22156.0,2172176.53,2.14,78.81,1.07,2.74,1.0,9804.01,22056.0,100.0,2162372.52,,,11.0,,,,,,,,,,,11.0,,,,2.73,,,,48.29,48.29,23618.0,2315511.17,,2.92,48.29,0.45,0.991,99.55,0.4851
2006-01-25,22500.0,2243872.78,2.17,93.97,1.09,2.8,1.0,9972.77,22400.0,100.0,2233900.01,,22400.0,,,2.78,,,,,,,22400.0,,,,,,2.78,,2.73,,48.41,48.41,23867.0,2380200.52,22056.0,2.97,48.41,0.44,0.9912,99.56,0.4863
2006-02-01,22500.0,2205902.33,2.17,95.38,1.09,2.76,1.0,9804.01,22400.0,100.0,2196098.32,,,,,,,,,,,,,,,,,,2.75,,,,48.39,48.39,23893.0,2342472.19,,2.93,48.39,0.44,0.9911,99.56,0.486
2006-02-08,22500.0,2167931.88,2.17,104.93,1.09,2.7,1.0,9635.25,22400.0,100.0,2158296.63,,,,,,,,,,,,,,,,,,2.69,,,,48.28,48.28,23998.0,2312267.97,,2.88,48.28,0.45,0.9911,99.55,0.4849
2006-02-15,22500.0,2117304.61,2.17,180.0,1.09,2.65,1.0,9410.24,22400.0,100.0,2107894.37,0.01,,,,,,100.0,,,,0.01,,,,,,,2.64,,,0.01,48.31,48.31,23967.0,2255352.87,,2.83,48.31,0.44,0.9912,99.56,0.4853
2006-02-22,22500.0,2095607.21,2.17,144.51,1.09,2.59,1.0,9313.81,22400.0,100.0,2086293.4,,,,,,,,,,,,,,,,,,2.58,,,,48.26,48.26,24019.0,2237083.98,,2.77,48.26,0.45,0.9911,99.55,0.4847
2006-03-01,22500.0,2046788.06,2.17,137.5,1.09,2.55,1.0,9096.84,22400.0,100.0,2037691.23,,,,,,,,,,,,,,,,,,2.54,,,,37.13,36.12,37923.0,3449793.05,,0.0,100.0,0.44,0.9912,99.56,0.3628
2006-03-08,22500.0,2097415.33,2.17,93.67,1.09,2.63,1.0,9321.85,22400.0,100.0,2088093.48,,,,,,,,,,,,,,,,,,2.62,,,,37.45,36.42,37411.0,3487395.77,,0.0,100.0,0.44,0.9913,99.56,0.3658
