,ALBIO FP Equity_DX_SI_QTY,ALBIO FP Equity_DX_SHORT_INTEREST_VALUE,ALBIO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALBIO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALBIO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALBIO FP Equity_DX_SI_MV,ALBIO FP Equity_DX_DSS,ALBIO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALBIO FP Equity_DX_SUPPLY_SI_QTY,ALBIO FP Equity_DX_BROKER_SI_QTY,ALBIO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALBIO FP Equity_DX_BROKER_SI_MV_NEW_x,ALBIO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALBIO FP Equity_DX_BROKER_SI_MV_INC_x,ALBIO FP Equity_DX_BROKER_SI_QTY_ADD,ALBIO FP Equity_DX_BROKER_SI_QTY_NEW,ALBIO FP Equity_DX_SUPPLY_SI_MV_DEC,ALBIO FP Equity_DX_BROKER_SI_QTY_INC,ALBIO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALBIO FP Equity_DX_BROKER_SI_MV_NEW_y,ALBIO FP Equity_DX_BROKER_SI_MV_INC_y,ALBIO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALBIO FP Equity_DX_BROKER_SI_MV_ADD,ALBIO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALBIO FP Equity_DX_BROKER_SI_QTY_DEC,ALBIO FP Equity_DX_SUPPLY_SI_MV,ALBIO FP Equity_DX_BROKER_SI_MV_DEC,ALBIO FP Equity_DX_SUPPLY_SI_MV_RMV,ALBIO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALBIO FP Equity_DX_UTILIZATION_QUANTITY,ALBIO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALBIO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALBIO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALBIO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALBIO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALBIO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALBIO FP Equity_DX_BROKER_SI_CON_RATIO,ALBIO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALBIO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALBIO FP Equity_PX_LAST
2011-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2011-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.95
2011-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5
2011-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9
2011-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4
2011-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.78
2011-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2
2011-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.05
2011-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.78
2011-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.62
2011-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8
2011-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.05
2011-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.78
2011-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7
2011-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.13
2011-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9
2011-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7
2011-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.33
2011-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.08
2011-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.95
2011-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.33
2011-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.28
2011-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.26
2011-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.65
