,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_y,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity
2006-04-12,70078136.0,3313014123.62,7.22,13.63,5.17,5466.31,2.0,2033100699.84,48568416.0,43004920.0,2296120549.92,70.31,30265.0,4070122.0,687.35,2.35,,899347.0,102.48,9190385.0,1148812.0,70.31,30265.0,687.35,4070122.0,,5208567.0,94229.0,3710.18,9.26,3.19,,33.53,33.53,96266784.0,4551108708.53,40405.0,7357.56,33.52,13.95,0.1441,30.4,0.4838
2006-04-19,73399864.0,3477010805.14,7.57,14.54,5.42,5675.68,2.0,2118336472.04,50249164.0,44718184.0,2380343459.18,,380374.0,765302.0,135.33,29.34,,,46.16,1960511.0,440766.0,,380374.0,135.33,765302.0,,975837.0,247248.0,3811.09,19.4,,,34.36,34.36,96007168.0,4547937043.95,,7293.38,34.32,13.26,0.1456,31.18,0.5019
2006-04-26,78031632.0,3656966595.93,8.04,16.33,5.76,5985.15,2.0,2290183881.72,51708240.0,48867492.0,2423316052.32,,26006.0,980311.0,294.07,1.99,100000.0,,54.07,4116030.0,680746.0,,26006.0,294.07,980311.0,8.0,1557977.0,66720.0,3892.21,5.04,32.74,,35.51,35.5,93907536.0,4400993718.27,424471.0,7076.17,35.49,12.75,0.15,32.02,0.5358
2006-05-03,84942728.0,4029174243.29,8.76,17.01,6.27,6667.87,2.0,2531130023.64,55447508.0,53361080.0,2630097671.09,,506339.0,1793735.0,289.5,38.07,1475349.0,,0.0,3127159.0,367861.0,,506339.0,289.5,1793735.0,115.5,1821066.0,108920.0,4265.39,0.0,1.04,,36.99,36.9,94467888.0,4480990781.79,14013.0,7300.14,36.88,12.81,0.1365,29.61,0.5653
2006-05-10,87785032.0,4169544416.75,9.05,20.95,6.48,6885.7,2.0,2648266231.41,55872380.0,55756244.0,2653782367.81,,97.0,682149.0,189.19,0.01,,,52.18,2475125.0,662355.0,,97.0,189.19,682149.0,,404979.0,79959.0,4295.15,5.95,,,53.38,36.59,48787700.0,2317279808.49,,0.0,152.45,12.36,0.1371,29.92,0.5748
2006-05-17,101880104.0,4729555516.08,10.5,24.49,7.52,7834.52,2.0,2818365437.48,65565704.0,60710856.0,3043740876.22,,2466496.0,4107484.0,387.07,185.92,172000.0,,107.8,5689207.0,1339068.0,,2466496.0,387.07,4107484.0,12.63,4810771.0,906594.0,4992.61,135.92,27.57,,58.48,38.48,46553832.0,2161157324.01,352355.0,0.0,157.27,11.75,0.1199,26.85,0.5979
2006-05-24,142495216.0,6606014917.38,14.69,32.09,10.51,10865.2,3.0,4157948505.04,81134744.0,89689136.0,3761370691.78,,467394.0,10900729.0,2274.66,35.34,51329.0,,190.59,29681768.0,2230979.0,,467394.0,2274.66,10900729.0,3.9,6431895.0,754816.0,6082.19,75.44,,,75.04,54.68,26980320.0,1250795650.54,,0.0,163.64,17.2,0.1053,17.91,0.9603
2006-05-31,166798784.0,7753801971.93,17.2,39.57,12.31,12700.68,3.0,4708056602.56,99136296.0,101279104.0,4608446110.82,,1088821.0,4689641.0,872.19,82.69,,,131.29,11589966.0,1655378.0,,1088821.0,872.19,4689641.0,,14264163.0,,7437.02,,29.34,,76.01,60.17,31294272.0,1454744346.0,385700.0,0.0,189.16,16.28,0.0946,16.67,1.0124
2006-06-07,191213488.0,8930830013.67,19.71,43.53,14.11,14344.04,3.0,5533617138.6,110914024.0,118477480.0,5180357854.65,,823780.0,7184374.0,1319.84,59.59,,,272.88,18859282.0,3489228.0,,823780.0,1319.84,7184374.0,,7556991.0,1660909.0,8180.78,123.88,21.93,,77.44,60.27,32309992.0,1509072656.5,298186.0,0.0,189.89,15.98,0.0957,16.88,1.0391
2006-06-14,176257760.0,8146968420.82,18.17,40.75,13.0,13063.5,3.0,5269590853.01,103018432.0,114006368.0,4761707582.5,,964202.0,780455.0,93.88,69.41,,,952.65,1369318.0,11881808.0,,964202.0,93.88,780455.0,,2697371.0,5840431.0,7474.66,524.05,34.1,,70.24,55.34,43639600.0,2017105193.54,455812.0,0.0,166.69,13.82,0.0942,17.63,0.9468
2006-06-21,147810992.0,6960922394.97,15.24,31.8,10.9,10963.93,3.0,4158197785.36,87182104.0,88296824.0,4105701828.82,,521901.0,1113249.0,4.07,38.51,,,1262.84,20000.0,17951742.0,,521901.0,4.07,1113249.0,,480264.0,25729540.0,6406.27,1959.88,,,62.03,46.97,53360408.0,2512923119.09,,0.0,151.06,15.92,0.104,19.52,0.7963
2006-06-28,98970200.0,4670427006.42,10.2,20.64,7.3,7394.5,2.0,2935447433.5,62908340.0,62204552.0,2968659354.69,,132983.0,271123.0,25.22,9.92,,,1809.5,320000.0,24838944.0,,132983.0,25.22,271123.0,,764755.0,26412276.0,4664.09,1947.85,44.73,,50.86,34.93,60780660.0,2868253635.26,603677.0,0.0,145.65,15.5,0.1012,16.97,0.5496
2006-07-03,96554160.0,4793272215.88,9.95,20.67,7.12,7477.22,2.0,2701198473.67,56311780.0,54412088.0,2795505553.57,,378579.0,174597.0,159.57,29.27,,,618.41,1689169.0,8894207.0,,378579.0,159.57,174597.0,,2018420.0,9481632.0,4310.7,582.99,19.98,,30.73,30.73,126955056.0,6302474617.25,273951.0,9700.13,30.77,16.81,0.1174,22.98,0.5269
2006-07-04,96588800.0,4785638821.57,9.96,20.59,7.13,7502.23,2.0,2712247404.75,55939156.0,54741432.0,2771590459.76,,,564898.0,66.42,,,,66.49,848820.0,922520.0,,,66.42,564898.0,,,519474.0,4305.5,36.7,1.14,,30.47,30.47,127638848.0,6324060617.06,15000.0,9798.51,30.53,16.41,0.1167,23.02,0.5261
2006-07-05,93933248.0,4602522067.73,9.68,20.54,6.93,7304.68,2.0,2621204682.43,53647752.0,53496380.0,2628621576.72,,258384.0,734970.0,,19.6,,,289.71,,3812082.0,,258384.0,,734970.0,,527324.0,1245051.0,4140.16,92.45,,,28.94,28.94,131747256.0,6455325095.36,,10157.38,28.96,16.68,0.1175,22.78,0.5067
2006-07-06,89944272.0,4505780138.77,9.27,19.34,6.64,6962.92,2.0,2515969645.01,52558280.0,50223724.0,2632919794.51,,,152207.0,12.05,,,,51.86,228420.0,621887.0,,,12.05,152207.0,,12000.0,3501078.0,4026.6,282.97,48.62,,28.35,28.35,132799880.0,6652642224.23,631793.0,10232.02,28.24,17.46,0.1249,24.06,0.4852
2006-07-07,85253320.0,4268033964.71,8.79,17.85,6.29,6664.27,2.0,2284475215.73,52641368.0,45632040.0,2635382957.2,,,630920.0,10.32,,,,30.6,99816.0,547833.0,,,10.32,630920.0,,,4691498.0,4090.76,361.14,,,28.32,28.32,133228376.0,6669807508.15,,10361.33,28.31,13.64,0.121,24.96,0.4587
2006-07-10,83712176.0,4198985877.11,8.63,17.54,6.18,6579.3,2.0,2265296353.01,51239400.0,45161592.0,2570157977.39,,,86855.0,22.99,,,,110.18,220851.0,1488822.0,,,22.99,86855.0,,,691300.0,4000.2,40.18,,,27.73,27.73,133518104.0,6697241187.88,,10422.79,27.73,14.13,0.1189,24.08,0.4531
2006-07-11,84478072.0,4218315664.91,8.7,17.29,6.23,6619.33,2.0,2284348959.58,51208472.0,45747500.0,2557036334.99,,,819533.0,44.49,,,,108.32,601207.0,1346537.0,,,44.49,819533.0,,496074.0,15300.0,3987.95,1.81,,,27.73,27.73,133471368.0,6664739726.2,,10396.47,27.72,13.89,0.1152,23.54,0.4574
2006-07-12,84872120.0,4279084359.39,8.74,16.63,6.26,6668.97,2.0,2342968610.62,50932012.0,46470856.0,2567891269.14,,284412.0,842179.0,158.56,22.19,,,109.09,1991873.0,1453660.0,,284412.0,158.56,842179.0,,50610.0,1268515.0,3976.7,104.22,,,27.2,27.2,136320784.0,6873024200.11,,10675.99,27.14,16.13,0.1203,23.65,0.4532
2006-07-13,80893400.0,3960987197.2,8.33,15.79,5.96,6336.46,2.0,2095959968.98,48677900.0,42804816.0,2383538566.64,,,162739.0,2.15,,,,168.29,56643.0,2132436.0,,,2.15,162739.0,,,3722682.0,3800.77,314.84,22.19,,26.19,26.19,137218064.0,6718953520.66,284412.0,10677.41,26.25,17.06,0.1117,20.09,0.4352
2006-07-14,75915080.0,3704969299.28,7.82,14.73,5.6,5842.19,2.0,2007751079.29,48501376.0,41138960.0,2367067373.87,,,153648.0,0.69,,,,54.24,16617.0,330172.0,,,0.69,153648.0,,,1682476.0,3709.78,170.01,,,25.95,25.95,138431904.0,6756048394.61,,10617.62,25.89,15.17,0.1032,18.04,0.4061
2006-07-17,74875376.0,3637309732.25,7.71,14.62,5.52,5756.07,2.0,1966593310.73,47833532.0,40483056.0,2323666080.44,,,96995.0,,,,,63.34,,830259.0,,,,96995.0,,65418.0,655902.0,3655.02,53.39,,,25.53,25.53,139560544.0,6779597673.46,,10689.53,25.48,15.07,0.1039,18.27,0.3996
2006-07-18,68476192.0,3302136083.31,7.05,13.26,5.05,5236.12,2.0,1656321276.19,45007860.0,34347032.0,2170419735.65,,,172286.0,,,,,235.35,,2997954.0,,,,172286.0,,,6136022.0,3417.41,475.29,,,24.06,24.06,142048592.0,6850027250.74,,10826.18,23.99,15.21,0.0988,16.71,0.3661
2006-07-19,59571968.0,2936200802.43,6.14,11.61,4.39,4538.57,1.0,1299011183.75,39100744.0,26355368.0,1927209050.88,,252896.0,287963.0,19.2,19.28,,,497.48,283288.0,6449230.0,,252896.0,19.2,287963.0,,1252.0,8274957.0,2950.21,623.55,,,20.75,20.75,149303648.0,7358922422.43,,11323.12,20.67,17.33,0.1087,19.67,0.3162
2006-07-20,57241980.0,2839836151.45,5.9,11.18,4.22,4447.89,1.0,1255730819.01,37300048.0,25311502.0,1850495471.35,,,52120.0,14.65,,,,64.52,19924.0,950015.0,,,14.65,52120.0,,643.0,1063789.0,2870.4,79.13,68.84,,20.2,20.2,147345648.0,7309975964.32,903444.0,11374.12,20.15,18.09,0.1149,20.55,0.31
2006-07-21,56906900.0,2836070304.2,5.86,11.4,4.2,4448.32,1.0,1262664355.47,37012568.0,25335872.0,1844596085.66,,,350004.0,9.2,,,,52.18,63371.0,742927.0,,,9.2,350004.0,,105445.0,39000.0,2866.35,2.73,,,20.03,20.03,147773056.0,7364568723.35,,11462.42,20.0,18.2,0.1163,20.68,0.308
2006-07-24,57216904.0,2892150445.73,5.89,11.53,4.22,4511.96,1.0,1296677106.18,36996204.0,25652832.0,1870052037.23,,,31299.0,43.56,,,,0.0,464105.0,47665.0,,,43.56,31299.0,,,147146.0,2889.74,10.23,,,20.04,20.04,147659024.0,7463740297.41,,11553.48,20.01,18.14,0.1174,21.22,0.3099
2006-07-25,55967332.0,2839827199.0,5.77,11.21,4.13,4465.78,1.0,1288589203.93,35989748.0,25395524.0,1826148604.96,,,371823.0,12.09,,,,102.62,155611.0,1378280.0,,,12.09,371823.0,,,412918.0,2846.02,24.09,,,19.51,19.51,148506880.0,7535357895.24,,11728.29,19.53,18.56,0.1197,21.16,0.3034
2006-07-26,54525848.0,2764925169.83,5.62,11.06,4.02,4343.09,1.0,1241591267.93,39092268.0,24484864.0,1982311136.9,,171453.0,3035884.0,5.59,13.42,,,91.52,71594.0,1143653.0,,171453.0,5.59,3035884.0,,1073588.0,982256.0,3088.97,79.62,2.77,,20.94,20.94,147597424.0,7484447240.88,34751.0,11675.31,20.92,18.98,0.1211,21.09,0.2921
2006-07-27,56684468.0,2762776738.26,5.84,11.61,4.18,4510.01,1.0,1410595947.87,33200226.0,28941492.0,1618164822.46,,,1292577.0,377.63,,,,566.12,4760615.0,7125859.0,,,377.63,1292577.0,,76901.0,303987.0,2610.65,22.55,10.57,,31.83,17.9,71104696.0,3465612486.47,135659.0,0.0,138.31,18.5,0.153,29.26,0.3056
2006-07-28,57201328.0,2758426888.02,5.89,11.39,4.22,4409.37,1.0,1462265241.75,36621380.0,30322904.0,1765997447.97,,,1678387.0,73.29,,,,75.35,1381411.0,661900.0,,,73.29,1678387.0,,2404669.0,,2792.18,,,,34.85,19.62,68469568.0,3301816653.32,,0.0,155.63,17.63,0.1631,31.57,0.3065
2006-07-31,55033568.0,2645008893.14,5.67,11.62,4.06,4213.98,1.0,1439782967.94,36995344.0,29956948.0,1778060508.18,,,556613.0,5.34,,,,15.71,74359.0,182651.0,,,5.34,556613.0,,,440314.0,2798.39,41.92,,,34.94,19.73,68899912.0,3311449477.1,,0.0,158.56,18.35,0.1525,29.04,0.2935
2006-08-01,54516412.0,2584960012.17,5.62,11.45,4.02,4148.52,1.0,1388926507.98,33108290.0,29292248.0,1569868642.88,,,85545.0,14.71,,,,312.79,253431.0,4085033.0,,,14.71,85545.0,,112433.0,918129.0,2484.45,76.59,,,31.37,17.68,72417456.0,3433759139.23,,0.0,141.1,18.76,0.147,27.71,0.2912
2006-08-02,52306248.0,2476785810.03,5.39,11.03,3.86,3936.09,1.0,1176944039.08,33083264.0,24855410.0,1566546291.46,,135659.0,445915.0,11.21,9.97,,,126.22,248726.0,1612046.0,,135659.0,11.21,445915.0,,1005446.0,4685566.0,2457.22,363.14,,,17.69,17.69,153959280.0,7290222002.27,,11416.26,17.71,19.66,0.1308,23.17,0.2796
2006-08-03,51422216.0,2428286261.9,5.3,10.82,3.79,3872.71,1.0,1172040766.17,31821812.0,24819534.0,1502705929.83,,,435938.0,3.37,,,,88.58,46000.0,1176628.0,,,3.37,435938.0,,89897.0,81876.0,2359.07,6.73,51.94,,17.15,17.15,153721216.0,7259102116.01,610659.0,11409.58,17.13,20.04,0.1337,23.56,0.2771
2006-08-04,50608916.0,2321271191.37,5.21,10.69,3.73,3780.79,1.0,1176938598.0,32231900.0,25659900.0,1478375488.49,,475000.0,83597.0,61.88,42.38,,,26.09,914725.0,302511.0,,475000.0,61.88,83597.0,,154003.0,74359.0,2371.0,5.77,,,17.45,17.45,152455360.0,6992646021.87,,11182.9,17.49,20.39,0.1279,21.0,0.274
2006-08-07,50255848.0,2264523293.04,5.18,10.03,3.71,3703.65,1.0,1142134810.49,32169920.0,25347036.0,1449573255.14,,,87967.0,2.54,,,,19.69,40000.0,149948.0,,,2.54,87967.0,,,352865.0,2339.92,35.37,,,17.56,17.56,151009264.0,6804461757.22,,10926.76,17.64,20.47,0.1282,20.89,0.2744
2006-08-08,49697380.0,2231338156.93,5.12,10.02,3.66,3591.41,1.0,1141766515.17,31531002.0,25429944.0,1415694909.65,,,301085.0,9.04,,,,101.32,280697.0,991926.0,,,9.04,301085.0,,51923.0,197787.0,2239.91,14.61,,,17.14,17.14,152416656.0,6843280275.23,,10862.23,17.1,20.85,0.1311,21.25,0.2702
2006-08-09,49448592.0,2197822619.2,5.09,9.42,3.65,3546.6,1.0,1118253232.72,31504892.0,25159468.0,1400285861.59,,132859.0,480781.0,0.0,9.16,,,66.68,35523.0,911421.0,,132859.0,0.0,480781.0,,271672.0,306000.0,2221.5,24.84,,,17.31,17.31,150450912.0,6687034030.66,,10549.65,17.39,20.88,0.131,21.33,0.2718
2006-08-10,49512992.0,2167123336.72,5.1,9.08,3.65,3530.67,1.0,1104751186.02,32005222.0,25240620.0,1400829574.05,,,238640.0,42.96,,,,9.04,620000.0,113498.0,,,42.96,238640.0,,508047.0,538849.0,2241.02,42.22,9.16,,17.88,17.88,147000064.0,6434013706.83,132859.0,10223.27,17.98,20.15,0.1312,22.09,0.2766
2006-08-11,50947764.0,2229921559.14,5.25,9.19,3.76,3577.2,1.0,1143880476.83,32574802.0,26134620.0,1425759396.71,,,393219.0,41.96,,,,11.16,894001.0,136070.0,,,41.96,393219.0,,312431.0,,2245.4,,,,18.01,18.01,148318576.0,6491723370.68,,10160.86,18.1,19.59,0.1295,21.95,0.2816
2006-08-14,51033020.0,2260008899.3,5.26,9.23,3.76,3571.04,1.0,1160040728.04,32638980.0,26194756.0,1445424653.77,,,87075.0,4.61,,,,1.8,93909.0,24765.0,,,4.61,87075.0,,1867.0,33772.0,2240.35,2.29,,,17.98,17.98,148909520.0,6594491966.0,,10241.02,17.95,19.61,0.1292,21.95,0.2811
2006-08-15,50800312.0,2305454039.25,5.23,9.36,3.75,3578.6,1.0,1179296397.35,32435434.0,25985608.0,1472006753.23,,8910.0,7178.0,26.14,0.63,,,12.91,321248.0,210724.0,,8910.0,26.14,7178.0,,,530396.0,2246.67,34.4,0.61,,17.79,17.79,149876544.0,6801798456.55,8910.0,10459.03,17.68,19.81,0.1273,21.57,0.2786
2006-08-16,50425156.0,2307959851.58,5.19,9.08,3.72,3624.96,1.0,1182622339.82,32372542.0,25838368.0,1481691543.6,,132859.0,189445.0,20.16,9.43,,,32.15,111533.0,531169.0,,132859.0,20.16,189445.0,,145974.0,258772.0,2290.19,20.31,,,17.81,17.81,149409040.0,6838453128.11,,10598.49,17.77,19.94,0.1284,21.66,0.2774
2006-08-17,49385564.0,2263565837.13,5.09,8.95,3.64,3586.95,1.0,1147991304.07,32161488.0,25046410.0,1474107808.26,,,268660.0,3.33,,,,19.4,43532.0,346855.0,,,3.33,268660.0,,,835492.0,2298.23,53.14,9.43,,17.75,17.75,149047088.0,6831508424.61,132859.0,10616.92,17.79,20.36,0.1311,22.19,0.2725
2006-08-18,49611560.0,2264316134.75,5.11,9.12,3.66,3606.29,1.0,1138670293.22,32437700.0,24948464.0,1480485747.36,,,25647.0,5.84,,,,5.6,73537.0,83684.0,,,5.84,25647.0,,334248.0,171482.0,2319.12,12.26,,,17.85,17.85,149258944.0,6812312194.08,,10611.45,17.94,20.42,0.13,22.09,0.273
2006-08-21,49615260.0,2226049617.0,5.11,9.1,3.66,3580.87,1.0,1112296629.6,32354602.0,24791400.0,1451628982.5,,,191611.0,0.83,,,,20.7,12000.0,274709.0,,,0.83,191611.0,,,169065.0,2294.93,16.66,,,17.57,17.57,151776432.0,6809636154.75,,10677.1,17.69,20.38,0.1298,22.05,0.2695
2006-08-22,48869828.0,2209956443.71,5.03,8.95,3.6,3500.81,1.0,1112542205.39,31525174.0,24602180.0,1425608893.49,,,479947.0,28.9,,,,92.51,420799.0,1309374.0,,,28.9,479947.0,,,610020.0,2220.75,51.34,,,17.0,17.0,153948592.0,6961753229.22,,10822.54,17.03,20.49,0.1296,21.38,0.2635
2006-08-23,48976172.0,2203699533.04,5.05,9.4,3.61,3508.42,1.0,1102533245.74,31751874.0,24503276.0,1428686380.53,,132859.0,12140.0,9.67,9.27,,,12.44,134460.0,174232.0,,132859.0,9.67,12140.0,,255933.0,233362.0,2233.85,16.51,,,16.97,16.97,155348656.0,6989965665.06,,10734.06,17.23,20.74,0.1303,21.35,0.2618
2006-08-24,50694744.0,2290845173.15,5.22,10.02,3.74,3626.19,1.0,1187427395.97,31675132.0,26276908.0,1431367781.47,,,159400.0,197.42,,,,7.56,2753000.0,103284.0,,,197.42,159400.0,,,979366.0,2227.25,71.99,9.27,,16.97,16.97,154989776.0,7003834169.44,132859.0,10709.35,17.22,19.77,0.1196,19.94,0.2716
2006-08-25,50060272.0,2236320595.82,5.16,9.97,3.69,3578.99,1.0,1152167642.98,31048356.0,25791394.0,1387009602.93,,,39230.0,7.52,,,,48.05,108354.0,683297.0,,,7.52,39230.0,,17291.0,593870.0,2180.79,39.01,,,16.62,16.62,155761152.0,6958249692.4,,10713.43,16.91,19.42,0.12,20.44,0.268
