,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_x,SAN FP Equity_y,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity,SAN FP Equity
,DX_SI_QTY,DX_SHORT_INTEREST_VALUE,DX_SHORT_INTEREST_PCT_FREE_FLOAT,DX_SHORT_INT_RATIO_DAYS_TO_COVER,DX_SHORT_INTEREST_PCT_SHARES_OUT,DX_SI_MV,DX_DSS,DX_BROKER_SHORT_INTEREST_VALUE,DX_SUPPLY_SI_QTY,DX_BROKER_SI_QTY,DX_SUPPLY_SIDE_SHORT_INT_VAL,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_MV_NEW,DX_BROKER_SI_QTY_ADD,DX_BROKER_SI_QTY_NEW,DX_SUPPLY_SI_MV_DEC,DX_BROKER_SI_QTY_INC,DX_SUPPLY_SI_QTY_DEC,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_ADD,DX_SUPPLY_SI_QTY_ADD,DX_BROKER_SI_QTY_DEC,DX_SUPPLY_SI_MV,DX_BROKER_SI_MV_DEC,DX_SUPPLY_SI_MV_RMV,DX_BROKER_SI_MV_RMV,DX_ACTIVE_UTILIZATION_QUANTITY,DX_UTILIZATION_QUANTITY,DX_ACTIVE_AVAIL_SUPPLY_QTY,DX_ACTIVE_AVAILABILITY_VALUE,DX_SUPPLY_SI_QTY_MV_RMV,DX_ACTIVE_AVAIL_SUPPLY_MV,DX_ACTIVE_UTILIZATION_MV,DX_BROKER_SI_MARKET_SHARE_2,DX_BROKER_SI_CON_RATIO,DX_BROKER_SI_MARKET_SHARE_1,DX_DEMAND_SUPPLY_RATIO
2006-01-04,47800876.0,2333852964.78,4.76,15.08,3.41,3636.24,1.0,1390708706.52,31260528.0,28483840.0,1526279057.17,,,2329124.0,0.72,,20795.0,,287.89,129797.0,3657191.0,,,0.72,2329124.0,1.58,2055591.0,199780.0,2370.43,16.29,0.58,,21.97,21.97,111005776.0,5419799407.55,7593.0,8465.87,21.87,19.98,0.1881,34.34,0.336
2006-01-11,50408756.0,2504192288.7,5.02,14.68,3.6,3981.83,1.0,1430934859.33,35926312.0,28804356.0,1784737426.8,,500000.0,3388016.0,198.56,39.2,101571.0,,70.91,2401287.0,965470.0,,500000.0,198.56,3388016.0,8.32,1743237.0,2182341.0,2830.78,100.63,,,24.8,24.8,108941944.0,5411987871.32,,8596.18,24.77,18.26,0.1597,29.62,0.348
2006-01-18,54072776.0,2585394057.76,5.39,15.56,3.86,4179.15,1.0,1551074940.69,36404704.0,32440288.0,1740626473.41,,,451555.0,344.81,,,,83.37,4772707.0,604427.0,,,344.81,451555.0,,631264.0,1136776.0,2800.69,98.21,,,24.67,24.67,111155072.0,5314682986.48,,8536.53,24.7,17.03,0.1952,36.98,0.3664
2006-01-25,52441956.0,2441129285.59,5.22,13.71,3.74,3942.93,1.0,1445746509.88,36121084.0,31058484.0,1681406314.81,,8030011.0,447089.0,24.25,593.34,,,138.74,394939.0,1300986.0,,8030011.0,24.25,447089.0,,488043.0,1776743.0,2693.14,175.09,613.16,,24.56,24.56,110971168.0,5165615257.76,7947775.0,8272.24,24.56,13.77,0.2256,42.08,0.3565
2006-02-01,53197488.0,2567079476.27,5.3,13.83,3.8,4094.46,1.0,1506629864.53,36536868.0,31221832.0,1763110392.92,,779750.0,717412.0,82.81,59.53,,,50.91,909398.0,884417.0,,779750.0,82.81,717412.0,,336928.0,746048.0,2788.29,14.49,40.1,,24.84,24.84,110571264.0,5335688453.56,533887.0,8469.24,24.77,13.7,0.2093,40.02,0.3616
2006-02-08,53687232.0,2549993926.49,5.35,13.71,3.83,4102.89,1.0,1453551148.49,37410452.0,30602872.0,1776892229.93,,,1173741.0,,,1414737.0,,24.28,,340880.0,,,,1173741.0,100.99,40722.0,2033699.0,2840.41,166.36,,,25.2,25.2,111020656.0,5273171813.27,,8424.16,25.22,13.84,0.1939,37.57,0.3617
2006-02-15,57099772.0,2666968955.58,5.69,13.79,4.08,4328.97,1.0,1564106564.8,37299388.0,33487502.0,1742148985.43,,433640.0,895197.0,202.88,32.65,,,142.39,2893945.0,1761219.0,,433640.0,202.88,895197.0,,321317.0,9315.0,2809.07,1.39,,,25.22,25.22,110571680.0,5164490638.01,,8312.4,25.26,14.0,0.2058,39.33,0.3861
2006-02-22,59652832.0,2703269659.31,5.94,13.81,4.26,4379.39,1.0,1603685243.06,37955724.0,35388392.0,1720028264.31,,,935189.0,125.99,,,,117.68,2013321.0,977400.0,,,125.99,935189.0,,1105032.0,112429.0,2764.78,61.85,30.82,,26.73,26.73,104039312.0,4714718582.1,406483.0,7570.76,26.75,16.72,0.1941,37.12,0.4201
2006-03-01,57158084.0,2606472490.8,5.7,12.69,4.08,4268.86,1.0,1543839869.96,37334024.0,33855308.0,1702473206.18,,210617.0,1253331.0,143.05,15.88,14000.0,,182.81,1323055.0,2780874.0,,210617.0,143.05,1253331.0,1.01,940092.0,2870140.0,2731.45,188.13,17.42,,25.54,25.54,108838040.0,4963136224.31,244865.0,7968.31,25.53,13.66,0.1904,37.64,0.391
2006-03-08,59370428.0,2726119857.62,6.21,13.49,4.38,4380.73,1.0,1581759469.6,39796208.0,34448132.0,1827327788.28,,,1942456.0,27.8,,,,31.48,625825.0,414876.0,,,27.8,1942456.0,,934605.0,33000.0,2877.32,5.26,,,27.16,27.15,106733904.0,4900914899.51,,7760.79,27.05,13.15,0.18,36.26,0.4051
2006-03-15,59912100.0,2824831307.31,6.18,13.76,4.42,4622.52,1.0,1727719618.12,39207156.0,36643360.0,1848601563.61,,,817239.0,99.03,,1750079.0,,188.68,463481.0,2715961.0,,,99.03,817239.0,130.52,1309669.0,18333.0,2971.99,0.0,,,26.61,26.61,108125600.0,5098078351.47,,8207.36,26.58,12.57,0.1671,34.8,0.4066
2006-03-22,66612556.0,3309160199.58,6.87,14.95,4.92,5085.29,1.0,2066055624.0,43625400.0,41589176.0,2167210598.72,,404708.0,3047018.0,375.17,30.82,,,85.76,5074463.0,958351.0,,404708.0,375.17,3047018.0,,1924868.0,128647.0,3260.47,11.34,,,28.92,28.92,107199752.0,5325439737.27,,8155.9,28.56,12.87,0.1544,32.54,0.4417
2006-03-29,61554956.0,3005388783.2,6.35,11.35,4.55,4851.7,1.0,1794133285.02,38436320.0,36746592.0,1876633377.75,,,955867.0,4.21,,71300.0,,461.58,20078.0,6261527.0,,,4.21,955867.0,5.67,523375.0,4933962.0,2975.98,337.79,30.98,,25.29,25.29,113523184.0,5542710546.76,406797.0,8834.39,25.2,14.34,0.134,27.73,0.4051
2006-04-05,59307544.0,2873169495.02,6.12,11.42,4.38,4692.19,1.0,1599149799.55,40448680.0,33009416.0,1959546891.53,,5820.0,2441460.0,118.31,0.46,,,239.03,1559992.0,3057139.0,,5820.0,118.31,2441460.0,,2622219.0,4242674.0,3134.35,330.58,,78.25,26.32,26.32,113211016.0,5484537307.28,,8825.05,26.21,16.5,0.116,21.77,0.386
