,NRJ FP Equity_DX_SI_QTY,NRJ FP Equity_DX_SHORT_INTEREST_VALUE,NRJ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,NRJ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,NRJ FP Equity_DX_SI_MV,NRJ FP Equity_DX_DSS,NRJ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,NRJ FP Equity_DX_SUPPLY_SI_QTY,NRJ FP Equity_DX_BROKER_SI_QTY,NRJ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,NRJ FP Equity_DX_BROKER_SI_MV_NEW_x,NRJ FP Equity_DX_SUPPLY_SI_QTY_NEW_x,NRJ FP Equity_DX_SUPPLY_SI_QTY_INC_x,NRJ FP Equity_DX_BROKER_SI_MV_INC_x,NRJ FP Equity_DX_SUPPLY_SI_MV_NEW,NRJ FP Equity_DX_BROKER_SI_QTY_ADD,NRJ FP Equity_DX_BROKER_SI_QTY_NEW,NRJ FP Equity_DX_SUPPLY_SI_MV_DEC,NRJ FP Equity_DX_BROKER_SI_QTY_INC,NRJ FP Equity_DX_SUPPLY_SI_QTY_DEC,NRJ FP Equity_DX_BROKER_SI_MV_NEW_y,NRJ FP Equity_DX_SUPPLY_SI_QTY_NEW_y,NRJ FP Equity_DX_BROKER_SI_MV_INC_y,NRJ FP Equity_DX_SUPPLY_SI_QTY_INC_y,NRJ FP Equity_DX_BROKER_SI_MV_ADD,NRJ FP Equity_DX_SUPPLY_SI_QTY_ADD,NRJ FP Equity_DX_BROKER_SI_QTY_DEC,NRJ FP Equity_DX_SUPPLY_SI_MV,NRJ FP Equity_DX_BROKER_SI_MV_DEC,NRJ FP Equity_DX_SUPPLY_SI_MV_RMV,NRJ FP Equity_DX_BROKER_SI_MV_RMV,NRJ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,NRJ FP Equity_DX_UTILIZATION_QUANTITY,NRJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,NRJ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,NRJ FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,NRJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,NRJ FP Equity_DX_ACTIVE_UTILIZATION_MV,NRJ FP Equity_DX_BROKER_SI_MARKET_SHARE_2,NRJ FP Equity_DX_BROKER_SI_CON_RATIO,NRJ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,NRJ FP Equity_DX_DEMAND_SUPPLY_RATIO
2008-01-11,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1000.0,35408.58,,0.04,0.0,,0.0,,0.0
2008-01-14,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1000.0,35531.38,,0.04,0.0,,0.0,,0.0
2008-01-15,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1000.0,33952.59,,0.04,0.0,,0.0,,0.0
2008-01-16,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1000.0,31926.49,,0.04,0.0,,0.0,,0.0
2008-01-17,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1000.0,32119.45,,0.04,0.0,,0.0,,0.0
2008-01-18,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1000.0,30698.55,,0.04,0.0,,0.0,,0.0
2008-01-21,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1000.0,28251.43,,0.04,0.0,,0.0,,0.0
2008-01-22,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1000.0,29330.27,,0.03,0.0,,0.0,,0.0
2008-01-23,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1000.0,28514.57,,0.03,0.0,,0.0,,0.0
2008-01-24,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1000.0,29084.68,,0.03,0.0,,0.0,,0.0
2008-01-25,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1000.0,30172.29,,0.03,0.0,,0.0,,0.0
2008-01-28,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1000.0,29119.77,,0.03,0.0,,0.0,,0.0
