,IDIP FP Equity_DX_SI_QTY,IDIP FP Equity_DX_SHORT_INTEREST_VALUE,IDIP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,IDIP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,IDIP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,IDIP FP Equity_DX_SI_MV,IDIP FP Equity_DX_DSS,IDIP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,IDIP FP Equity_DX_SUPPLY_SI_QTY,IDIP FP Equity_DX_BROKER_SI_QTY,IDIP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,IDIP FP Equity_DX_BROKER_SI_MV_NEW_x,IDIP FP Equity_DX_SUPPLY_SI_QTY_INC_x,IDIP FP Equity_DX_BROKER_SI_MV_INC_x,IDIP FP Equity_DX_BROKER_SI_QTY_ADD,IDIP FP Equity_DX_BROKER_SI_QTY_NEW,IDIP FP Equity_DX_SUPPLY_SI_MV_DEC,IDIP FP Equity_DX_BROKER_SI_QTY_INC,IDIP FP Equity_DX_SUPPLY_SI_QTY_DEC,IDIP FP Equity_DX_BROKER_SI_MV_NEW_y,IDIP FP Equity_DX_BROKER_SI_MV_INC_y,IDIP FP Equity_DX_SUPPLY_SI_QTY_INC_y,IDIP FP Equity_DX_BROKER_SI_MV_ADD,IDIP FP Equity_DX_SUPPLY_SI_QTY_ADD,IDIP FP Equity_DX_BROKER_SI_QTY_DEC,IDIP FP Equity_DX_SUPPLY_SI_MV,IDIP FP Equity_DX_BROKER_SI_MV_DEC,IDIP FP Equity_DX_BROKER_SI_MV_RMV,IDIP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,IDIP FP Equity_DX_UTILIZATION_QUANTITY,IDIP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,IDIP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,IDIP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,IDIP FP Equity_DX_ACTIVE_UTILIZATION_MV,IDIP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,IDIP FP Equity_DX_BROKER_SI_CON_RATIO,IDIP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,IDIP FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.41,0.0,,0.0,,0.0
2006-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.43,0.0,,0.0,,0.0
2006-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.43,0.0,,0.0,,0.0
2006-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14388.0,172838.07,0.43,0.0,,0.0,,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14591.0,176414.8,0.45,0.0,,0.0,,0.0
2006-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,19903.0,232877.78,0.6,0.0,,0.0,,0.0
2006-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20043.0,233734.15,0.6,0.0,,0.0,,0.0
2006-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20607.0,239186.11,0.62,0.0,,0.0,,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20643.0,247574.66,0.63,0.0,,0.0,,0.0
2006-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20626.0,248577.46,0.64,0.0,,0.0,,0.0
2006-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,20628.0,249406.1,0.64,0.0,,0.0,,0.0
