,ALODC FP Equity_DX_SI_QTY,ALODC FP Equity_DX_SHORT_INTEREST_VALUE,ALODC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALODC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALODC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALODC FP Equity_DX_SI_MV,ALODC FP Equity_DX_DSS,ALODC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALODC FP Equity_DX_SUPPLY_SI_QTY,ALODC FP Equity_DX_BROKER_SI_QTY,ALODC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALODC FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALODC FP Equity_DX_BROKER_SI_MV_INC_x,ALODC FP Equity_DX_BROKER_SI_QTY_ADD,ALODC FP Equity_DX_SUPPLY_SI_MV_DEC,ALODC FP Equity_DX_BROKER_SI_QTY_INC,ALODC FP Equity_DX_SUPPLY_SI_QTY_DEC,ALODC FP Equity_DX_BROKER_SI_MV_INC_y,ALODC FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALODC FP Equity_DX_BROKER_SI_MV_ADD,ALODC FP Equity_DX_SUPPLY_SI_QTY_ADD,ALODC FP Equity_DX_BROKER_SI_QTY_DEC,ALODC FP Equity_DX_SUPPLY_SI_MV,ALODC FP Equity_DX_BROKER_SI_MV_DEC,ALODC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALODC FP Equity_DX_UTILIZATION_QUANTITY,ALODC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALODC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALODC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALODC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALODC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALODC FP Equity_DX_BROKER_SI_CON_RATIO,ALODC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALODC FP Equity_DX_DEMAND_SUPPLY_RATIO,ALODC FP Equity_PX_LAST
2021-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2021-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2021-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2021-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.59
2021-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2021-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2021-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2021-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2021-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2021-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2021-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51
2021-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2021-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2021-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2021-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2021-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.55
2021-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.53
2021-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2021-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.57
2021-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63
2021-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64
2021-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.53
2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61
2021-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75
2021-07-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,239999.0,1852792.28,1.86,0.0,,0.0,,0.0,7.72
2021-07-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,239999.0,1859992.25,1.85,0.0,,0.0,,0.0,7.75
2021-07-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,239999.0,1888792.13,1.86,0.0,,0.0,,0.0,7.87
2021-07-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,239999.0,1883992.15,1.88,0.0,,0.0,,0.0,7.85
2021-07-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,239999.0,1895992.1,1.88,0.0,,0.0,,0.0,7.9
2021-07-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,239999.0,1862392.24,1.9,0.0,,0.0,,0.0,7.76
2021-07-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,239999.0,1859992.25,1.86,0.0,,0.0,,0.0,7.75
2021-08-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,239999.0,1910392.04,1.86,0.0,,0.0,,0.0,7.96
2021-08-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,239999.0,1936791.93,1.91,0.0,,0.0,,0.0,8.07
2021-08-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,239999.0,1965591.81,1.94,0.0,,0.0,,0.0,8.19
2021-08-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,239999.0,1967991.8,1.97,0.0,,0.0,,0.0,8.2
2021-08-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,239999.0,1977591.76,1.97,0.0,,0.0,,0.0,8.24
