,GGOV FP Equity_DX_SI_QTY,GGOV FP Equity_DX_SHORT_INTEREST_VALUE,GGOV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GGOV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GGOV FP Equity_DX_SI_MV,GGOV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GGOV FP Equity_DX_SUPPLY_SI_QTY,GGOV FP Equity_DX_BROKER_SI_QTY,GGOV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GGOV FP Equity_DX_SUPPLY_SI_QTY_INC_x,GGOV FP Equity_DX_BROKER_SI_QTY_ADD,GGOV FP Equity_DX_SUPPLY_SI_MV_DEC,GGOV FP Equity_DX_SUPPLY_SI_QTY_DEC,GGOV FP Equity_DX_SUPPLY_SI_QTY_INC_y,GGOV FP Equity_DX_BROKER_SI_MV_ADD,GGOV FP Equity_DX_SUPPLY_SI_QTY_ADD,GGOV FP Equity_DX_SUPPLY_SI_MV,GGOV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GGOV FP Equity_DX_UTILIZATION_QUANTITY,GGOV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GGOV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GGOV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GGOV FP Equity_DX_ACTIVE_UTILIZATION_MV,GGOV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GGOV FP Equity_DX_BROKER_SI_CON_RATIO,GGOV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GGOV FP Equity_DX_DEMAND_SUPPLY_RATIO,GGOV FP Equity_PX_LAST
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.602
2017-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.616
2017-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.636
2017-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.783
2017-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.778
2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.816
2017-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8
2017-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.89
2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.831
2017-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.925
2017-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.028
2017-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.923
2017-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.952
2017-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.061
2017-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.045
2017-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.051
2017-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.947
2017-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.947
2017-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.386
2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.251
2017-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.841
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.862
2017-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.815
2017-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.877
2017-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.898
2017-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.521
2017-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.459
2017-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.533
2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.376
2017-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.641
2017-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.637
2017-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.594
2017-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.606
2017-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.474
2017-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.684
2017-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.381
2017-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.432
2017-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.469
2017-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.263
2017-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.249
2017-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.248
2017-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.096
2017-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.053
2017-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.159
2017-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.998
2017-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.014
2017-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.223
2017-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.128
2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.217
2017-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.438
2017-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.535
2017-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.434
2017-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.397
2017-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.341
2017-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.385
2017-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.42
2017-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.549
2017-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.387
2017-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.433
2017-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.357
2017-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.371
2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.198
2017-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.968
2017-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.924
2017-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.046
2017-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.186
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.202
2017-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.12
2017-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.347
2017-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.325
2017-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.23
2017-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.199
2017-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.145
2017-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.958
2017-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.059
2017-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.075
2017-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.85
2017-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.777
2017-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.708
2017-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.671
2017-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.718
2017-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.669
2017-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.05
2017-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.199
2017-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.077
2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.923
2017-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.881
2017-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.044
2017-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.936
2017-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.946
2017-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.053
2017-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.966
2017-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.977
2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.878
2017-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.758
2017-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.81
2017-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.956
2017-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.108
2017-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.179
2017-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.999
2017-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.885
2017-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.813
2017-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.952
2017-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.755
2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.652
2017-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.931
2017-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.313
2017-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.376
2017-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.361
2017-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.453
2017-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.328
2017-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.47
2017-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.62
2017-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.754
2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.739
2017-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.46
2017-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.419
2017-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.258
2017-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.982
2017-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.004
2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.117
2017-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.132
2017-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.234
2017-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.31
2017-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.297
2017-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.197
2017-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.867
2017-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.98
2017-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.044
2017-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.958
2017-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.84
2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.05
2017-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.013
2017-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.12
2017-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.292
2017-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.239
2017-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.301
2017-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.194
2017-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.308
2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.29
2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.388
2017-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.401
2017-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.362
2017-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.02
2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.753
2017-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.75
2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.859
2017-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.84
2017-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.685
2017-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.549
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.362
2018-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.475
2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.345
2018-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.411
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.587
2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.65
2018-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.522
2018-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.193
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.946
2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.046
2018-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.041
2018-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.988
2018-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.993
2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.948
2018-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.95
2018-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.769
2018-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.535
2018-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.712
2018-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.685
2018-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.599
2018-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.457
2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.372
2018-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.183
2018-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.246
2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.544
2018-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.749
2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.705
2018-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.774
2018-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.683
2018-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.541
2018-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.434
2018-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.338
2018-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.571
2018-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.541
2018-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.577
2018-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.597
2018-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.637
2018-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.815
2018-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.821
2018-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.834
2018-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.984
2018-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.031
2018-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.861
2018-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.789
2018-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.601
2018-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.623
2018-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.865
2018-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.745
2018-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.903
2018-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.754
2018-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.917
2018-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.081
2018-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.146
2018-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.132
2018-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.189
2018-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.16
2018-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.271
2018-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.284
2018-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.07
2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.104
2018-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.297
2018-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.415
2018-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.447
2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.353
2018-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.328
2018-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.333
2018-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.197
2018-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.147
2018-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.151
2018-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.177
2018-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.201
2018-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.076
2018-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.192
2018-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.07
2018-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.95
2018-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.059
2018-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.975
2018-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.916
2018-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.987
2018-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.261
2018-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.309
2018-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.405
2018-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.539
2018-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.759
