,GGOV FP Equity_DX_SI_QTY,GGOV FP Equity_DX_SHORT_INTEREST_VALUE,GGOV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GGOV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GGOV FP Equity_DX_SI_MV,GGOV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GGOV FP Equity_DX_SUPPLY_SI_QTY,GGOV FP Equity_DX_BROKER_SI_QTY,GGOV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GGOV FP Equity_DX_SUPPLY_SI_QTY_INC_x,GGOV FP Equity_DX_BROKER_SI_QTY_ADD,GGOV FP Equity_DX_SUPPLY_SI_MV_DEC,GGOV FP Equity_DX_SUPPLY_SI_QTY_DEC,GGOV FP Equity_DX_SUPPLY_SI_QTY_INC_y,GGOV FP Equity_DX_BROKER_SI_MV_ADD,GGOV FP Equity_DX_SUPPLY_SI_QTY_ADD,GGOV FP Equity_DX_SUPPLY_SI_MV,GGOV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GGOV FP Equity_DX_UTILIZATION_QUANTITY,GGOV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GGOV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GGOV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GGOV FP Equity_DX_ACTIVE_UTILIZATION_MV,GGOV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GGOV FP Equity_DX_BROKER_SI_CON_RATIO,GGOV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GGOV FP Equity_DX_DEMAND_SUPPLY_RATIO,GGOV FP Equity_PX_LAST
2017-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0482
2017-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0977
2017-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0345
2017-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1637
2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9992
2017-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.954
2017-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0213
2017-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0389
2017-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1275
2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.352
2017-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.559
2017-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.534
2017-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.52
2017-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.506
2017-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.496
2017-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.328
2017-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.376
2017-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.621
2017-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.596
2017-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.75
2017-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.811
2017-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.916
2017-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.123
2017-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.981
2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.993
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.766
2017-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.76
2017-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.617
2017-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.532
2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.48
2017-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.491
2017-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.327
2017-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.908
2017-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.982
2017-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.094
2017-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.224
2017-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.104
2017-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.153
2017-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.181
2017-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.106
2017-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.371
2017-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.373
2017-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.361
2017-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.222
2017-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.32
2017-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.613
2017-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.69
2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.771
2017-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.053
2017-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.037
2017-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.031
2017-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.015
2017-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.218
2017-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.195
2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.352
2017-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.437
2017-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.474
2017-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.486
2017-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.387
2017-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.131
2017-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.412
2017-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.699
2017-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.292
2017-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.391
2017-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.438
2017-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.399
2017-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.297
2017-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.374
2017-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.038
2017-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.915
2017-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.054
2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.983
2017-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.11
2017-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.038
2017-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.03
2017-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.799
2017-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.61
2017-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.647
2017-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.885
2017-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.627
2017-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.492
2017-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.479
2017-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.526
2017-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.283
2017-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.697
2017-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.688
2017-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.768
2017-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.625
