,BSRIC FP Equity_PX_LAST
2023-03-07,0.01
2023-03-08,9.596
2023-03-09,9.598
2023-03-10,9.598
2023-03-13,9.723
2023-03-14,9.848
2023-03-15,9.654
2023-03-16,9.808
2023-03-17,9.816
2023-03-20,9.955
2023-03-21,9.876
2023-03-22,9.795
2023-03-23,9.837
2023-03-24,9.908
2023-03-27,9.87
2023-03-28,9.821
2023-03-29,9.801
2023-03-30,9.861
2023-03-31,9.776
2023-04-03,9.803
2023-04-04,9.846
2023-04-05,9.843
2023-04-06,9.89
2023-04-11,9.841
2023-04-12,9.822
2023-04-13,9.812
2023-04-14,9.777
2023-04-17,9.754
2023-04-18,9.73
2023-04-19,9.718
2023-04-20,9.745
2023-04-21,9.76
2023-04-24,9.746
2023-04-25,9.744
2023-04-26,9.822
2023-04-27,9.764
2023-04-28,9.748
2023-05-02,9.748
2023-05-03,9.869
2023-05-04,9.847
2023-05-05,9.867
2023-05-08,9.839
2023-05-09,9.819
2023-05-10,9.786
2023-05-11,9.846
2023-05-12,9.857
2023-05-15,9.836
2023-05-16,9.808
2023-05-17,9.796
2023-05-18,9.744
2023-05-19,9.768
2023-05-22,9.739
2023-05-23,9.74
2023-05-24,9.752
2023-05-25,9.727
2023-05-26,9.716
2023-05-29,9.756
2023-05-30,9.818
2023-05-31,9.858
2023-06-01,9.881
2023-06-02,9.859
2023-06-05,9.81
2023-06-06,9.833
2023-06-07,9.786
2023-06-08,9.797
2023-06-09,9.844
2023-06-12,9.82
2023-06-13,9.82
2023-06-14,9.807
2023-06-15,9.761
2023-06-16,9.801
2023-06-19,9.766
2023-06-20,9.835
2023-06-21,9.819
2023-06-22,9.789
2023-06-23,9.859
2023-06-26,9.878
2023-06-27,9.844
2023-06-28,9.876
2023-06-29,9.818
2023-06-30,9.811
2023-07-03,9.802
2023-07-04,9.788
2023-07-05,9.779
2023-07-06,9.699
2023-07-07,9.701
2023-07-10,9.705
2023-07-11,9.685
2023-07-12,9.764
2023-07-13,9.82
2023-07-14,9.811
2023-07-17,9.811
2023-07-18,9.902
2023-07-19,9.834
2023-07-20,9.809
2023-07-21,9.846
2023-07-24,9.864
2023-07-25,9.858
2023-07-26,9.822
2023-07-27,9.844
2023-07-28,9.836
2023-07-31,9.831
2023-08-01,9.801
2023-08-02,9.814
2023-08-03,9.789
2023-08-04,9.791
2023-08-07,9.79
2023-08-08,9.855
2023-08-09,9.838
2023-08-10,9.829
2023-08-11,9.769
2023-08-14,9.758
2023-08-15,9.733
2023-08-16,9.742
2023-08-17,9.729
2023-08-18,9.76
2023-08-21,9.712
2023-08-22,9.74
2023-08-23,9.833
2023-08-24,9.825
2023-08-25,9.815
2023-08-28,9.794
2023-08-29,9.837
2023-08-30,9.825
2023-08-31,9.856
2023-09-01,9.815
2023-09-04,9.799
2023-09-05,9.781
2023-09-06,9.755
2023-09-07,9.774
2023-09-08,9.791
2023-09-11,9.768
2023-09-12,9.766
2023-09-13,9.752
2023-09-14,9.789
2023-09-15,9.75
2023-09-18,9.721
2023-09-19,9.716
2023-09-20,9.732
2023-09-21,9.711
2023-09-22,9.709
2023-09-25,9.681
2023-09-26,9.673
2023-09-27,9.655
2023-09-28,9.584
2023-09-29,9.658
2023-10-02,9.622
2023-10-03,9.593
2023-10-04,9.598
2023-10-05,9.623
2023-10-06,9.618
2023-10-09,9.671
2023-10-10,9.681
2023-10-11,9.715
2023-10-12,9.685
2023-10-13,9.702
2023-10-16,9.681
2023-10-17,9.631
2023-10-18,9.643
2023-10-19,9.613
2023-10-20,9.647
2023-10-23,9.648
2023-10-24,9.656
2023-10-25,9.651
2023-10-26,9.674
2023-10-27,9.663
2023-10-30,9.706
2023-10-31,9.694
2023-11-01,9.736
2023-11-02,9.789
2023-11-03,9.807
2023-11-06,9.75
2023-11-07,9.823
2023-11-08,9.858
2023-11-09,9.839
2023-11-10,9.781
2023-11-13,9.807
2023-11-14,9.859
2023-11-15,9.829
2023-11-16,9.898
2023-11-17,9.872
2023-11-20,9.87
2023-11-21,9.926
2023-11-22,9.908
2023-11-23,9.865
2023-11-24,9.855
2023-11-27,9.905
2023-11-28,9.941
2023-11-29,10.012
2023-11-30,9.973
2023-12-01,10.072
2023-12-04,10.04
2023-12-05,10.112
2023-12-06,10.14
2023-12-07,10.15
2023-12-08,10.126
2023-12-11,10.122
2023-12-12,10.152
2023-12-13,10.19
2023-12-14,10.216
2023-12-15,10.278
2023-12-18,10.24
2023-12-19,10.324
2023-12-20,10.316
2023-12-21,10.366
2023-12-22,10.366
2023-12-27,10.414
2023-12-28,10.35
2023-12-29,10.312
2024-01-02,10.286
2024-01-03,10.324
2024-01-04,10.232
2024-01-05,10.206
2024-01-08,10.254
2024-01-09,10.18
2024-01-10,10.202
2024-01-11,10.202
2024-01-12,10.258
2024-01-15,10.22
2024-01-16,10.184
2024-01-17,10.144
2024-01-18,10.162
2024-01-19,10.17
2024-01-22,10.196
2024-01-23,10.164
2024-01-24,10.142
2024-01-25,10.184
2024-01-26,10.21
2024-01-29,10.248
2024-01-30,10.18
2024-01-31,10.288
2024-02-01,10.3
2024-02-02,10.232
2024-02-05,10.186
2024-02-06,10.184
2024-02-07,10.216
2024-02-08,10.16
2024-02-09,10.148
2024-02-12,10.162
2024-02-13,10.1
2024-02-14,10.134
2024-02-15,10.184
2024-02-16,10.114
2024-02-19,10.158
2024-02-20,10.154
2024-02-21,10.138
2024-02-22,10.154
2024-02-23,10.198
2024-02-26,10.152
2024-02-27,10.09
2024-02-28,10.142
2024-02-29,10.18
2024-03-01,10.15
2024-03-04,10.14
2024-03-05,10.19
2024-03-06,10.236
2024-03-07,10.226
2024-03-08,10.286
2024-03-11,10.262
2024-03-12,10.224
2024-03-13,10.234
2024-03-14,10.2
2024-03-15,10.172
2024-03-18,10.206
2024-03-19,10.206
2024-03-20,10.172
2024-03-21,10.236
2024-03-22,10.27
2024-03-25,10.242
2024-03-26,10.26
2024-03-27,10.29
2024-03-28,10.244
2024-04-02,10.216
2024-04-03,10.222
2024-04-04,10.208
2024-04-05,10.228
2024-04-08,10.182
2024-04-09,10.256
2024-04-10,10.222
2024-04-11,10.174
2024-04-12,10.214
2024-04-15,10.168
2024-04-16,10.13
2024-04-17,10.18
2024-04-18,10.142
2024-04-19,10.168
2024-04-22,10.156
2024-04-23,10.184
2024-04-24,10.132
2024-04-25,10.112
2024-04-26,10.112
2024-04-29,10.184
2024-04-30,10.158
2024-05-02,10.18
2024-05-03,10.224
2024-05-06,10.22
2024-05-07,10.238
2024-05-08,10.21
2024-05-09,10.186
2024-05-10,10.192
2024-05-13,10.222
2024-05-14,10.14
2024-05-15,10.258
2024-05-16,10.21
2024-05-17,10.192
2024-05-20,10.182
2024-05-21,10.214
2024-05-22,10.2
2024-05-23,10.13
2024-05-24,10.136
2024-05-27,10.2
2024-05-28,10.176
2024-05-29,10.14
2024-05-30,10.092
2024-05-31,10.152
2024-06-03,10.196
2024-06-04,10.19
2024-06-05,10.184
2024-06-06,10.174
2024-06-07,10.118
2024-06-10,10.122
2024-06-11,10.082
2024-06-12,10.14
2024-06-13,10.148
2024-06-14,10.26
2024-06-17,10.166
2024-06-18,10.22
2024-06-19,10.238
2024-06-20,10.206
2024-06-21,10.234
2024-06-24,10.232
2024-06-25,10.186
2024-06-26,10.16
2024-06-27,10.19
2024-06-28,10.15
2024-07-01,10.16
2024-07-02,10.108
2024-07-03,10.198
2024-07-04,10.188
2024-07-05,10.17
2024-07-08,10.242
2024-07-09,10.162
2024-07-10,10.244
2024-07-11,10.286
2024-07-12,10.274
2024-07-15,10.292
2024-07-16,10.332
2024-07-17,10.264
2024-07-18,10.346
2024-07-19,10.296
2024-07-22,10.284
2024-07-23,10.254
2024-07-24,10.25
2024-07-25,10.3
2024-07-26,10.306
2024-07-29,10.302
2024-07-30,10.314
2024-07-31,10.398
2024-08-01,10.424
2024-08-02,10.396
2024-08-05,10.434
2024-08-06,10.444
2024-08-07,10.408
2024-08-08,10.41
2024-08-09,10.384
2024-08-12,10.44
2024-08-13,10.414
2024-08-14,10.42
2024-08-15,10.41
2024-08-16,10.378
2024-08-19,10.438
2024-08-20,10.466
2024-08-21,10.422
2024-08-22,10.398
2024-08-23,10.472
2024-08-26,10.456
2024-08-27,10.43
2024-08-28,10.446
2024-08-29,10.384
2024-08-30,10.428
2024-09-02,10.412
2024-09-03,10.448
2024-09-04,10.474
2024-09-05,10.444
2024-09-06,10.512
2024-09-09,10.52
2024-09-10,10.534
2024-09-11,10.568
2024-09-12,10.474
2024-09-13,10.484
2024-09-16,10.558
2024-09-17,10.488
2024-09-18,10.512
2024-09-19,10.46
2024-09-20,10.504
2024-09-23,10.528
2024-09-24,10.5
2024-09-25,10.524
2024-09-26,10.484
2024-09-27,10.506
2024-09-30,10.51
2024-10-01,10.622
2024-10-02,10.536
2024-10-03,10.566
2024-10-04,10.534
2024-10-07,10.524
2024-10-08,10.51
2024-10-09,10.45
2024-10-10,10.458
2024-10-11,10.45
2024-10-14,10.462
2024-10-15,10.546
2024-10-16,10.58
2024-10-17,10.548
2024-10-18,10.542
2024-10-21,10.548
2024-10-22,10.456
2024-10-23,10.466
2024-10-24,10.568
2024-10-25,10.48
2024-10-28,10.492
2024-10-29,10.516
2024-10-30,10.464
2024-10-31,10.488
2024-11-01,10.452
2024-11-04,10.486
2024-11-05,10.454
2024-11-06,10.46
2024-11-07,10.446
2024-11-08,10.49
2024-11-11,10.514
2024-11-12,10.516
2024-11-13,10.478
2024-11-14,10.54
2024-11-15,10.532
2024-11-18,10.52
2024-11-19,10.486
2024-11-20,10.496
2024-11-21,10.532
2024-11-22,10.572
2024-11-25,10.592
2024-11-26,10.562
2024-11-27,10.598
2024-11-28,10.668
2024-11-29,10.646
2024-12-02,10.702
2024-12-03,10.706
2024-12-04,10.682
2024-12-05,10.7
2024-12-06,10.706
2024-12-09,10.726
2024-12-10,10.708
2024-12-11,10.666
2024-12-12,10.62
2024-12-13,10.618
2024-12-16,10.588
2024-12-17,10.622
2024-12-18,10.614
2024-12-19,10.546
2024-12-20,10.56
2024-12-23,10.566
2024-12-24,10.564
2024-12-27,10.56
2024-12-30,10.554
2024-12-31,10.54
2025-01-02,10.542
2025-01-03,10.506
2025-01-06,10.522
2025-01-07,10.454
2025-01-08,10.458
2025-01-09,10.464
2025-01-10,10.444
2025-01-13,10.402
2025-01-14,10.406
2025-01-15,10.474
2025-01-16,10.45
2025-01-17,10.452
2025-01-20,10.51
2025-01-21,10.474
2025-01-22,10.468
2025-01-23,10.456
2025-01-24,10.474
2025-01-27,10.512
2025-01-28,10.45
2025-01-29,10.446
2025-01-30,10.498
2025-01-31,10.5
2025-02-03,10.602
2025-02-04,10.54
2025-02-05,10.596
2025-02-06,10.626
2025-02-07,10.588
2025-02-10,10.63
2025-02-11,10.548
2025-02-12,10.544
2025-02-13,10.57
2025-02-14,10.578
2025-02-17,10.532
2025-02-18,10.564
2025-02-19,10.528
2025-02-20,10.508
2025-02-21,10.554
2025-02-24,10.526
2025-02-25,10.576
2025-02-26,10.59
2025-02-27,10.586
2025-02-28,10.612
2025-03-03,10.556
2025-03-04,10.558
2025-03-05,10.404
2025-03-06,10.354
2025-03-07,10.364
2025-03-10,10.39
2025-03-11,10.356
2025-03-12,10.36
2025-03-13,10.368
2025-03-14,10.326
2025-03-17,10.402
2025-03-18,10.38
2025-03-19,10.424
2025-03-20,10.43
2025-03-21,10.424
2025-03-24,10.416
2025-03-25,10.41
2025-03-26,10.41
