,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_x,MC FP Equity_y,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity,MC FP Equity
,DX_SI_QTY,DX_SHORT_INTEREST_VALUE,DX_SHORT_INTEREST_PCT_FREE_FLOAT,DX_SHORT_INT_RATIO_DAYS_TO_COVER,DX_SHORT_INTEREST_PCT_SHARES_OUT,DX_SI_MV,DX_DSS,DX_BROKER_SHORT_INTEREST_VALUE,DX_SUPPLY_SI_QTY,DX_BROKER_SI_QTY,DX_SUPPLY_SIDE_SHORT_INT_VAL,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_MV_NEW,DX_BROKER_SI_QTY_ADD,DX_BROKER_SI_QTY_NEW,DX_SUPPLY_SI_MV_DEC,DX_BROKER_SI_QTY_INC,DX_SUPPLY_SI_QTY_DEC,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_ADD,DX_SUPPLY_SI_QTY_ADD,DX_BROKER_SI_QTY_DEC,DX_SUPPLY_SI_MV,DX_BROKER_SI_MV_DEC,DX_SUPPLY_SI_MV_RMV,DX_BROKER_SI_MV_RMV,DX_ACTIVE_UTILIZATION_QUANTITY,DX_UTILIZATION_QUANTITY,DX_ACTIVE_AVAIL_SUPPLY_QTY,DX_ACTIVE_AVAILABILITY_VALUE,DX_SUPPLY_SI_QTY_MV_RMV,DX_ACTIVE_AVAIL_SUPPLY_MV,DX_ACTIVE_UTILIZATION_MV,DX_BROKER_SI_MARKET_SHARE_2,DX_BROKER_SI_CON_RATIO,DX_BROKER_SI_MARKET_SHARE_1,DX_DEMAND_SUPPLY_RATIO
2006-01-04,22397616.0,1341780373.05,9.45,22.8,4.57,1718.49,1.0,948743351.1,11241631.0,15836861.0,673455596.2,357.49,,198721.0,14.4,,,4636774.0,127.85,179168.0,1802062.0,357.49,,14.4,198721.0,,34643.0,2700474.0,859.92,193.53,,,30.49,30.49,25629008.0,1535364295.7,,1967.5,30.41,14.38,0.1195,21.21,0.6075
2006-01-11,25139386.0,1507007149.06,10.61,24.71,5.13,1944.08,2.0,1084736429.91,11735200.0,18095208.0,703479006.83,,,654668.0,225.74,,,,11.43,2833120.0,161099.0,,,225.74,654668.0,,,574771.0,905.3,42.01,,,31.51,31.51,25505252.0,1528939374.35,,1970.86,31.48,17.82,0.1151,19.47,0.6751
2006-01-18,23495196.0,1375647541.15,9.91,24.13,4.8,1801.94,1.0,968821047.27,12261569.0,16546855.0,717916856.09,,,572666.0,25.88,,28000.0,,12.21,334581.0,141816.0,,,25.88,572666.0,2.16,142919.0,1910935.0,936.18,152.13,3.15,,32.35,32.35,25638100.0,1501114918.34,47400.0,1953.98,32.39,13.84,0.1111,20.79,0.6199
2006-01-25,23143864.0,1312001700.28,9.76,20.73,4.72,1709.25,1.0,859393600.99,12996697.0,15159804.0,736769303.6,,1009512.0,1081870.0,0.0,73.61,,,37.76,133979.0,425293.0,,1009512.0,0.0,1081870.0,,26625.0,1521030.0,956.3,143.68,73.23,,33.84,33.84,25406324.0,1440258216.42,957586.0,1869.87,33.84,15.62,0.1221,21.69,0.6027
2006-02-01,23512664.0,1376670295.39,9.92,18.78,4.8,1778.83,1.0,914389010.55,12631551.0,15617190.0,739579362.27,,254000.0,595989.0,82.57,19.16,,,68.36,997698.0,1081653.0,,254000.0,82.57,595989.0,,135097.0,540312.0,950.61,22.78,19.82,,33.96,33.96,24568940.0,1438515426.72,268579.0,1850.92,33.93,19.18,0.1243,19.63,0.6321
2006-02-08,20316930.0,1172228219.53,8.57,14.91,4.15,1529.46,1.0,730529927.57,12353403.0,12661464.0,712755697.04,,,296513.0,35.35,,679409.0,,42.24,541556.0,575792.0,,,35.35,296513.0,51.21,1130.0,4176690.0,926.9,317.12,,,33.15,33.15,24917380.0,1437660906.1,,1865.61,33.19,15.06,0.1258,25.42,0.5451
2006-02-15,20715648.0,1207281818.04,8.74,14.59,4.23,1576.11,1.0,756839917.14,12255212.0,12986553.0,714218286.77,259.57,4500.0,362202.0,167.53,0.27,,3452640.0,38.62,2149268.0,579167.0,259.57,4500.0,167.53,362202.0,,114275.0,389868.0,928.54,27.78,,363.94,32.81,32.81,25099652.0,1462776037.65,,1898.09,32.85,17.62,0.124,22.5,0.5546
2006-02-22,21579954.0,1283592086.18,9.1,15.06,4.4,1649.98,1.0,785001744.82,12660238.0,13197574.0,753040590.63,,,447221.0,159.57,,,,15.26,2101802.0,231707.0,,,159.57,447221.0,,189512.0,1890781.0,964.11,137.71,,,35.42,35.42,23082814.0,1372983342.65,,1757.8,35.42,14.69,0.1085,21.37,0.6037
2006-03-01,20106866.0,1193632763.24,8.48,13.25,4.1,1552.09,1.0,697689500.12,12767425.0,11752651.0,757930986.47,,64189.0,268731.0,13.99,4.95,,,27.81,112824.0,377664.0,,64189.0,13.99,268731.0,,228031.0,1557747.0,982.91,119.0,5.03,,33.9,33.89,24900064.0,1478178259.96,76100.0,1913.87,33.93,15.94,0.1163,23.3,0.5337
2006-03-08,23148834.0,1406530887.44,9.77,14.56,4.72,1837.33,1.0,883828933.6,13071608.0,14546150.0,794235269.06,,,286652.0,230.51,,75000.0,,20.31,2733601.0,283469.0,,,230.51,286652.0,5.86,301001.0,15102.0,1037.73,0.0,,,33.76,33.76,25648112.0,1558387853.68,,2030.82,33.82,20.54,0.126,20.87,0.5978
2006-03-15,22996106.0,1440943044.25,9.7,15.45,4.69,1845.37,1.0,923412150.33,13270602.0,14736796.0,831539985.29,,,322325.0,28.59,,,,44.29,279136.0,584588.0,,,28.59,322325.0,,461256.0,88490.0,1068.79,6.35,,,34.6,34.6,25080610.0,1571558703.25,,2018.78,34.62,19.79,0.1249,20.97,0.5996
2006-03-22,24135288.0,1517003759.19,10.18,16.53,4.93,1949.65,1.0,999096496.22,13231061.0,15895466.0,831627502.23,,,214546.0,117.81,,,,19.44,1382348.0,289896.0,,,117.81,214546.0,,35809.0,223678.0,1070.68,15.21,,,34.53,34.53,25082336.0,1576529685.55,,2028.04,34.55,18.88,0.116,19.46,0.6299
2006-03-29,25017358.0,1568565360.16,10.55,17.3,5.11,2014.13,2.0,1048726588.4,13730019.0,16726347.0,860859575.89,,,399761.0,82.45,,,,55.58,1031619.0,674495.0,,,82.45,399761.0,,778219.0,200737.0,1108.71,20.07,0.37,,35.62,35.62,24815920.0,1555935382.65,4527.0,2000.85,35.65,18.67,0.1241,22.54,0.649
2006-04-05,24359260.0,1539582095.84,10.28,17.14,4.97,1970.11,1.0,965364995.98,14921174.0,15274000.0,943065279.46,,,458515.0,68.93,,129000.0,,31.58,840699.0,403942.0,,,68.93,458515.0,10.49,1136582.0,2221746.0,1211.01,175.37,,15.49,38.36,38.36,23976110.0,1515365806.84,,1944.23,38.38,17.13,0.1091,18.88,0.6262
2006-04-12,27897288.0,1710192558.98,11.77,20.89,5.69,2224.72,2.0,1090597852.7,16427374.0,17790232.0,1007050318.95,17.02,3654.0,557623.0,213.54,0.29,,209039.0,39.74,2815386.0,400256.0,17.02,3654.0,213.54,557623.0,,1552282.0,508192.0,1305.72,42.62,16.76,,45.95,45.94,19325830.0,1184734898.32,207103.0,1533.72,45.99,15.54,0.1102,21.46,0.7802
2006-04-19,25825554.0,1639266193.93,10.9,22.6,5.27,2093.65,2.0,1005186432.5,16249448.0,15836047.0,1031426887.36,,,589011.0,17.17,,,,90.22,132632.0,1254316.0,,,17.17,589011.0,,487378.0,2086819.0,1312.62,161.18,,,45.75,45.75,19265780.0,1222887294.26,,1556.18,45.75,12.78,0.111,23.46,0.7271
2006-04-26,29637942.0,1960551375.32,12.5,23.14,6.05,2524.23,2.0,1181781774.62,17573420.0,17865168.0,1162482629.53,,,989529.0,207.45,,1160122.0,,8.78,1975866.0,148769.0,,,207.45,989529.0,98.31,483211.0,1106867.0,1495.12,80.05,,,48.66,48.66,18540376.0,1226446818.27,,1578.64,48.64,14.29,0.1068,21.44,0.8206
