,MLCLP FP Equity_PX_LAST
2010-12-01,19.0
2010-12-03,19.0
2010-12-06,19.0
2010-12-07,19.0
2010-12-16,19.0
2010-12-17,19.0
2011-01-03,19.0
2011-01-04,19.0
2011-01-05,19.0
2011-01-06,19.0
2011-01-07,19.0
2011-01-11,19.0
2011-01-12,19.0
2011-01-13,19.0
2011-01-14,19.0
2011-01-17,19.0
2011-01-19,19.0
2011-02-01,19.0
2011-02-02,19.0
2011-02-03,19.0
2011-02-04,19.0
2011-02-07,19.0
2011-02-08,19.0
2011-02-09,19.0
2011-02-10,19.0
2011-02-25,19.0
2011-02-28,19.0
2011-03-01,19.0
2011-03-02,19.0
2011-03-03,19.0
2011-03-04,19.0
2011-03-07,19.0
2011-03-08,19.0
2011-03-09,19.0
2011-03-10,19.0
2011-03-11,19.0
2011-03-14,19.0
2011-03-15,19.0
2011-03-16,19.0
2011-03-17,19.0
2011-03-18,19.0
2011-03-21,19.0
2011-03-22,19.0
2011-03-23,19.0
2011-03-24,19.0
2011-03-25,19.0
2011-03-28,19.0
2011-03-29,19.0
2011-03-30,19.0
2011-03-31,19.0
2011-04-01,19.0
2011-04-06,19.0
2011-04-12,19.0
2011-04-15,19.0
2011-04-19,19.0
2011-04-21,19.0
2011-04-26,19.0
2011-04-29,19.0
2011-05-03,19.0
2011-05-06,18.79
2011-05-13,18.79
2011-05-17,18.79
2011-05-20,18.79
2011-05-24,18.79
2011-05-27,18.79
2011-05-31,18.79
2011-06-03,18.74
2011-06-09,18.74
2011-06-10,18.74
2011-06-14,18.74
2011-06-17,18.74
2011-06-22,18.74
2011-06-24,18.74
2011-06-28,18.74
2011-07-01,18.74
2011-07-05,18.74
2011-07-07,20.0
2011-07-08,21.0
2011-07-13,22.0
2011-07-15,22.0
2011-07-18,24.0
2011-07-19,23.99
2011-07-22,23.99
2011-07-26,23.99
2011-07-29,23.99
2011-08-02,23.98
2011-08-05,23.9
2011-08-16,23.9
2011-08-19,23.89
2011-08-23,23.89
2011-08-26,23.89
2011-09-02,26.2
2011-09-06,26.2
2011-09-09,26.2
2011-09-13,26.2
2011-09-16,26.21
2011-09-19,26.21
2011-09-20,26.21
2011-09-23,26.21
2011-09-27,26.21
2011-09-30,26.21
2011-10-04,26.21
2011-10-06,26.0
2011-10-07,26.0
2011-10-11,25.99
2011-10-24,15.37
2011-11-01,26.25
2011-11-04,26.24
2011-11-09,26.24
2011-11-15,26.24
2011-11-22,26.24
2011-11-29,26.24
2011-12-02,26.25
2011-12-06,26.25
2011-12-09,26.26
2011-12-13,26.27
2011-12-16,26.27
2011-12-20,26.27
2011-12-23,26.27
2011-12-27,26.27
2011-12-30,26.27
2012-01-04,26.27
2012-01-09,26.27
2012-01-13,26.27
2012-01-20,26.27
2012-01-25,26.28
2012-02-01,26.28
2012-02-03,26.29
2012-02-07,26.29
2012-02-10,26.29
2012-02-14,26.29
2012-02-17,26.29
2012-02-21,26.29
2012-02-24,26.29
2012-02-29,26.29
2012-03-02,26.3
2012-03-06,26.3
2012-03-09,26.3
2012-03-13,26.3
2012-03-16,26.3
2012-03-27,26.3
2012-03-30,26.3
2012-04-03,26.3
2012-04-10,26.3
2012-04-13,26.29
2012-04-17,26.28
2012-04-20,26.28
2012-04-24,26.28
2012-04-25,26.27
2012-04-27,26.26
2012-05-04,26.24
2012-05-11,26.24
2012-05-15,26.24
2012-05-18,26.24
2012-05-22,26.24
2012-05-25,26.23
2012-05-29,26.23
2012-06-19,24.99
2012-12-20,22.5
2012-12-31,22.49
2013-10-10,14.77
2013-10-22,7.09
2013-10-29,4.68
2013-11-08,2.49
2013-11-18,3.6
2013-11-22,2.92
2013-12-06,2.63
2013-12-23,2.37
2013-12-30,1.93
2014-01-09,1.2
2014-04-24,1.2
2014-11-17,1.17
2014-11-28,0.73
2014-12-01,0.8
2014-12-03,0.96
2014-12-04,1.05
2014-12-15,1.15
2015-07-13,0.37
2015-07-20,0.5
2015-07-22,0.55
2015-07-27,0.66
2015-07-30,0.72
2015-08-03,0.86
2015-08-05,0.93
2015-08-07,1.12
2015-08-10,1.23
2015-08-24,0.9
2015-08-25,0.99
2015-08-26,1.08
2015-08-27,0.98
2015-08-28,0.89
2015-09-08,0.88
2015-09-11,0.88
2015-09-14,0.88
2015-09-16,0.8
2015-10-26,0.59
2015-10-27,0.64
2015-11-13,1.08
2015-12-10,0.73
2015-12-18,0.5
2015-12-22,0.5
2016-03-03,0.94
2016-03-23,0.85
2016-03-24,0.93
2016-03-30,1.02
2016-03-31,1.1
2016-04-01,1.21
2016-04-05,1.21
2016-04-15,1.46
2016-04-29,0.54
2016-05-02,0.59
2016-05-09,0.7
2016-05-11,0.84
2016-05-18,1.34
2016-06-09,0.99
2016-10-14,0.62
2016-10-26,0.66
2016-10-28,0.79
2016-10-31,0.8
2016-11-03,0.8
2016-11-04,0.8
2016-11-07,0.8
2016-11-08,0.8
2016-11-09,0.8
2016-11-10,0.8
2016-11-16,0.8
2016-11-28,0.8
2016-12-06,0.8
2016-12-08,0.8
2016-12-09,0.8
2016-12-12,0.8
2016-12-14,0.8
2016-12-16,0.8
2017-01-04,0.73
2017-01-11,0.67
2017-01-16,0.61
2017-01-25,1.0
2017-02-03,0.9
2017-02-10,0.9
2017-02-14,0.9
2017-02-15,0.9
2017-02-27,0.8
2017-03-09,0.72
2017-03-10,0.65
2017-03-16,0.85
2017-03-17,0.93
2017-03-24,0.69
2017-04-06,1.17
2017-04-11,1.0
2017-04-19,1.21
2017-04-20,1.3
2017-04-27,1.4
2017-05-02,1.14
2017-05-03,1.03
2017-05-09,1.23
2017-05-18,1.32
2017-05-19,1.19
2017-05-24,1.32
2017-06-06,1.35
2017-06-19,1.23
2017-06-21,1.59
2017-06-22,1.3
2017-06-26,1.29
2017-06-27,1.22
2017-06-30,1.6
2017-07-03,1.61
2017-07-11,1.21
2017-07-31,1.21
2017-08-01,1.22
2017-08-04,1.34
2017-08-07,1.21
2017-08-10,1.22
2017-08-17,1.22
2017-08-21,1.22
2017-09-12,1.54
2017-09-13,1.61
2017-09-18,1.47
2017-09-19,1.48
2017-09-26,1.6
2017-09-27,1.46
2017-10-04,1.88
2017-10-05,1.7
2017-10-06,1.46
2017-10-09,1.45
2017-10-17,1.88
2017-10-18,1.7
2017-10-20,1.7
2017-10-25,2.25
2017-10-27,2.99
2017-11-03,2.4
2017-11-07,2.4
2017-11-13,2.41
2017-11-14,2.58
2017-11-15,2.4
2017-11-23,1.7
2017-12-01,1.69
2017-12-06,2.21
2017-12-14,3.85
2017-12-18,5.11
2017-12-21,3.69
2017-12-27,4.1
2017-12-29,6.0
2018-01-02,7.2
2018-01-03,7.9
2018-01-04,8.65
2018-01-05,8.95
2018-01-08,8.95
2018-01-11,6.45
2018-01-12,5.85
2018-01-15,5.85
2018-01-24,5.55
2018-02-02,2.72
2018-02-07,2.74
2018-02-12,2.74
2018-02-13,2.74
2018-02-22,4.5
2018-02-23,4.3
2018-03-06,4.5
2018-03-08,4.4
2018-03-09,4.4
2018-03-12,4.0
2018-03-13,4.38
2018-03-29,3.14
2018-04-09,3.66
2018-04-10,4.02
2018-04-11,5.2
2018-04-16,4.6
2018-04-19,6.7
2018-04-27,6.3
2018-04-30,6.0
2018-05-02,7.25
2018-05-03,7.95
2018-05-04,8.0
2018-05-08,8.0
2018-05-09,8.9
2018-05-14,8.85
2018-05-18,7.8
2018-05-22,6.35
2018-05-23,6.3
2018-05-25,7.0
2018-05-30,7.0
2018-05-31,6.5
2018-06-01,6.0
2018-06-05,6.7
2018-06-08,6.75
2018-06-12,6.0
2018-06-14,6.55
2018-06-15,6.0
2018-06-18,5.55
2018-06-20,5.55
2018-06-26,4.5
2018-06-27,4.5
2018-06-28,4.2
2018-07-03,4.2
2018-07-04,4.5
2018-07-05,3.66
2018-07-10,3.6
2018-07-23,4.76
2018-07-24,4.76
2018-07-25,4.0
2018-07-26,4.0
2018-08-01,4.76
2018-08-14,3.12
2018-08-15,3.12
2018-08-16,3.42
2018-08-17,3.76
2018-08-28,4.12
2018-08-29,3.36
2018-08-30,3.02
2018-08-31,3.64
2018-09-04,3.64
2018-09-05,3.96
2018-09-06,3.9
2018-09-07,3.9
2018-09-11,3.46
2018-09-12,3.8
2018-09-13,4.58
2018-09-14,5.0
2018-09-19,4.8
2018-09-24,3.24
2018-09-25,3.28
2018-09-27,3.74
2018-09-28,4.04
2018-10-10,3.28
2018-10-12,3.18
2018-10-15,2.92
2018-10-16,3.2
2018-10-17,3.22
2018-10-18,3.54
2018-10-22,4.06
2018-10-24,3.82
2018-10-30,3.4
2018-11-01,3.74
2018-11-02,4.32
2018-11-05,4.74
2018-11-15,5.15
2018-11-16,5.65
2018-11-19,6.05
2018-11-20,6.0
2018-11-27,5.1
2018-11-28,5.95
2018-12-05,3.92
2018-12-07,5.0
2018-12-11,4.0
2018-12-12,4.4
2018-12-17,4.4
2018-12-18,4.82
2018-12-19,5.0
2018-12-27,5.0
2019-01-02,5.0
2019-01-07,3.64
2019-01-08,4.0
2019-01-09,4.4
2019-01-10,5.3
2019-01-14,4.76
2019-01-15,5.7
2019-01-16,5.6
2019-01-18,5.95
2019-01-29,5.4
2019-01-31,5.4
2019-02-11,3.58
2019-02-12,3.6
2019-02-13,3.58
2019-02-15,4.28
2019-02-18,4.26
2019-02-21,4.68
2019-02-25,5.1
2019-03-01,4.98
2019-03-08,4.06
2019-03-11,3.6
2019-03-12,3.6
2019-03-13,4.34
2019-03-25,4.2
2019-03-29,4.2
2019-04-03,3.76
2019-04-05,3.4
2019-04-08,3.4
2019-04-15,3.4
2019-04-16,3.4
2019-04-23,4.1
2019-04-24,4.5
2019-04-25,4.94
2019-04-26,4.9
2019-05-10,4.02
2019-05-13,4.42
2019-05-15,4.8
2019-05-16,4.6
2019-05-20,4.96
2019-05-27,4.0
