,EVAE FP Equity_DX_SI_QTY,EVAE FP Equity_DX_SHORT_INTEREST_VALUE,EVAE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EVAE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EVAE FP Equity_DX_SI_MV,EVAE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EVAE FP Equity_DX_SUPPLY_SI_QTY,EVAE FP Equity_DX_BROKER_SI_QTY,EVAE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EVAE FP Equity_DX_BROKER_SI_MV_NEW_x,EVAE FP Equity_DX_SUPPLY_SI_QTY_INC_x,EVAE FP Equity_DX_BROKER_SI_MV_INC_x,EVAE FP Equity_DX_BROKER_SI_QTY_ADD,EVAE FP Equity_DX_BROKER_SI_QTY_NEW,EVAE FP Equity_DX_SUPPLY_SI_MV_DEC,EVAE FP Equity_DX_BROKER_SI_QTY_INC,EVAE FP Equity_DX_SUPPLY_SI_QTY_DEC,EVAE FP Equity_DX_BROKER_SI_MV_NEW_y,EVAE FP Equity_DX_BROKER_SI_MV_INC_y,EVAE FP Equity_DX_SUPPLY_SI_QTY_INC_y,EVAE FP Equity_DX_BROKER_SI_MV_ADD,EVAE FP Equity_DX_SUPPLY_SI_QTY_ADD,EVAE FP Equity_DX_BROKER_SI_QTY_DEC,EVAE FP Equity_DX_SUPPLY_SI_MV,EVAE FP Equity_DX_BROKER_SI_MV_DEC,EVAE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EVAE FP Equity_DX_UTILIZATION_QUANTITY,EVAE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EVAE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EVAE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EVAE FP Equity_DX_ACTIVE_UTILIZATION_MV,EVAE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EVAE FP Equity_DX_BROKER_SI_CON_RATIO,EVAE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EVAE FP Equity_DX_DEMAND_SUPPLY_RATIO,EVAE FP Equity_PX_LAST
2016-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.083
2016-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.074
2016-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.009
2016-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.041
2016-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.736
2016-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.264
2016-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.567
2016-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.922
2016-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.664
2016-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.095
2016-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.368
2016-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.452
2016-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.871
2016-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.636
2016-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.292
2016-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.347
2016-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.014
2016-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.01
2016-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.024
2016-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.481
2016-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.25
2016-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.933
2016-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.765
2016-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.645
2016-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.375
2016-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.694
2016-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.094
2016-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.966
2016-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.069
2016-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.826
2016-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.199
2016-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.493
2016-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.656
2016-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.921
2016-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.22
2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.584
2016-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.78
2016-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.783
2016-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.523
2016-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.023
2016-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.508
2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.61
2016-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.278
2016-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.113
2016-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.848
2016-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.844
2016-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.905
2016-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.827
2016-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.759
2016-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.602
2016-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.832
2016-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.055
2016-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.23
2016-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.32
2016-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.828
