,SRIC5 FP Equity_DX_SI_QTY,SRIC5 FP Equity_DX_SHORT_INTEREST_VALUE,SRIC5 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SRIC5 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SRIC5 FP Equity_DX_SI_MV,SRIC5 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SRIC5 FP Equity_DX_SUPPLY_SI_QTY,SRIC5 FP Equity_DX_BROKER_SI_QTY,SRIC5 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SRIC5 FP Equity_DX_SUPPLY_SI_QTY_INC_x,SRIC5 FP Equity_DX_BROKER_SI_MV_INC_x,SRIC5 FP Equity_DX_BROKER_SI_QTY_ADD,SRIC5 FP Equity_DX_SUPPLY_SI_MV_DEC,SRIC5 FP Equity_DX_BROKER_SI_QTY_INC,SRIC5 FP Equity_DX_SUPPLY_SI_QTY_DEC,SRIC5 FP Equity_DX_BROKER_SI_MV_INC_y,SRIC5 FP Equity_DX_SUPPLY_SI_QTY_INC_y,SRIC5 FP Equity_DX_BROKER_SI_MV_ADD,SRIC5 FP Equity_DX_SUPPLY_SI_QTY_ADD,SRIC5 FP Equity_DX_BROKER_SI_QTY_DEC,SRIC5 FP Equity_DX_SUPPLY_SI_MV,SRIC5 FP Equity_DX_BROKER_SI_MV_DEC,SRIC5 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SRIC5 FP Equity_DX_UTILIZATION_QUANTITY,SRIC5 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SRIC5 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SRIC5 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SRIC5 FP Equity_DX_ACTIVE_UTILIZATION_MV,SRIC5 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SRIC5 FP Equity_DX_BROKER_SI_CON_RATIO,SRIC5 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SRIC5 FP Equity_DX_DEMAND_SUPPLY_RATIO,SRIC5 FP Equity_PX_LAST
2019-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9728
2019-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9646
2019-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9648
2019-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9632
2019-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9531
2019-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9428
2019-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9613
2019-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9655
2019-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9768
2019-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9725
2019-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9745
2019-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9713
2019-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9613
2019-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9701
2019-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9691
2019-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.973
2019-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9781
2019-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9857
2019-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9909
2019-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9963
2019-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9885
2019-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0015
2019-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0027
2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0093
