,MTA FP Equity_DX_SI_QTY,MTA FP Equity_DX_SHORT_INTEREST_VALUE,MTA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MTA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MTA FP Equity_DX_SI_MV,MTA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MTA FP Equity_DX_SUPPLY_SI_QTY,MTA FP Equity_DX_BROKER_SI_QTY,MTA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MTA FP Equity_DX_BROKER_SI_MV_NEW_x,MTA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MTA FP Equity_DX_SUPPLY_SI_QTY_INC_x,MTA FP Equity_DX_BROKER_SI_MV_INC_x,MTA FP Equity_DX_SUPPLY_SI_MV_NEW,MTA FP Equity_DX_BROKER_SI_QTY_ADD,MTA FP Equity_DX_BROKER_SI_QTY_NEW,MTA FP Equity_DX_SUPPLY_SI_MV_DEC,MTA FP Equity_DX_BROKER_SI_QTY_INC,MTA FP Equity_DX_SUPPLY_SI_QTY_DEC,MTA FP Equity_DX_BROKER_SI_MV_NEW_y,MTA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MTA FP Equity_DX_BROKER_SI_MV_INC_y,MTA FP Equity_DX_SUPPLY_SI_QTY_INC_y,MTA FP Equity_DX_BROKER_SI_MV_ADD,MTA FP Equity_DX_SUPPLY_SI_QTY_ADD,MTA FP Equity_DX_BROKER_SI_QTY_DEC,MTA FP Equity_DX_SUPPLY_SI_MV,MTA FP Equity_DX_BROKER_SI_MV_DEC,MTA FP Equity_DX_SUPPLY_SI_MV_RMV,MTA FP Equity_DX_BROKER_SI_MV_RMV,MTA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MTA FP Equity_DX_UTILIZATION_QUANTITY,MTA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MTA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MTA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MTA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MTA FP Equity_DX_ACTIVE_UTILIZATION_MV,MTA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MTA FP Equity_DX_BROKER_SI_CON_RATIO,MTA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MTA FP Equity_DX_DEMAND_SUPPLY_RATIO
2016-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,62145.0,7864449.94,,7.88,0.0,,0.0,,0.0
2016-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,62145.0,7869110.63,,7.89,0.0,,0.0,,0.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,62103.0,7867829.22,,7.87,0.0,,0.0,,0.0
2016-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,62103.0,7866586.9,,7.88,0.0,,0.0,,0.0
2016-07-05,2500.0,316350.0,0.2,0.06,0.32,316350.0,0.0,2500.0,0.0,,,,,,2500.0,,,,,,,,,0.32,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0406
2016-07-06,41500.0,5254315.03,3.4,0.97,5.26,3608385.02,13000.0,28500.0,1645930.01,,,,1.65,,13000.0,,,13000.0,,,,1.65,,1.65,13000.0,,1.65,,,,25.39,21.1,38201.0,4836628.63,,4.84,25.39,45.6,0.5039,54.4,0.6737
2016-07-07,41500.0,5256804.92,3.5,0.97,5.26,3610094.95,13000.0,28500.0,1646709.98,,,,,,,,,,,,,,,,,,1.65,,,,25.39,21.1,38201.0,4838920.6,,4.84,25.39,45.6,0.5039,54.4,0.6737
2016-07-08,41500.0,5256597.54,3.96,0.97,5.26,3609952.53,13000.0,28500.0,1646645.01,,,,,,,,,,,,,,,,,,1.65,,,,40.88,30.8,18801.0,2381428.68,,2.38,40.88,45.62,0.5038,54.38,0.9834
2016-07-11,41500.0,5255559.97,3.68,0.97,5.26,3609239.98,13000.0,28500.0,1646319.99,,,,,,,,,,,,,,,,,,1.65,,,,40.88,30.8,18801.0,2380958.63,,2.38,40.88,45.62,0.5038,54.38,0.9834
2016-07-12,41500.0,5254730.11,4.42,0.97,5.24,3608670.08,13000.0,28500.0,1646060.04,,,,,,,,,,,,,,,,,,1.64,,,,40.88,30.8,18801.0,2380582.67,,2.37,40.88,45.62,0.5038,54.38,0.9834
2016-07-13,41500.0,5251825.13,4.45,0.97,5.25,3606675.09,13000.0,28500.0,1645150.04,,,,,,,,,,,,,,,,,,1.64,,,,41.25,31.01,18517.0,2343326.41,,2.34,41.25,45.63,0.5038,54.37,0.9901
2016-07-14,32000.0,4051199.95,3.47,0.75,4.05,2848499.97,9500.0,22500.0,1202699.99,,,,,,,,0.44,,3500.0,,,,,,,6000.0,1.2,0.75,,,30.14,22.66,22017.0,2787352.17,,2.79,30.14,42.23,0.5121,57.77,0.7634
