,SRIC FP Equity_DX_SI_QTY,SRIC FP Equity_DX_SHORT_INTEREST_VALUE,SRIC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SRIC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SRIC FP Equity_DX_SI_MV,SRIC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SRIC FP Equity_DX_SUPPLY_SI_QTY,SRIC FP Equity_DX_BROKER_SI_QTY,SRIC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SRIC FP Equity_DX_SUPPLY_SI_QTY_INC_x,SRIC FP Equity_DX_BROKER_SI_MV_INC_x,SRIC FP Equity_DX_BROKER_SI_QTY_ADD,SRIC FP Equity_DX_SUPPLY_SI_MV_DEC,SRIC FP Equity_DX_BROKER_SI_QTY_INC,SRIC FP Equity_DX_SUPPLY_SI_QTY_DEC,SRIC FP Equity_DX_BROKER_SI_MV_INC_y,SRIC FP Equity_DX_SUPPLY_SI_QTY_INC_y,SRIC FP Equity_DX_BROKER_SI_MV_ADD,SRIC FP Equity_DX_SUPPLY_SI_QTY_ADD,SRIC FP Equity_DX_BROKER_SI_QTY_DEC,SRIC FP Equity_DX_SUPPLY_SI_MV,SRIC FP Equity_DX_BROKER_SI_MV_DEC,SRIC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SRIC FP Equity_DX_UTILIZATION_QUANTITY,SRIC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SRIC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SRIC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SRIC FP Equity_DX_ACTIVE_UTILIZATION_MV,SRIC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SRIC FP Equity_DX_BROKER_SI_CON_RATIO,SRIC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SRIC FP Equity_DX_DEMAND_SUPPLY_RATIO
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3952601.0,41267130.74,41.28,0.0,,0.0,,0.0
2020-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3952601.0,41471875.47,41.3,0.0,,0.0,,0.0
2020-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3952601.0,41575433.62,41.1,0.0,,0.0,,0.0
2020-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3952601.0,41897965.86,41.66,0.0,,0.0,,0.0
2020-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3952601.0,41797569.79,41.79,0.0,,0.0,,0.0
2020-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3952601.0,41944606.55,41.81,0.0,,0.0,,0.0
2020-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3952601.0,41793617.19,41.61,0.0,,0.0,,0.0
2020-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3952601.0,41673458.12,41.67,0.0,,0.0,,0.0
2020-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3952601.0,41597172.92,41.18,0.0,,0.0,,0.0
2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,3952601.0,41773458.93,41.61,0.0,,0.0,,0.0
