,STU FP Equity_DX_SI_QTY,STU FP Equity_DX_SHORT_INTEREST_VALUE,STU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,STU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,STU FP Equity_DX_SI_MV,STU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,STU FP Equity_DX_SUPPLY_SI_QTY,STU FP Equity_DX_BROKER_SI_QTY,STU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,STU FP Equity_DX_BROKER_SI_MV_NEW_x,STU FP Equity_DX_SUPPLY_SI_QTY_INC_x,STU FP Equity_DX_BROKER_SI_MV_INC_x,STU FP Equity_DX_BROKER_SI_QTY_ADD,STU FP Equity_DX_BROKER_SI_QTY_NEW,STU FP Equity_DX_SUPPLY_SI_MV_DEC,STU FP Equity_DX_BROKER_SI_QTY_INC,STU FP Equity_DX_SUPPLY_SI_QTY_DEC,STU FP Equity_DX_BROKER_SI_MV_NEW_y,STU FP Equity_DX_BROKER_SI_MV_INC_y,STU FP Equity_DX_SUPPLY_SI_QTY_INC_y,STU FP Equity_DX_BROKER_SI_MV_ADD,STU FP Equity_DX_SUPPLY_SI_QTY_ADD,STU FP Equity_DX_BROKER_SI_QTY_DEC,STU FP Equity_DX_SUPPLY_SI_MV,STU FP Equity_DX_BROKER_SI_MV_DEC,STU FP Equity_DX_BROKER_SI_MV_RMV,STU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,STU FP Equity_DX_UTILIZATION_QUANTITY,STU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,STU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,STU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,STU FP Equity_DX_ACTIVE_UTILIZATION_MV,STU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,STU FP Equity_DX_BROKER_SI_CON_RATIO,STU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,STU FP Equity_DX_DEMAND_SUPPLY_RATIO,STU FP Equity_PX_LAST
2001-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.78
2001-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5
2001-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3
2001-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1
2001-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.35
2001-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.12
2001-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.98
2001-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1
2001-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.35
2001-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.42
2001-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.46
2002-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1
2002-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.86
2002-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.18
2002-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2
2002-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.72
2002-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.04
2002-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.44
2002-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5
2002-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.22
2002-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.75
2002-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.68
