,CSH2 FP Equity_DX_DSS,CSH2 FP Equity_PX_LAST
2015-03-12,,1000.02
2015-03-13,,1000.03
2015-03-16,,1000.03
2015-03-17,,1000.03
2015-03-18,,1000.03
2015-03-19,,1000.03
2015-03-20,,1000.04
2015-03-23,,1000.04
2015-03-24,,1000.04
2015-03-25,,1000.04
2015-03-26,,1000.04
2015-03-27,,1000.05
2015-03-30,,1000.05
2015-03-31,,1000.05
2015-04-01,,1000.06
2015-04-02,,1000.06
2015-04-07,,1000.06
2015-04-08,,1000.07
2015-04-09,,1000.07
2015-04-10,,1000.07
2015-04-13,,1000.07
2015-04-14,,1000.07
2015-04-15,,1000.07
2015-04-16,,1000.08
2015-04-17,,1000.08
2015-04-20,,1000.08
2015-04-21,,1000.08
2015-04-22,,1000.08
2015-04-23,,1000.08
2015-04-24,,1000.08
2015-04-27,,1000.09
2015-04-28,,1000.09
2015-04-29,,1000.09
2015-04-30,,1000.1
2015-05-04,,1000.1
2015-05-05,,1000.1
2015-05-06,,1000.1
2015-05-07,,1000.1
2015-05-08,,1000.11
2015-05-11,,1000.11
2015-05-12,,1000.11
2015-05-13,,1000.11
2015-05-14,,1000.11
2015-05-15,,1000.11
2015-05-18,,1000.12
2015-05-19,,1000.12
2015-05-20,,1000.12
2015-05-21,,1000.12
2015-05-22,,1000.13
2015-05-26,,1000.13
2015-05-27,,1000.13
2015-05-28,,1000.13
2015-05-29,,1000.13
2015-06-01,,1000.14
2015-06-02,,1000.14
2015-06-03,,1000.14
2015-06-04,,1000.14
2015-06-05,,1000.14
2015-06-08,,1000.15
2015-06-09,,1000.15
2015-06-10,,1000.15
2015-06-11,,1000.15
2015-06-12,,1000.15
2015-06-15,,1000.16
2015-06-16,,1000.16
2015-06-17,,1000.16
2015-06-18,,1000.16
2015-06-19,,1000.17
2015-06-22,,1000.18
2015-06-23,,1000.18
2015-06-24,,1000.18
2015-06-25,,1000.18
2015-06-26,,1000.18
2015-06-29,,1000.19
2015-06-30,,1000.19
2015-07-01,,1000.2
2015-07-02,,1000.2
2015-07-03,,1000.2
2015-07-06,,1000.21
2015-07-07,,1000.21
2015-07-08,,1000.22
2015-07-09,,1000.22
2015-07-10,,1000.23
2015-07-13,,1000.23
2015-07-14,,1000.23
2015-07-15,,1000.23
2015-07-16,,1000.24
2015-07-17,,1000.25
2015-07-20,,1000.25
2015-07-21,,1000.25
2015-07-22,,1000.25
2015-07-23,,1000.26
2015-07-24,,1000.26
2015-07-27,,1000.26
2015-07-28,,1000.27
2015-07-29,,1000.27
2015-07-30,,1001.28
2015-07-31,,1000.28
2015-08-03,,1000.29
2015-08-04,,1000.29
2015-08-05,,1000.29
2015-08-06,,1000.29
2015-08-07,,1000.3
2015-08-10,,1000.11
2015-08-11,,1000.3
2015-08-12,,1000.31
2015-08-13,,1000.31
2015-08-14,,1000.32
2015-08-17,,1000.32
2015-08-18,,1000.32
2015-08-19,,1000.32
2015-08-20,,1000.32
2015-08-21,,1000.33
2015-08-24,,1000.34
2015-08-25,,1000.34
2015-08-26,,1000.34
2015-08-27,,1000.34
2015-08-28,,1000.34
2015-08-31,,1000.35
2015-09-01,,1000.36
2015-09-02,,1000.36
2015-09-03,,1000.36
2015-09-04,,1000.36
