,CFI FP Equity_DX_SI_QTY,CFI FP Equity_DX_SHORT_INTEREST_VALUE,CFI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CFI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CFI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CFI FP Equity_DX_SI_MV,CFI FP Equity_DX_DSS,CFI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CFI FP Equity_DX_SUPPLY_SI_QTY,CFI FP Equity_DX_BROKER_SI_QTY,CFI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CFI FP Equity_DX_BROKER_SI_QTY_ADD,CFI FP Equity_DX_SUPPLY_SI_MV_DEC,CFI FP Equity_DX_SUPPLY_SI_QTY_DEC,CFI FP Equity_DX_BROKER_SI_MV_ADD,CFI FP Equity_DX_SUPPLY_SI_QTY_ADD,CFI FP Equity_DX_BROKER_SI_QTY_DEC,CFI FP Equity_DX_SUPPLY_SI_MV,CFI FP Equity_DX_BROKER_SI_MV_DEC,CFI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CFI FP Equity_DX_UTILIZATION_QUANTITY,CFI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CFI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CFI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CFI FP Equity_DX_ACTIVE_UTILIZATION_MV,CFI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CFI FP Equity_DX_BROKER_SI_CON_RATIO,CFI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CFI FP Equity_DX_DEMAND_SUPPLY_RATIO,CFI FP Equity_PX_LAST
1992-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.2911
1992-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.438
1992-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.1766
1992-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.1766
1992-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.9388
1992-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.1837
1992-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6164
1992-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6164
1992-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0919
1992-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0919
1992-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0919
1992-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0919
1992-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0919
1992-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9394
1992-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9394
1992-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9394
1992-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9394
1992-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9394
1992-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.5855
1992-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.738
1992-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.4331
1992-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2135
1992-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2135
1992-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2135
1992-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2135
1992-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.8233
1992-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.5184
1992-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2135
1992-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2135
1992-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.7743
1992-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0847
1992-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4694
1992-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7561
1992-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4694
1992-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2135
1992-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7561
1992-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.061
1992-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.061
1992-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.061
1992-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.6219
1992-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9939
1992-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7561
1992-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9939
1992-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4694
1992-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4694
1992-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9939
1992-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9939
1992-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.2317
1992-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.2317
1992-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9939
1992-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.1463
1992-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4694
1992-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9939
1992-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6037
1992-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9939
1992-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9939
1992-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4694
1992-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4694
1992-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.3351
1992-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7072
1992-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.9449
1992-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.4876
1992-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.4204
1992-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.1155
1992-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.9449
1992-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4694
1992-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.317
1992-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.317
1992-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.317
1992-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.317
1992-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.317
1992-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.847
1992-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.847
1992-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.847
1992-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.847
1992-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.847
1992-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.847
1992-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.847
1992-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.847
1992-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.847
1992-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.847
1992-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.847
1992-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.847
1992-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.847
1992-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.847
1992-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.847
1992-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.847
1992-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.3225
1992-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.2063
1992-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0357
1992-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.2735
