,ALCAB FP Equity_DX_SI_QTY,ALCAB FP Equity_DX_SHORT_INTEREST_VALUE,ALCAB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALCAB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALCAB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALCAB FP Equity_DX_SI_MV,ALCAB FP Equity_DX_DSS,ALCAB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALCAB FP Equity_DX_SUPPLY_SI_QTY,ALCAB FP Equity_DX_BROKER_SI_QTY,ALCAB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALCAB FP Equity_DX_BROKER_SI_QTY_ADD,ALCAB FP Equity_DX_BROKER_SI_MV_ADD,ALCAB FP Equity_DX_SUPPLY_SI_QTY_ADD,ALCAB FP Equity_DX_BROKER_SI_QTY_DEC,ALCAB FP Equity_DX_SUPPLY_SI_MV,ALCAB FP Equity_DX_BROKER_SI_MV_DEC,ALCAB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALCAB FP Equity_DX_UTILIZATION_QUANTITY,ALCAB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALCAB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALCAB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALCAB FP Equity_DX_ACTIVE_UTILIZATION_MV,ALCAB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALCAB FP Equity_DX_BROKER_SI_CON_RATIO,ALCAB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALCAB FP Equity_DX_DEMAND_SUPPLY_RATIO,ALCAB FP Equity_PX_LAST
2022-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.42
2022-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.42
2022-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25
2022-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
2022-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.002
2022-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.892
2022-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.75
2022-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.501
2022-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2022-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.454
2022-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.48
2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.489
2022-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.422
2022-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2022-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
2022-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.825
2022-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.051
2022-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2022-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65
2022-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63
2022-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.601
2022-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94
2022-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64
2022-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.89
2022-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39
2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2023-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
2023-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2023-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.019
2023-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.731
2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.741
2023-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2023-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
