,GEMU FP Equity_DX_SI_QTY,GEMU FP Equity_DX_SHORT_INTEREST_VALUE,GEMU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GEMU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GEMU FP Equity_DX_SI_MV,GEMU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GEMU FP Equity_DX_SUPPLY_SI_QTY,GEMU FP Equity_DX_BROKER_SI_QTY,GEMU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GEMU FP Equity_DX_BROKER_SI_MV_INC_x,GEMU FP Equity_DX_BROKER_SI_QTY_ADD,GEMU FP Equity_DX_BROKER_SI_QTY_INC,GEMU FP Equity_DX_BROKER_SI_MV_INC_y,GEMU FP Equity_DX_BROKER_SI_MV_ADD,GEMU FP Equity_DX_SUPPLY_SI_QTY_ADD,GEMU FP Equity_DX_BROKER_SI_QTY_DEC,GEMU FP Equity_DX_SUPPLY_SI_MV,GEMU FP Equity_DX_BROKER_SI_MV_DEC,GEMU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GEMU FP Equity_DX_UTILIZATION_QUANTITY,GEMU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GEMU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GEMU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GEMU FP Equity_DX_ACTIVE_UTILIZATION_MV,GEMU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GEMU FP Equity_DX_BROKER_SI_CON_RATIO,GEMU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GEMU FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-04-28,31000.0,294723.2,6.88,0.1,0.3,294723.2,0.0,31000.0,0.0,,31000.0,,,0.3,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-04-29,31000.0,293867.6,1.92,0.1,0.29,293867.6,0.0,31000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-02,31000.0,292934.5,1.71,0.1,0.29,292934.5,0.0,31000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-03,31000.0,293480.1,1.68,0.1,0.29,293480.1,0.0,31000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-04,31000.0,294227.2,1.65,0.07,0.3,294227.2,0.0,31000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-05,31000.0,292671.0,1.59,0.07,0.3,292671.0,0.0,31000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-06,31000.0,291359.7,1.52,0.06,0.29,291359.7,0.0,31000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-09,31000.0,292128.5,1.46,0.06,0.29,292128.5,0.0,31000.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-12,41100.0,391728.21,1.89,0.08,0.39,391728.21,0.0,41100.0,0.0,,41100.0,,,0.39,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-13,41100.0,389923.92,1.89,0.08,0.39,389923.92,0.0,41100.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-16,41100.0,389845.83,1.87,0.08,0.39,389845.83,0.0,41100.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-17,41100.0,388419.66,1.89,0.08,0.39,388419.66,0.0,41100.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-18,41100.0,388345.68,1.86,0.08,0.39,388345.68,0.0,41100.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2022-05-19,41100.0,389249.88,1.86,0.08,0.39,389249.88,0.0,41100.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
