,MLUX FP Equity_PX_LAST
2024-12-17,10.098
2024-12-18,10.104
2024-12-19,9.899
2024-12-20,9.997
2024-12-23,9.999
2024-12-24,9.997
2024-12-27,9.992
2024-12-30,9.936
2024-12-31,9.978
2025-01-02,9.932
2025-01-03,9.839
2025-01-06,9.962
2025-01-07,9.947
2025-01-08,9.89
2025-01-09,10.027
2025-01-10,9.891
2025-01-13,9.848
2025-01-14,9.877
2025-01-15,10.019
2025-01-16,10.289
2025-01-17,10.375
2025-01-20,10.378
2025-01-21,10.374
2025-01-22,10.375
2025-01-23,10.449
2025-01-24,10.462
2025-01-27,10.486
2025-01-28,10.707
2025-01-29,10.673
2025-01-30,10.737
2025-01-31,10.769
2025-02-03,10.562
2025-02-04,10.629
2025-02-05,10.463
2025-02-06,10.647
2025-02-07,10.551
2025-02-10,10.52
2025-02-11,10.428
2025-02-12,10.51
2025-02-13,10.631
2025-02-14,10.761
2025-02-17,10.707
2025-02-18,10.711
2025-02-19,10.6
2025-02-20,10.517
2025-02-21,10.621
2025-02-24,10.394
2025-02-25,10.309
2025-02-26,10.498
2025-02-27,10.384
2025-02-28,10.368
2025-03-03,10.405
2025-03-04,9.996
2025-03-05,9.92
2025-03-06,9.833
2025-03-07,9.487
2025-03-10,9.409
2025-03-11,9.214
2025-03-12,9.27
2025-03-13,9.144
2025-03-14,9.233
2025-03-17,9.245
2025-03-18,9.172
2025-03-19,9.263
2025-03-20,9.217
2025-03-21,9.204
2025-03-24,9.262
2025-03-25,9.269
2025-03-26,9.189
2025-03-27,9.156
2025-03-28,8.99
2025-03-31,8.798
2025-04-01,8.95
2025-04-02,8.967
2025-04-03,8.459
2025-04-04,8.348
2025-04-07,7.921
2025-04-08,8.056
2025-04-09,7.838
2025-04-10,8.135
2025-04-11,8.151
2025-04-14,8.209
2025-04-15,8.119
2025-04-16,8.092
2025-04-17,8.045
2025-04-22,8.181
2025-04-23,8.448
2025-04-24,8.481
2025-04-25,8.589
2025-04-28,8.576
2025-04-29,8.559
2025-04-30,8.526
2025-05-02,8.758
2025-05-05,8.86
2025-05-06,8.781
2025-05-07,8.714
2025-05-08,8.948
2025-05-09,8.987
2025-05-12,9.42
2025-05-13,9.498
2025-05-14,9.561
2025-05-15,9.419
2025-05-16,9.521
2025-05-19,9.445
2025-05-20,9.485
2025-05-21,9.352
2025-05-22,9.259
2025-05-23,8.969
2025-05-26,9.109
2025-05-27,9.24
2025-05-28,9.242
2025-05-29,9.202
2025-05-30,9.269
2025-06-02,9.053
2025-06-03,9.164
2025-06-04,9.245
2025-06-05,9.082
2025-06-06,9.055
2025-06-09,9.07
2025-06-10,9.174
2025-06-11,9.164
2025-06-12,9.026
2025-06-13,8.882
2025-06-16,8.962
2025-06-17,8.92
2025-06-18,8.907
2025-06-19,8.776
2025-06-20,8.826
2025-06-23,8.845
2025-06-24,8.971
2025-06-25,8.878
2025-06-26,8.938
2025-06-27,9.056
2025-06-30,9.079
2025-07-01,9.173
2025-07-02,9.316
2025-07-03,9.396
2025-07-04,9.307
2025-07-07,9.347
2025-07-08,9.427
2025-07-09,9.461
2025-07-10,9.655
2025-07-11,9.615
2025-07-14,9.583
2025-07-15,9.508
2025-07-16,9.517
2025-07-17,9.523
2025-07-18,9.588
2025-07-21,9.48
2025-07-22,9.521
2025-07-23,9.629
2025-07-24,9.617
2025-07-25,9.631
2025-07-28,9.678
2025-07-29,9.605
2025-07-30,9.666
2025-07-31,9.412
2025-08-01,9.056
2025-08-04,9.2
2025-08-05,9.206
2025-08-06,9.232
2025-08-07,9.286
2025-08-08,9.234
2025-08-11,9.179
2025-08-12,9.226
2025-08-13,9.404
2025-08-14,9.333
2025-08-15,9.321
2025-08-18,9.341
2025-08-19,9.57
2025-08-20,9.7
2025-08-21,9.415
2025-08-22,9.613
2025-08-25,9.66
2025-08-26,9.667
2025-08-27,9.744
2025-08-28,9.785
2025-08-29,9.689
