,ALUNT FP Equity_DX_SI_QTY,ALUNT FP Equity_DX_SHORT_INTEREST_VALUE,ALUNT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALUNT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALUNT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALUNT FP Equity_DX_SI_MV,ALUNT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALUNT FP Equity_DX_SUPPLY_SI_QTY,ALUNT FP Equity_DX_BROKER_SI_QTY,ALUNT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALUNT FP Equity_DX_SUPPLY_SI_MV,ALUNT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALUNT FP Equity_DX_UTILIZATION_QUANTITY,ALUNT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALUNT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALUNT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALUNT FP Equity_DX_ACTIVE_UTILIZATION_MV,ALUNT FP Equity_DX_BROKER_SI_CON_RATIO,ALUNT FP Equity_DX_DEMAND_SUPPLY_RATIO,ALUNT FP Equity_PX_LAST
2015-05-19,,,,,,,,,,,,,,,,,,,,5.12
2015-05-20,,,,,,,,,,,,,,,,,,,,5.4
2015-05-21,,,,,,,,,,,,,,,,,,,,5.54
2015-05-22,,,,,,,,,,,,,,,,,,,,5.4
2015-05-25,,,,,,,,,,,,,,,,,,,,5.4
2015-05-28,,,,,,,,,,,,,,,,,,,,6.5
2015-06-02,,,,,,,,,,,,,,,,,,,,6.0
2015-06-04,,,,,,,,,,,,,,,,,,,,6.75
2015-06-10,,,,,,,,,,,,,,,,,,,,7.0
2015-06-17,,,,,,,,,,,,,,,,,,,,7.0
2015-07-03,,,,,,,,,,,,,,,,,,,,6.0
2015-07-06,,,,,,,,,,,,,,,,,,,,6.0
2015-07-07,,,,,,,,,,,,,,,,,,,,5.7
2015-07-21,,,,,,,,,,,,,,,,,,,,5.35
2015-07-22,,,,,,,,,,,,,,,,,,,,5.5
2015-07-23,,,,,,,,,,,,,,,,,,,,5.5
2015-07-27,,,,,,,,,,,,,,,,,,,,5.55
2015-08-11,,,,,,,,,,,,,,,,,,,,5.06
2015-08-17,,,,,,,,,,,,,,,,,,,,5.6
2015-09-07,,,,,,,,,,,,,,,,,,,,5.5
2015-09-08,,,,,,,,,,,,,,,,,,,,5.5
2015-09-09,,,,,,,,,,,,,,,,,,,,5.5
2015-09-10,,,,,,,,,,,,,,,,,,,,5.5
2015-09-23,,,,,,,,,,,,,,,,,,,,5.55
2015-10-09,,,,,,,,,,,,,,,,,,,,5.6
2015-11-02,,,,,,,,,,,,,,,,,,,,5.5
2015-11-05,,,,,,,,,,,,,,,,,,,,5.6
2015-11-09,,,,,,,,,,,,,,,,,,,,5.7
2015-11-16,,,,,,,,,,,,,,,,,,,,5.7
2015-11-17,,,,,,,,,,,,,,,,,,,,5.7
2015-11-23,,,,,,,,,,,,,,,,,,,,5.7
2015-11-25,,,,,,,,,,,,,,,,,,,,5.5
2015-11-26,,,,,,,,,,,,,,,,,,,,5.7
2015-11-27,,,,,,,,,,,,,,,,,,,,5.7
2015-11-30,,,,,,,,,,,,,,,,,,,,5.7
2015-12-01,,,,,,,,,,,,,,,,,,,,5.7
2015-12-02,,,,,,,,,,,,,,,,,,,,5.7
2016-01-05,,,,,,,,,,,,,,,,,,,,5.7
2016-01-25,,,,,,,,,,,,,,,,,,,,5.2
2016-01-27,,,,,,,,,,,,,,,,,,,,5.2
2016-01-28,,,,,,,,,,,,,,,,,,,,5.2
2016-01-29,,,,,,,,,,,,,,,,,,,,5.3
2016-02-01,,,,,,,,,,,,,,,,,,,,5.29
2016-02-05,,,,,,,,,,,,,,,,,,,,5.28
2016-03-15,,,,,,,,,,,,,,,,,,,,5.2
2016-03-21,,,,,,,,,,,,,,,,,,,,5.25
2016-03-22,,,,,,,,,,,,,,,,,,,,5.3
2016-03-23,,,,,,,,,,,,,,,,,,,,5.4
2016-03-24,,,,,,,,,,,,,,,,,,,,5.4
2016-03-30,,,,,,,,,,,,,,,,,,,,5.5
2016-04-04,,,,,,,,,,,,,,,,,,,,5.5
2016-04-18,,,,,,,,,,,,,,,,,,,,5.3
2016-06-13,,,,,,,,,,,,,,,,,,,,5.3
2016-06-14,,,,,,,,,,,,,,,,,,,,5.3
2016-06-28,,,,,,,,,,,,,,,,,,,,5.16
2016-07-05,,,,,,,,,,,,,,,,,,,,5.3
