,FGBL FP Equity_PX_LAST
2015-08-31,35.67
2015-09-01,34.53
2015-09-02,34.52
2015-11-13,36.74
2015-11-16,36.58
2015-11-17,37.63
2015-11-18,37.56
2015-11-19,37.57
2015-11-20,38.01
2015-11-23,38.08
2015-11-24,37.87
2015-11-25,38.21
2015-11-26,38.45
2015-11-27,38.27
2015-11-30,38.39
2015-12-01,38.4
2015-12-02,38.5
2015-12-03,37.13
2015-12-04,37.1
2015-12-07,37.1
2015-12-08,36.58
2015-12-09,36.33
2015-12-10,36.27
2015-12-11,36.15
2015-12-14,35.02
2015-12-15,35.27
2015-12-16,36.01
2015-12-17,36.38
2015-12-18,36.12
2015-12-21,36.01
2015-12-22,35.79
2015-12-24,36.32
2015-12-28,36.03
2015-12-29,36.81
2015-12-30,36.65
2015-12-31,36.53
2016-01-04,35.81
2016-01-05,36.25
2016-01-06,35.68
2016-01-07,34.96
2016-01-08,34.06
2016-01-11,34.04
2016-01-13,34.1
2016-01-14,33.51
2016-01-18,32.92
2016-01-19,33.29
2016-01-25,33.27
2016-01-26,33.32
2016-01-27,33.54
2016-01-28,33.37
2016-01-29,34.01
2016-02-01,34.09
2016-02-02,34.03
2016-02-04,32.71
2016-02-05,32.39
2016-02-08,31.42
2016-02-09,30.98
2016-02-10,31.27
2016-02-11,30.28
2016-02-12,31.12
2016-02-15,31.97
2016-02-16,31.96
2016-02-17,32.74
2016-02-18,32.84
2016-02-19,32.68
2016-02-22,33.41
2016-02-24,32.62
2016-02-25,33.19
2016-02-26,33.76
2016-02-29,33.98
2016-03-01,34.33
2016-03-02,34.62
2016-03-03,34.63
2016-03-04,34.98
2016-03-07,34.97
2016-03-08,34.36
2016-03-09,34.47
2016-03-10,33.66
2016-03-11,34.58
2016-03-14,34.79
2016-03-15,34.48
2016-03-16,34.7
2016-03-17,34.64
2016-03-18,34.84
2016-03-21,34.76
2016-03-23,34.89
2016-03-24,34.47
2016-03-29,34.73
2016-03-30,35.02
2016-03-31,34.71
2016-04-01,34.32
2016-04-06,33.9
2016-04-07,33.67
2016-04-08,34.0
2016-04-11,34.11
2016-04-12,34.4
2016-04-13,35.38
2016-04-14,35.27
2016-04-15,35.02
2016-04-18,35.08
2016-04-19,35.38
2016-04-20,35.52
2016-04-21,35.42
2016-04-22,35.37
2016-04-25,35.23
2016-04-26,35.22
2016-04-27,35.28
2016-04-28,35.21
2016-04-29,34.21
2016-05-02,34.32
2016-05-03,33.83
2016-05-04,33.58
2016-05-05,33.9
2016-05-09,33.89
2016-05-10,34.3
2016-05-11,34.17
2016-05-12,34.09
2016-05-13,34.32
2016-05-16,34.26
2016-05-17,34.35
2016-05-18,34.36
2016-05-19,34.04
2016-05-20,34.56
2016-05-23,34.5
2016-05-24,34.97
2016-05-25,35.16
2016-05-26,35.25
2016-05-27,35.51
2016-05-30,35.54
2016-05-31,35.56
2016-06-01,35.35
2016-06-02,35.41
2016-06-03,35.0
2016-06-06,35.25
2016-06-07,35.61
2016-06-08,35.53
2016-06-09,35.45
2016-06-10,35.07
2016-06-13,34.55
2016-06-14,34.4
2016-06-15,34.49
2016-06-16,34.28
2016-06-17,34.28
2016-06-20,35.12
2016-06-21,35.2
2016-06-22,35.19
2016-06-23,35.41
2016-06-24,34.45
2016-06-27,33.56
2016-06-28,33.91
2016-06-29,34.57
2016-06-30,34.78
2016-07-01,35.07
2016-07-04,35.1
2016-07-05,34.71
2016-07-06,34.46
2016-07-07,34.72
2016-07-08,35.21
2016-07-11,35.84
2016-07-12,36.08
2016-07-13,35.93
2016-07-14,36.25
2016-07-15,36.22
2016-07-18,36.24
2016-07-19,36.35
2016-07-20,36.61
2016-07-21,36.57
2016-07-22,36.57
2016-07-25,36.62
2016-07-26,36.7
2016-07-27,36.81
2016-07-28,36.53
2016-07-29,36.65
2016-08-01,36.63
2016-08-02,36.09
2016-08-03,36.12
2016-08-04,36.55
2016-08-05,36.98
2016-08-08,37.1
2016-08-09,37.26
2016-08-10,37.12
2016-08-11,37.24
2016-08-12,37.27
2016-08-15,37.28
2016-08-16,36.79
2016-08-17,36.53
2016-08-18,36.67
2016-08-19,36.63
2016-08-22,36.6
2016-08-23,36.88
2016-08-24,36.95
2016-08-25,36.75
2016-08-26,36.93
2016-08-29,36.73
2016-08-30,37.02
2016-08-31,37.05
2016-09-01,36.83
2016-09-02,37.28
2016-09-05,37.47
2016-09-06,37.38
2016-09-07,37.43
2016-09-09,36.86
2016-09-12,36.49
2016-09-13,36.08
2016-09-14,36.01
2016-09-15,36.37
2016-09-16,36.37
2016-09-19,36.72
2016-09-20,36.79
2016-09-21,37.08
2016-09-22,37.47
2016-09-23,37.37
2016-09-26,36.84
2016-09-27,37.19
2016-09-29,37.26
2016-09-30,37.24
2016-10-03,37.21
2016-10-04,37.38
2016-10-05,37.16
2016-10-06,37.05
2016-10-07,36.89
2016-10-10,37.26
2016-10-11,36.87
2016-10-12,36.94
2016-10-14,37.07
2016-10-17,36.94
2016-10-18,37.34
2016-10-19,37.33
2016-10-20,37.51
2016-10-21,37.62
2016-10-24,37.79
2016-10-25,37.85
2016-10-26,37.75
2016-10-27,37.55
2016-10-28,37.43
2016-10-31,37.41
2016-11-01,36.94
2016-11-02,36.47
2016-11-03,36.56
2016-11-04,36.22
2016-11-07,36.9
2016-11-08,37.13
2016-11-09,37.36
2016-11-10,37.53
2016-11-11,37.39
2016-11-14,37.89
2016-11-15,38.18
2016-11-16,38.16
2016-11-17,38.46
2016-11-18,38.45
2016-11-21,38.62
2016-11-22,38.92
2016-11-23,39.07
2016-11-24,39.21
2016-11-25,39.18
2016-11-28,39.2
2016-11-29,39.24
2016-11-30,39.36
2016-12-01,39.2
2016-12-02,39.04
2016-12-05,39.06
2016-12-06,39.27
2016-12-07,39.68
2016-12-08,40.49
2016-12-09,40.81
2016-12-12,40.47
2016-12-13,40.58
2016-12-14,40.38
2016-12-15,40.76
2016-12-16,40.58
2016-12-19,40.48
2016-12-20,40.78
2016-12-21,40.57
2016-12-22,40.2
2016-12-23,40.27
2016-12-27,40.36
2016-12-29,40.31
2016-12-30,40.11
2017-01-03,40.87
2017-01-04,41.14
2017-01-05,40.94
2017-01-06,40.96
2017-01-09,40.77
2017-01-10,40.87
2017-01-11,40.98
2017-01-12,40.64
2017-01-13,41.0
2017-01-16,40.76
2017-01-17,40.55
2017-01-18,40.51
2017-01-19,40.48
2017-01-20,40.42
2017-01-23,40.24
2017-01-24,40.33
2017-01-25,40.69
2017-01-26,40.93
2017-01-27,40.85
2017-01-30,40.56
2017-01-31,40.19
2017-02-01,40.41
2017-02-02,40.25
2017-02-03,40.47
2017-02-06,40.4
2017-02-07,40.54
2017-02-08,40.74
2017-02-09,41.15
2017-02-10,41.35
2017-02-13,41.68
2017-02-14,41.69
2017-02-15,41.97
2017-02-17,41.78
2017-02-20,42.05
2017-02-21,42.39
2017-02-22,42.44
2017-02-23,42.47
2017-02-24,42.24
2017-02-27,42.02
2017-02-28,41.93
2017-03-01,42.42
2017-03-02,42.3
2017-03-03,42.13
2017-03-06,42.02
2017-03-07,42.02
2017-03-08,42.04
2017-03-09,41.77
2017-03-10,41.62
2017-03-13,41.89
2017-03-14,41.77
2017-03-15,42.04
2017-03-16,42.31
2017-03-17,42.24
2017-03-20,42.32
2017-03-21,41.81
2017-03-22,41.71
2017-03-23,42.04
2017-03-24,41.84
2017-03-27,41.47
2017-03-28,41.76
2017-03-29,42.1
2017-03-30,42.3
2017-03-31,42.21
2017-04-03,42.1
2017-04-04,42.19
2017-04-05,42.29
2017-04-06,42.22
2017-04-07,42.24
2017-04-10,42.2
2017-04-11,42.17
2017-04-12,42.23
2017-04-13,42.26
2017-04-18,41.67
2017-04-19,41.56
2017-04-20,41.54
2017-04-21,41.73
2017-04-24,41.73
2017-04-25,41.73
2017-04-26,41.99
2017-04-27,41.66
2017-04-28,41.51
2017-05-02,41.57
2017-05-03,41.52
2017-05-04,41.31
2017-05-05,41.24
2017-05-08,41.51
2017-05-09,41.73
2017-05-10,41.83
2017-05-11,41.59
2017-05-12,41.51
2017-05-15,41.61
2017-05-16,41.31
2017-05-17,41.04
2017-05-18,40.57
2017-05-22,40.73
2017-05-23,40.82
2017-05-24,40.99
2017-05-25,41.05
2017-05-26,41.06
2017-05-29,41.1
2017-05-30,41.07
2017-05-31,40.83
2017-06-01,41.05
2017-06-02,41.14
2017-06-05,41.09
2017-06-06,41.0
2017-06-07,40.98
2017-06-08,41.16
2017-06-09,41.33
2017-06-12,41.15
2017-06-13,41.37
2017-06-14,41.26
2017-06-15,41.21
2017-06-16,41.15
2017-06-19,41.58
2017-06-20,41.36
2017-06-21,41.18
2017-06-22,41.28
2017-06-23,41.19
2017-06-26,41.38
2017-06-27,41.01
2017-06-28,40.95
2017-06-29,40.51
2017-06-30,40.55
2017-07-03,40.96
2017-07-04,40.84
2017-07-05,40.86
2017-07-06,40.49
2017-07-07,40.4
2017-07-10,40.6
2017-07-11,40.46
2017-07-12,41.05
2017-07-13,41.3
2017-07-14,41.44
2017-07-17,41.47
2017-07-18,41.02
2017-07-19,41.45
2017-07-20,41.13
2017-07-21,40.94
2017-07-24,40.9
2017-07-25,41.03
2017-07-26,41.08
2017-07-27,41.18
2017-07-28,40.71
2017-07-31,40.62
2017-08-01,40.88
2017-08-02,40.76
2017-08-03,40.64
2017-08-04,41.05
2017-08-07,40.94
2017-08-08,41.19
2017-08-09,40.9
2017-08-10,40.45
2017-08-14,40.57
2017-08-15,40.61
2017-08-16,40.65
2017-08-17,40.57
2017-08-18,40.43
2017-08-21,40.3
2017-08-22,40.7
2017-08-23,40.54
2017-08-24,40.59
2017-08-25,40.61
2017-08-28,40.35
2017-08-29,39.98
2017-08-30,40.35
2017-08-31,40.64
2017-09-01,40.85
2017-09-04,40.53
2017-09-05,40.43
2017-09-06,40.43
2017-09-07,40.39
2017-09-08,40.42
2017-09-11,40.88
2017-09-12,41.04
2017-09-13,41.08
2017-09-14,41.17
2017-09-15,40.94
2017-09-18,41.09
2017-09-19,40.96
2017-09-20,40.96
2017-09-21,41.01
2017-09-22,40.86
2017-09-25,41.05
2017-09-26,41.27
2017-09-27,41.27
2017-09-28,41.22
2017-09-29,41.35
2017-10-02,41.67
2017-10-03,41.78
2017-10-04,41.79
2017-10-05,41.99
2017-10-06,41.83
2017-10-09,41.82
2017-10-10,41.82
2017-10-11,41.72
2017-10-12,41.86
2017-10-13,42.08
2017-10-16,42.15
2017-10-17,42.24
2017-10-18,42.38
2017-10-19,42.16
2017-10-20,42.38
2017-10-23,42.41
2017-10-24,42.33
2017-10-25,41.89
2017-10-26,42.42
2017-10-27,42.83
2017-10-30,42.57
2017-10-31,42.61
2017-11-01,42.82
2017-11-02,42.71
2017-11-03,42.89
2017-11-06,43.02
2017-11-07,43.13
2017-11-08,43.21
2017-11-09,42.87
2017-11-10,42.69
2017-11-13,42.52
2017-11-14,42.05
2017-11-15,41.7
2017-11-16,42.08
2017-11-17,42.06
2017-11-20,42.27
2017-11-21,42.6
2017-11-22,42.53
2017-11-23,42.42
2017-11-24,42.25
2017-11-27,42.21
2017-11-28,42.42
2017-11-29,42.67
2017-11-30,42.58
2017-12-01,42.3
2017-12-04,42.88
2017-12-05,43.02
2017-12-06,42.73
2017-12-07,42.72
2017-12-08,42.9
2017-12-11,42.89
2017-12-12,43.19
2017-12-13,43.25
2017-12-14,43.22
2017-12-15,43.19
2017-12-18,43.59
2017-12-19,43.46
2017-12-20,43.26
2017-12-21,43.41
2017-12-22,43.5
2017-12-27,43.63
2017-12-28,43.5
2017-12-29,43.4
2018-01-02,43.45
2018-01-03,43.78
2018-01-04,43.92
2018-01-05,44.33
2018-01-08,44.54
2018-01-09,44.81
2018-01-10,44.5
2018-01-11,44.32
2018-01-12,44.42
2018-01-15,44.08
2018-01-16,44.29
2018-01-17,44.35
2018-01-18,44.4
2018-01-19,44.34
2018-01-22,44.7
2018-01-23,44.8
2018-01-24,44.61
2018-01-25,44.6
2018-01-26,44.74
2018-01-29,44.65
2018-01-30,44.13
2018-01-31,43.99
2018-02-01,43.87
2018-02-02,43.465
2018-02-05,42.945
2018-02-06,41.91
2018-02-07,42.735
2018-02-08,41.93
2018-02-09,41.42
2018-02-12,41.975
2018-02-13,41.755
2018-02-14,42.06
2018-02-15,42.285
2018-02-16,42.895
2018-02-19,42.755
2018-02-20,42.835
2018-02-21,43.05
2018-02-22,42.94
2018-02-23,43.12
2018-02-26,43.54
2018-02-27,43.47
2018-02-28,43.21
2018-03-01,42.925
2018-03-02,42.145
2018-03-05,42.54
2018-03-06,42.39
2018-03-07,42.5
2018-03-08,42.795
2018-03-09,43.1
2018-03-12,43.325
2018-03-13,42.98
2018-03-14,42.875
2018-03-15,43.03
2018-03-16,43.155
2018-03-19,42.605
2018-03-20,42.96
2018-03-21,43.02
2018-03-23,41.905
2018-03-26,41.48
2018-03-27,42.025
2018-03-28,41.97
2018-03-29,42.5
2018-04-03,42.325
2018-04-04,42.185
2018-04-05,43.035
2018-04-06,42.69
2018-04-09,42.625
2018-04-10,42.795
2018-04-11,42.545
2018-04-12,42.825
2018-04-13,42.69
2018-04-16,42.555
2018-04-17,42.83
2018-04-18,42.825
2018-04-19,42.685
2018-04-20,42.595
2018-04-23,42.76
2018-04-24,42.845
2018-04-25,42.56
2018-04-26,42.97
2018-04-27,43.22
2018-04-30,43.48
2018-05-02,43.405
2018-05-03,42.985
2018-05-04,43.425
2018-05-07,43.535
2018-05-08,43.58
2018-05-09,43.685
2018-05-10,43.985
2018-05-11,44.065
2018-05-14,44.115
2018-05-15,44.04
2018-05-16,44.38
2018-05-17,44.43
2018-05-18,44.375
2018-05-21,44.585
2018-05-22,44.675
2018-05-23,44.3
2018-05-24,44.16
2018-05-25,44.345
2018-05-28,44.365
2018-05-29,44.105
2018-05-30,44.08
2018-05-31,44.155
2018-06-01,44.12
2018-06-04,44.405
2018-06-05,44.4
2018-06-06,44.34
2018-06-07,44.33
2018-06-08,44.31
2018-06-11,44.42
2018-06-12,44.345
2018-06-13,44.255
2018-06-14,44.56
2018-06-15,44.23
2018-06-18,44.045
2018-06-19,43.88
2018-06-20,44.05
2018-06-21,43.7
2018-06-22,43.965
2018-06-25,43.52
2018-06-26,43.35
2018-06-27,43.51
2018-06-28,43.35
2018-06-29,43.475
2018-07-02,43.125
2018-07-03,43.275
2018-07-04,43.365
2018-07-05,43.35
2018-07-06,43.555
2018-07-09,43.84
2018-07-10,43.925
2018-07-11,43.465
2018-07-12,43.68
2018-07-13,43.78
2018-07-16,43.51
2018-07-17,43.715
2018-07-18,43.815
2018-07-19,43.765
2018-07-20,43.71
2018-07-23,43.645
2018-07-24,44.055
2018-07-25,44.095
2018-07-26,44.39
2018-07-27,44.595
2018-07-30,44.56
2018-07-31,44.7
2018-08-01,44.565
2018-08-02,44.27
2018-08-03,44.605
2018-08-06,44.63
2018-08-07,44.885
2018-08-08,44.76
2018-08-09,44.895
2018-08-10,44.725
2018-08-13,44.495
2018-08-14,44.78
2018-08-15,44.28
2018-08-16,44.65
2018-08-17,44.655
2018-08-20,44.85
