,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_x,DG FP Equity_y,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity,DG FP Equity
,DX_SI_QTY,DX_SHORT_INTEREST_VALUE,DX_SHORT_INTEREST_PCT_FREE_FLOAT,DX_SHORT_INT_RATIO_DAYS_TO_COVER,DX_SHORT_INTEREST_PCT_SHARES_OUT,DX_SI_MV,DX_DSS,DX_BROKER_SHORT_INTEREST_VALUE,DX_SUPPLY_SI_QTY,DX_BROKER_SI_QTY,DX_SUPPLY_SIDE_SHORT_INT_VAL,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_MV_NEW,DX_BROKER_SI_QTY_ADD,DX_BROKER_SI_QTY_NEW,DX_SUPPLY_SI_MV_DEC,DX_BROKER_SI_QTY_INC,DX_SUPPLY_SI_QTY_DEC,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_ADD,DX_SUPPLY_SI_QTY_ADD,DX_BROKER_SI_QTY_DEC,DX_SUPPLY_SI_MV,DX_BROKER_SI_MV_DEC,DX_SUPPLY_SI_MV_RMV,DX_BROKER_SI_MV_RMV,DX_ACTIVE_UTILIZATION_QUANTITY,DX_UTILIZATION_QUANTITY,DX_ACTIVE_AVAIL_SUPPLY_QTY,DX_ACTIVE_AVAILABILITY_VALUE,DX_SUPPLY_SI_QTY_MV_RMV,DX_ACTIVE_AVAIL_SUPPLY_MV,DX_ACTIVE_UTILIZATION_MV,DX_BROKER_SI_MARKET_SHARE_2,DX_BROKER_SI_CON_RATIO,DX_BROKER_SI_MARKET_SHARE_1,DX_DEMAND_SUPPLY_RATIO
2006-01-04,12210342.0,568729693.22,6.66,8.04,6.48,903.64,2.0,382432571.79,7337721.0,8210636.0,341774195.45,1.69,13090.0,243976.0,6.66,0.96,,23122.0,350.58,89175.0,4801114.0,1.69,13090.0,6.66,243976.0,,245258.0,4759343.0,540.67,348.12,1.31,,32.34,32.34,15353477.0,715129704.32,17829.0,1133.54,32.29,16.82,0.2186,41.62,0.5381
2006-01-11,8873991.0,435039824.08,4.84,5.77,4.71,656.69,1.0,268228551.48,6707321.0,5471356.0,328820679.21,,3000.0,116986.0,0.53,0.22,,,61.34,7085.0,836712.0,,3000.0,0.53,116986.0,,86326.0,2746365.0,495.56,203.71,,,29.36,29.36,16136136.0,791060275.68,,1201.72,29.2,21.49,0.1919,35.25,0.3885
2006-01-18,8692111.0,411762708.36,4.74,5.36,4.61,649.49,1.0,247404643.89,6653816.0,5222592.0,315204591.51,,,45981.0,5.62,,,,45.7,72200.0,630188.0,,,5.62,45981.0,,530702.0,320964.0,495.09,20.43,,,28.02,28.02,17095010.0,809824864.98,,1275.26,27.97,20.74,0.1854,33.65,0.366
2006-01-25,8861990.0,427975539.65,4.63,5.85,4.51,673.32,1.0,241903474.18,6538067.0,5009039.0,315745419.78,,750544.0,290559.0,7.92,56.55,,,33.73,102361.0,470235.0,,750544.0,7.92,290559.0,,62476.0,315914.0,494.76,20.07,55.56,,26.16,26.16,18452790.0,891147784.9,749093.0,1398.73,26.13,20.35,0.1816,31.88,0.3546
2006-02-01,8501371.0,409479604.51,4.42,6.72,4.31,654.3,1.0,244027585.87,5933354.0,5066355.0,285787721.69,,415750.0,36832.0,7.86,31.53,125400.0,,57.45,71849.0,773866.0,,415750.0,7.86,36832.0,9.56,160893.0,139933.0,454.89,7.96,33.73,,23.46,23.46,19361892.0,932590740.79,444320.0,1485.27,23.45,21.42,0.1827,32.76,0.3361
2006-02-08,8043023.0,385869420.26,4.19,6.18,4.08,637.28,1.0,239787150.12,5597996.0,4998099.0,268567610.85,,,53841.0,0.0,,451156.0,,24.6,7000.0,390835.0,,,0.0,53841.0,33.69,1636.0,526412.0,446.1,35.16,,,22.08,22.08,19757020.0,947856279.1,,1517.3,22.72,21.93,0.1721,29.69,0.3172
2006-02-15,8299903.0,391600804.33,4.32,6.15,4.21,649.71,1.0,245195594.07,5711319.0,5196873.0,269467861.76,9.34,88441.0,28060.0,10.7,6.54,9562.0,125400.0,6.93,190218.0,56428.0,9.34,88441.0,10.7,28060.0,0.74,71549.0,1005.0,448.99,0.19,1.44,9.5,23.1,23.1,19011020.0,896965991.43,18299.0,1446.18,23.69,21.75,0.1678,28.75,0.3357
2006-02-22,8500496.0,419160248.26,4.42,6.84,4.3,670.49,1.0,251234529.32,6005185.0,5094992.0,296116230.8,,,57566.0,7.79,,,,7.41,80000.0,116862.0,,,7.79,57566.0,,434203.0,181881.0,475.14,11.99,6.31,,26.27,26.24,16853896.0,831067179.07,81041.0,1302.86,26.72,22.03,0.1687,28.7,0.3714
2006-03-01,8714216.0,428037594.62,4.53,7.79,4.41,707.65,1.0,252288457.2,6201813.0,5136222.0,304629712.97,,1758.0,571884.0,7.37,0.14,87179.0,,26.54,17051.0,365277.0,,1758.0,7.37,571884.0,7.08,9667.0,63000.0,506.35,0.72,0.65,,24.92,24.92,18686276.0,917859808.79,21404.0,1480.44,25.49,21.95,0.1674,29.16,0.3501
