,S30 FP Equity_DX_SI_QTY,S30 FP Equity_DX_SHORT_INTEREST_VALUE,S30 FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,S30 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,S30 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,S30 FP Equity_DX_SI_MV,S30 FP Equity_DX_DSS,S30 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,S30 FP Equity_DX_SUPPLY_SI_QTY,S30 FP Equity_DX_BROKER_SI_QTY,S30 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,S30 FP Equity_DX_BROKER_SI_MV_NEW_x,S30 FP Equity_DX_SUPPLY_SI_QTY_NEW_x,S30 FP Equity_DX_SUPPLY_SI_QTY_INC_x,S30 FP Equity_DX_BROKER_SI_MV_INC_x,S30 FP Equity_DX_SUPPLY_SI_MV_NEW,S30 FP Equity_DX_BROKER_SI_QTY_ADD,S30 FP Equity_DX_BROKER_SI_QTY_NEW,S30 FP Equity_DX_SUPPLY_SI_MV_DEC,S30 FP Equity_DX_BROKER_SI_QTY_INC,S30 FP Equity_DX_SUPPLY_SI_QTY_DEC,S30 FP Equity_DX_BROKER_SI_MV_NEW_y,S30 FP Equity_DX_SUPPLY_SI_QTY_NEW_y,S30 FP Equity_DX_BROKER_SI_MV_INC_y,S30 FP Equity_DX_SUPPLY_SI_QTY_INC_y,S30 FP Equity_DX_BROKER_SI_MV_ADD,S30 FP Equity_DX_SUPPLY_SI_QTY_ADD,S30 FP Equity_DX_BROKER_SI_QTY_DEC,S30 FP Equity_DX_SUPPLY_SI_MV,S30 FP Equity_DX_BROKER_SI_MV_DEC,S30 FP Equity_DX_SUPPLY_SI_MV_RMV,S30 FP Equity_DX_BROKER_SI_MV_RMV,S30 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,S30 FP Equity_DX_UTILIZATION_QUANTITY,S30 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,S30 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,S30 FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,S30 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,S30 FP Equity_DX_ACTIVE_UTILIZATION_MV,S30 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,S30 FP Equity_DX_BROKER_SI_CON_RATIO,S30 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,S30 FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-12-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2550000.0,,2.55,0.0,,0.0,,0.0
2007-12-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2514000.0,,2.51,0.0,,0.0,,0.0
2007-12-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2472300.0,,2.47,0.0,,0.0,,0.0
2007-12-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2478300.0,,2.48,0.0,,0.0,,0.0
2007-12-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2550000.0,,2.55,0.0,,0.0,,0.0
2007-12-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2550300.0,,2.55,0.0,,0.0,,0.0
2007-12-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2550000.0,,2.53,0.0,,0.0,,0.0
2007-12-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2550000.0,,2.53,0.0,,0.0,,0.0
2007-12-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2550000.0,,2.55,0.0,,0.0,,0.0
2007-12-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2460000.0,,2.46,0.0,,0.0,,0.0
2007-12-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2580000.0,,2.44,0.0,,0.0,,0.0
2007-12-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2700000.0,,2.7,0.0,,0.0,,0.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2700000.0,,2.7,0.0,,0.0,,0.0
2008-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2805000.0,,2.81,0.0,,0.0,,0.0
2008-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2715000.0,,2.72,0.0,,0.0,,0.0
2008-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2745000.0,,2.75,0.0,,0.0,,0.0
2008-01-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2730000.0,,2.73,0.0,,0.0,,0.0
2008-01-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2730000.0,,2.73,0.0,,0.0,,0.0
2008-01-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2715000.0,,2.72,0.0,,0.0,,0.0
2008-01-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2715000.0,,2.72,0.0,,0.0,,0.0
2008-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2700000.0,,2.7,0.0,,0.0,,0.0
2008-01-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2664000.0,,2.66,0.0,,0.0,,0.0
2008-01-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2550300.0,,2.55,0.0,,0.0,,0.0
2008-01-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2415000.0,,2.42,0.0,,0.0,,0.0
2008-01-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2460000.0,,2.46,0.0,,0.0,,0.0
2008-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2547000.0,,2.55,0.0,,0.0,,0.0
2008-01-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,30000.0,2547000.0,,2.55,0.0,,0.0,,0.0
2008-01-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,24000.0,1987200.0,,1.99,0.0,,0.0,,0.0
2008-01-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,24000.0,1943760.0,,1.94,0.0,,0.0,,0.0
2008-01-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,24000.0,1917600.0,,1.92,0.0,,0.0,,0.0
2008-03-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,636.0,47064.0,,0.05,0.0,,0.0,,0.0
2008-03-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,636.0,47064.0,,0.05,0.0,,0.0,,0.0
