,MEMS FP Equity_DX_SI_QTY,MEMS FP Equity_DX_SHORT_INTEREST_VALUE,MEMS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MEMS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MEMS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MEMS FP Equity_DX_SI_MV,MEMS FP Equity_DX_DSS,MEMS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MEMS FP Equity_DX_SUPPLY_SI_QTY,MEMS FP Equity_DX_BROKER_SI_QTY,MEMS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MEMS FP Equity_DX_BROKER_SI_MV_NEW_x,MEMS FP Equity_DX_SUPPLY_SI_QTY_INC_x,MEMS FP Equity_DX_BROKER_SI_MV_INC_x,MEMS FP Equity_DX_BROKER_SI_QTY_ADD,MEMS FP Equity_DX_BROKER_SI_QTY_NEW,MEMS FP Equity_DX_SUPPLY_SI_MV_DEC,MEMS FP Equity_DX_BROKER_SI_QTY_INC,MEMS FP Equity_DX_SUPPLY_SI_QTY_DEC,MEMS FP Equity_DX_BROKER_SI_MV_NEW_y,MEMS FP Equity_DX_BROKER_SI_MV_INC_y,MEMS FP Equity_DX_SUPPLY_SI_QTY_INC_y,MEMS FP Equity_DX_BROKER_SI_MV_ADD,MEMS FP Equity_DX_SUPPLY_SI_QTY_ADD,MEMS FP Equity_DX_BROKER_SI_QTY_DEC,MEMS FP Equity_DX_SUPPLY_SI_MV,MEMS FP Equity_DX_BROKER_SI_MV_DEC,MEMS FP Equity_DX_BROKER_SI_MV_RMV,MEMS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MEMS FP Equity_DX_UTILIZATION_QUANTITY,MEMS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MEMS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MEMS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MEMS FP Equity_DX_ACTIVE_UTILIZATION_MV,MEMS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MEMS FP Equity_DX_BROKER_SI_CON_RATIO,MEMS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MEMS FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-10-04,1500.0,27150.0,0.04,0.14,0.03,0.03,,27150.0,0.0,1500.0,0.0,,,,1500.0,,,,,,,,0.03,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2006-10-05,7500.0,138375.0,0.21,0.71,0.16,0.13,0.0,110700.0,1500.0,6000.0,27675.0,,,,4500.0,,,,,,,,0.08,1500.0,,0.03,,,16.48,16.48,7600.0,140220.0,0.14,16.48,41.55,0.5143,58.45,0.8242
2006-10-06,7500.0,136350.0,0.21,0.75,0.16,0.13,0.0,109080.0,1500.0,6000.0,27270.0,,,,,,,,,,,,,,,0.03,,,16.48,16.48,7600.0,138168.0,0.14,16.48,41.13,0.5157,58.87,0.8242
2006-10-09,7500.0,136125.0,0.21,0.75,0.16,0.13,0.0,108900.0,1500.0,6000.0,27225.0,,,,,,,,,,,,,,,0.03,,,16.48,16.48,7600.0,137940.0,0.14,16.48,41.16,0.5156,58.84,0.8242
2006-10-10,7500.0,136200.0,0.21,0.74,0.16,0.13,0.0,108960.0,1500.0,6000.0,27240.0,,,,,,,,,,,,,,,0.03,,,16.48,16.48,7600.0,138016.0,0.14,16.48,41.17,0.5156,58.83,0.8242
2006-10-11,7500.0,137625.0,0.21,0.78,0.16,0.13,0.0,110100.0,1500.0,6000.0,27525.0,,,,,,,,,,,,,,,0.03,,,16.48,16.48,7600.0,139460.0,0.14,16.48,41.42,0.5147,58.58,0.8242
2006-10-12,7500.0,141600.0,0.21,0.77,0.16,0.13,0.0,113280.0,1500.0,6000.0,28320.0,,,,,,,,,,,,,,,0.03,,,16.48,16.48,7600.0,143488.0,0.14,16.48,42.11,0.5124,57.89,0.8242
2006-10-13,7500.0,139350.0,0.21,0.74,0.16,0.13,0.0,111480.0,1500.0,6000.0,27870.0,,,,,,,,,,,,,,,0.03,,,16.48,16.48,7600.0,141208.0,0.14,16.48,41.72,0.5137,58.28,0.8242
2006-10-16,7500.0,139125.0,0.21,0.73,0.16,0.13,0.0,111300.0,1500.0,6000.0,27825.0,,,,,,,,,,,,,,,0.03,,,16.48,16.48,7600.0,140980.0,0.14,16.48,41.69,0.5138,58.31,0.8242
2006-10-17,7500.0,136875.0,0.21,0.72,0.16,0.13,0.0,109500.0,1500.0,6000.0,27375.0,,,,,,,,,,,,,,,0.03,,,16.48,16.48,7600.0,138700.0,0.14,16.48,41.29,0.5152,58.71,0.8242
