,EGOV FP Equity_DX_SI_QTY,EGOV FP Equity_DX_SHORT_INTEREST_VALUE,EGOV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EGOV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EGOV FP Equity_DX_SI_MV,EGOV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EGOV FP Equity_DX_SUPPLY_SI_QTY,EGOV FP Equity_DX_BROKER_SI_QTY,EGOV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EGOV FP Equity_DX_BROKER_SI_MV_NEW_x,EGOV FP Equity_DX_SUPPLY_SI_QTY_INC_x,EGOV FP Equity_DX_BROKER_SI_MV_INC_x,EGOV FP Equity_DX_BROKER_SI_QTY_ADD,EGOV FP Equity_DX_BROKER_SI_QTY_NEW,EGOV FP Equity_DX_SUPPLY_SI_MV_DEC,EGOV FP Equity_DX_BROKER_SI_QTY_INC,EGOV FP Equity_DX_SUPPLY_SI_QTY_DEC,EGOV FP Equity_DX_BROKER_SI_MV_NEW_y,EGOV FP Equity_DX_BROKER_SI_MV_INC_y,EGOV FP Equity_DX_SUPPLY_SI_QTY_INC_y,EGOV FP Equity_DX_BROKER_SI_MV_ADD,EGOV FP Equity_DX_SUPPLY_SI_QTY_ADD,EGOV FP Equity_DX_BROKER_SI_QTY_DEC,EGOV FP Equity_DX_SUPPLY_SI_MV,EGOV FP Equity_DX_BROKER_SI_MV_DEC,EGOV FP Equity_DX_BROKER_SI_MV_RMV,EGOV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EGOV FP Equity_DX_UTILIZATION_QUANTITY,EGOV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EGOV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EGOV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EGOV FP Equity_DX_ACTIVE_UTILIZATION_MV,EGOV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EGOV FP Equity_DX_BROKER_SI_CON_RATIO,EGOV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EGOV FP Equity_DX_DEMAND_SUPPLY_RATIO
2020-01-16,18356.0,1001723.63,4.81,0.16,1.0,1001723.63,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,991665.0,54117142.38,54.15,0.0,,1.0,100.0,0.0185
2020-01-17,18356.0,1002990.2,4.9,0.16,1.0,1002990.2,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,991665.0,54185567.27,54.17,0.0,,1.0,100.0,0.0185
2020-01-20,18356.0,1003742.79,4.9,0.16,1.0,1003742.79,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,991665.0,54226225.53,54.28,0.0,,1.0,100.0,0.0185
2020-01-21,18356.0,1005596.75,5.02,0.16,1.0,1005596.75,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,991665.0,54326383.7,54.29,0.0,,1.0,100.0,0.0185
2020-01-22,18356.0,1006441.12,5.03,0.16,1.01,1006441.12,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,991665.0,54372000.29,54.41,0.0,,1.0,100.0,0.0185
2020-01-23,18356.0,1010938.34,19.79,0.16,1.01,1010938.34,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,991665.0,54614958.21,54.66,0.0,,1.0,100.0,0.0185
2020-01-24,18356.0,1012700.52,19.36,0.16,1.01,1012700.52,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1089259.0,60094419.03,60.09,0.0,,1.0,100.0,0.0169
2020-01-27,18356.0,1019014.98,15.97,0.16,1.02,1019014.98,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1089259.0,60469124.13,60.48,0.0,,1.0,100.0,0.0169
2020-01-28,18356.0,1017730.06,16.92,0.16,1.02,1017730.06,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1089259.0,60392876.0,60.49,0.0,,1.0,100.0,0.0169
2020-01-29,18356.0,1020226.48,24.45,0.16,1.02,1020226.48,0.0,18356.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1100564.0,61169347.12,61.21,0.0,,1.0,100.0,0.0167
