,NACON FP Equity_DX_SI_QTY,NACON FP Equity_DX_SHORT_INTEREST_VALUE,NACON FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,NACON FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,NACON FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,NACON FP Equity_DX_SI_MV,NACON FP Equity_DX_DSS,NACON FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,NACON FP Equity_DX_SUPPLY_SI_QTY,NACON FP Equity_DX_BROKER_SI_QTY,NACON FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,NACON FP Equity_DX_BROKER_SI_MV_NEW_x,NACON FP Equity_DX_SUPPLY_SI_QTY_INC_x,NACON FP Equity_DX_BROKER_SI_MV_INC_x,NACON FP Equity_DX_BROKER_SI_QTY_ADD,NACON FP Equity_DX_BROKER_SI_QTY_NEW,NACON FP Equity_DX_SUPPLY_SI_MV_DEC,NACON FP Equity_DX_BROKER_SI_QTY_INC,NACON FP Equity_DX_SUPPLY_SI_QTY_DEC,NACON FP Equity_DX_BROKER_SI_MV_NEW_y,NACON FP Equity_DX_BROKER_SI_MV_INC_y,NACON FP Equity_DX_SUPPLY_SI_QTY_INC_y,NACON FP Equity_DX_BROKER_SI_MV_ADD,NACON FP Equity_DX_SUPPLY_SI_QTY_ADD,NACON FP Equity_DX_BROKER_SI_QTY_DEC,NACON FP Equity_DX_SUPPLY_SI_MV,NACON FP Equity_DX_BROKER_SI_MV_DEC,NACON FP Equity_DX_BROKER_SI_MV_RMV,NACON FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,NACON FP Equity_DX_UTILIZATION_QUANTITY,NACON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,NACON FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,NACON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,NACON FP Equity_DX_ACTIVE_UTILIZATION_MV,NACON FP Equity_DX_BROKER_SI_MARKET_SHARE_2,NACON FP Equity_DX_BROKER_SI_CON_RATIO,NACON FP Equity_DX_BROKER_SI_MARKET_SHARE_1,NACON FP Equity_DX_DEMAND_SUPPLY_RATIO
2020-03-04,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,178949.0,1023588.28,0.9,0.0,,0.0,,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1598121.0,8470041.3,9.11,0.0,,0.0,,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1515550.0,8305214.0,8.25,0.0,,0.0,,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1733550.0,8702421.0,9.43,0.0,,0.0,,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1733550.0,8841105.0,8.77,0.0,,0.0,,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1749743.0,8713720.14,8.93,0.0,,0.0,,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,1751302.0,7355468.4,8.73,0.0,,0.0,,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,2304895.0,8989090.5,9.58,0.0,,0.0,,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,2293419.0,7912295.55,8.94,0.0,,0.0,,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,2287492.0,8234971.2,8.15,0.0,,0.0,,0.0
