,HYSRI FP Equity_DX_SI_QTY,HYSRI FP Equity_DX_SHORT_INTEREST_VALUE,HYSRI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,HYSRI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,HYSRI FP Equity_DX_SI_MV,HYSRI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,HYSRI FP Equity_DX_SUPPLY_SI_QTY,HYSRI FP Equity_DX_BROKER_SI_QTY,HYSRI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,HYSRI FP Equity_DX_SUPPLY_SI_QTY_INC_x,HYSRI FP Equity_DX_BROKER_SI_MV_INC_x,HYSRI FP Equity_DX_BROKER_SI_QTY_ADD,HYSRI FP Equity_DX_SUPPLY_SI_MV_DEC,HYSRI FP Equity_DX_BROKER_SI_QTY_INC,HYSRI FP Equity_DX_SUPPLY_SI_QTY_DEC,HYSRI FP Equity_DX_BROKER_SI_MV_INC_y,HYSRI FP Equity_DX_SUPPLY_SI_QTY_INC_y,HYSRI FP Equity_DX_BROKER_SI_MV_ADD,HYSRI FP Equity_DX_SUPPLY_SI_QTY_ADD,HYSRI FP Equity_DX_BROKER_SI_QTY_DEC,HYSRI FP Equity_DX_SUPPLY_SI_MV,HYSRI FP Equity_DX_BROKER_SI_MV_DEC,HYSRI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,HYSRI FP Equity_DX_UTILIZATION_QUANTITY,HYSRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,HYSRI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,HYSRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,HYSRI FP Equity_DX_ACTIVE_UTILIZATION_MV,HYSRI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,HYSRI FP Equity_DX_BROKER_SI_CON_RATIO,HYSRI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,HYSRI FP Equity_DX_DEMAND_SUPPLY_RATIO,HYSRI FP Equity_PX_LAST
2021-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.988
2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.998
2021-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.004
2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.991
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.006
2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.034
2021-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.042
2021-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.046
2021-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.044
2021-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.04
2021-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.042
2021-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.03
2021-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.038
2021-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.054
2021-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.066
2021-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.056
2021-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.036
2021-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.054
2021-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.064
2021-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.058
2021-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.058
2021-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.062
2021-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.064
2021-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.066
2021-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.066
