,ECN FP Equity_DX_SI_QTY,ECN FP Equity_DX_SHORT_INTEREST_VALUE,ECN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ECN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ECN FP Equity_DX_SI_MV,ECN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ECN FP Equity_DX_SUPPLY_SI_QTY,ECN FP Equity_DX_BROKER_SI_QTY,ECN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ECN FP Equity_DX_SUPPLY_SI_QTY_INC_x,ECN FP Equity_DX_BROKER_SI_MV_INC_x,ECN FP Equity_DX_BROKER_SI_QTY_ADD,ECN FP Equity_DX_SUPPLY_SI_MV_DEC,ECN FP Equity_DX_BROKER_SI_QTY_INC,ECN FP Equity_DX_SUPPLY_SI_QTY_DEC,ECN FP Equity_DX_BROKER_SI_MV_INC_y,ECN FP Equity_DX_SUPPLY_SI_QTY_INC_y,ECN FP Equity_DX_BROKER_SI_MV_ADD,ECN FP Equity_DX_SUPPLY_SI_QTY_ADD,ECN FP Equity_DX_BROKER_SI_QTY_DEC,ECN FP Equity_DX_SUPPLY_SI_MV,ECN FP Equity_DX_BROKER_SI_MV_DEC,ECN FP Equity_DX_BROKER_SI_MV_RMV,ECN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ECN FP Equity_DX_UTILIZATION_QUANTITY,ECN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ECN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ECN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ECN FP Equity_DX_ACTIVE_UTILIZATION_MV,ECN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ECN FP Equity_DX_BROKER_SI_CON_RATIO,ECN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ECN FP Equity_DX_DEMAND_SUPPLY_RATIO,ECN FP Equity_PX_LAST
2008-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0
2008-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.53
2008-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.05
2008-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.11
2008-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0
2008-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.64
2008-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.15
2008-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.73
2008-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.1
2008-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1
2008-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.12
2008-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.38
2008-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.97
2008-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.74
2008-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.38
2008-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.16
2008-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.75
2008-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.74
2008-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.33
2008-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.55
2008-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.13
2008-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.85
