,FM29 FP Equity_PX_LAST
2025-06-03,10.018
2025-06-04,10.01
2025-06-05,9.983
2025-06-06,9.988
2025-06-09,9.991
2025-06-10,10.002
2025-06-11,10.004
2025-06-12,10.014
2025-06-13,9.993
2025-06-16,10.002
2025-06-17,9.994
2025-06-18,10.004
2025-06-19,9.997
2025-06-20,10.0
2025-06-23,10.004
2025-06-24,10.01
2025-06-25,10.006
2025-06-26,10.018
2025-06-27,10.002
2025-06-30,10.01
2025-07-01,10.014
2025-07-02,10.0
2025-07-03,10.014
2025-07-04,10.026
2025-07-07,10.01
2025-07-08,9.998
2025-07-09,10.004
2025-07-10,9.993
2025-07-11,9.985
2025-07-14,9.99
2025-07-15,10.0
2025-07-16,10.012
2025-07-17,10.014
2025-07-18,10.008
2025-07-21,10.034
2025-07-22,10.042
2025-07-23,10.048
2025-07-24,10.0
2025-07-25,9.994
2025-07-28,10.004
2025-07-29,10.016
2025-07-30,10.006
2025-07-31,10.002
2025-08-01,10.016
2025-08-04,10.028
2025-08-05,10.026
2025-08-06,10.028
2025-08-07,10.026
2025-08-08,10.012
2025-08-11,10.01
2025-08-12,9.999
2025-08-13,10.024
2025-08-14,10.016
2025-08-15,10.0
2025-08-18,10.002
2025-08-19,10.008
2025-08-20,10.014
2025-08-21,10.006
2025-08-22,10.018
2025-08-25,10.002
2025-08-26,10.014
2025-08-27,10.024
2025-08-28,10.024
2025-08-29,10.02
