,MLLCB FP Equity_PX_LAST
2020-10-19,1.5
2020-10-20,1.5
2020-10-21,1.5
2020-10-22,1.5
2020-10-23,1.5
2020-10-26,1.5
2020-10-27,1.55
2020-10-28,1.55
2020-11-03,1.58
2020-11-04,1.58
2020-11-05,1.55
2020-11-06,1.55
2020-11-09,1.56
2020-11-10,1.56
2020-11-12,1.54
2020-11-13,1.6
2020-11-16,1.6
2020-11-17,1.54
2020-11-18,1.6
2020-11-19,1.6
2020-11-20,1.54
2020-11-24,1.54
2020-11-25,1.57
2020-11-27,1.57
2020-11-30,1.59
2020-12-01,1.59
2020-12-02,1.59
2020-12-03,1.57
2020-12-04,1.63
2020-12-07,1.63
2020-12-08,1.67
2020-12-09,1.7
2020-12-10,1.7
2020-12-11,1.6
2020-12-14,1.54
2020-12-15,1.55
2020-12-16,1.63
2020-12-17,1.63
2020-12-21,1.6
2020-12-22,1.62
2020-12-23,1.63
2020-12-24,1.65
2020-12-28,1.6
2020-12-30,1.6
2020-12-31,1.645
2021-01-04,1.65
2021-01-05,1.64
2021-01-07,1.67
2021-01-08,1.68
2021-01-11,1.68
2021-01-12,1.55
2021-01-13,1.68
2021-01-14,1.68
2021-01-15,1.68
2021-01-19,1.7
2021-01-20,1.7
2021-01-21,1.7
2021-01-22,1.7
2021-01-25,1.69
2021-01-26,1.55
2021-01-27,1.69
2021-01-28,1.7
2021-02-01,1.77
2021-02-02,1.71
2021-02-03,1.85
2021-02-04,1.97
2021-02-05,2.08
2021-02-08,2.15
2021-02-09,2.35
2021-02-10,2.55
2021-02-11,2.8
2021-02-12,2.9
2021-02-15,3.25
2021-02-16,3.6
2021-02-17,3.7
2021-02-18,3.8
2021-02-19,3.8
2021-02-22,3.8
2021-02-23,3.8
2021-02-24,3.45
2021-02-25,3.45
2021-02-26,3.45
2021-03-01,3.45
2021-03-02,3.52
2021-03-03,3.57
2021-03-04,3.52
2021-03-05,3.5
2021-03-08,3.52
2021-03-09,3.56
2021-03-10,3.5
2021-03-11,3.35
2021-03-12,3.3
2021-03-15,3.3
2021-03-16,3.3
2021-03-17,3.24
2021-03-18,3.3
2021-03-19,3.6
2021-03-22,3.72
2021-03-23,3.6
2021-03-24,3.6
2021-03-25,3.52
2021-03-26,3.52
2021-03-29,3.45
2021-03-30,3.45
2021-03-31,3.45
2021-04-01,3.46
2021-04-06,3.5
2021-04-07,3.58
2021-04-08,3.5
2021-04-09,3.5
2021-04-12,3.54
2021-04-13,3.6
2021-04-14,3.6
2021-04-15,3.6
2021-04-16,3.5
2021-04-19,3.6
2021-04-20,3.5
2021-04-21,3.44
2021-04-22,3.44
2021-04-23,3.5
2021-04-26,3.5
2021-04-27,3.42
2021-04-28,3.42
2021-04-29,3.46
2021-04-30,3.52
2021-05-03,3.52
2021-05-05,3.54
2021-05-06,3.54
2021-05-07,3.5
2021-05-10,3.54
2021-05-11,3.54
2021-05-12,3.54
2021-05-13,3.54
2021-05-14,3.54
2021-05-17,3.58
2021-05-18,3.58
2021-05-20,3.46
2021-05-21,3.52
2021-05-24,3.7
2021-05-25,3.82
2021-05-26,3.46
2021-05-27,3.6
2021-05-28,3.48
2021-05-31,3.8
2021-06-01,3.9
2021-06-02,3.92
2021-06-03,4.0
2021-06-04,4.12
2021-06-07,4.16
2021-06-08,4.12
2021-06-09,4.04
2021-06-10,4.2
2021-06-11,4.24
2021-06-14,4.5
2021-06-15,4.56
2021-06-16,4.6
2021-06-17,4.68
2021-06-18,4.76
2021-06-21,4.5
2021-06-22,4.4
2021-06-23,4.3
2021-06-24,4.1
2021-06-25,4.18
2021-06-28,4.34
2021-06-29,4.34
2021-06-30,4.18
2021-07-01,4.18
2021-07-02,4.34
2021-07-05,4.4
2021-07-06,4.46
2021-07-07,4.5
2021-07-08,4.3
