,EPEJ FP Equity_DX_SI_QTY,EPEJ FP Equity_DX_SHORT_INTEREST_VALUE,EPEJ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EPEJ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EPEJ FP Equity_DX_SI_MV,EPEJ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EPEJ FP Equity_DX_SUPPLY_SI_QTY,EPEJ FP Equity_DX_BROKER_SI_QTY,EPEJ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EPEJ FP Equity_DX_SUPPLY_SI_QTY_INC_x,EPEJ FP Equity_DX_BROKER_SI_MV_INC_x,EPEJ FP Equity_DX_BROKER_SI_QTY_ADD,EPEJ FP Equity_DX_SUPPLY_SI_MV_DEC,EPEJ FP Equity_DX_BROKER_SI_QTY_INC,EPEJ FP Equity_DX_SUPPLY_SI_QTY_DEC,EPEJ FP Equity_DX_BROKER_SI_MV_INC_y,EPEJ FP Equity_DX_SUPPLY_SI_QTY_INC_y,EPEJ FP Equity_DX_BROKER_SI_MV_ADD,EPEJ FP Equity_DX_SUPPLY_SI_QTY_ADD,EPEJ FP Equity_DX_BROKER_SI_QTY_DEC,EPEJ FP Equity_DX_SUPPLY_SI_MV,EPEJ FP Equity_DX_BROKER_SI_MV_DEC,EPEJ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EPEJ FP Equity_DX_UTILIZATION_QUANTITY,EPEJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EPEJ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EPEJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EPEJ FP Equity_DX_ACTIVE_UTILIZATION_MV,EPEJ FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EPEJ FP Equity_DX_BROKER_SI_CON_RATIO,EPEJ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EPEJ FP Equity_DX_DEMAND_SUPPLY_RATIO
2019-07-15,12000.0,135000.0,0.68,0.2,0.13,135000.0,0.0,12000.0,0.0,,,12000.0,,,,,,0.13,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-16,12000.0,135600.0,0.66,0.2,0.13,135600.0,0.0,12000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-17,12000.0,135480.0,0.66,0.2,0.14,135480.0,0.0,12000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-18,12000.0,135360.0,0.62,0.2,0.14,135360.0,0.0,12000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-19,12000.0,136800.0,0.62,0.2,0.14,136800.0,0.0,12000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-22,12000.0,135960.0,0.62,0.2,0.14,135960.0,0.0,12000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2019-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,169048.0,1932218.64,1.93,0.0,,0.0,,0.0
2019-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,171145.0,1947630.1,1.95,0.0,,0.0,,0.0
2019-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,171145.0,1945918.65,1.95,0.0,,0.0,,0.0
2019-07-29,44500.0,504185.0,1.47,0.71,0.5,504185.0,44500.0,44500.0,504185.0,,,44500.0,,,,,,0.5,44500.0,,0.5,,25.6,25.6,129305.0,1465025.65,1.47,25.6,,1.0,100.0,0.256
